D=0.0 mm/w,D=0.25 mm/w,D=0.5 mm/w,D=0.75 mm/w,D=1.0 mm/w
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
4.000000260715309,4.000001760715309,4.000012260715309,4.000040760715309,4.000096260715309
4.000003817658003,4.000009721206434,4.000050877103137,4.00016204269638,4.000377435334438
4.0000169259819485,4.000031432538562,4.000132250697398,4.00040327797825,4.000925804986586
4.000048516863548,4.000077001337777,4.000274567092051,4.000803230299474,4.001817455279546
4.000109720875058,4.000158603577106,4.000497343970162,4.001399715158665,4.003122473467099
4.000213474134204,4.000290083858231,4.000821064668401,4.002229395370614,4.004905185137714
4.000374193066395,4.000486625475528,4.001266882221563,4.003327637552595,4.007224418601349
4.000607503884154,4.00076447692552,4.0018563792891655,4.004728415410562,4.010133785321486
4.000930015828154,4.001140723560772,4.0026113724776975,4.00646424880294,4.0136819676370346
4.001359129783492,4.001633095730428,4.003553752273048,4.008566170253768,4.017913007531493
4.001912875822628,4.002259806743322,4.004705351834143,4.011063712611949,4.022866592070219
4.002609774654159,4.003039415460053,4.006087839400841,4.013984913040546,4.02857833246783
4.003468719014141,4.003990709410867,4.007722630183065,4.017356329616825,4.03508003471171
4.004508871830284,4.005132605155636,4.009630814434994,4.021203067642457,4.042399960364745
4.005749578593906,4.006484063227204,4.011833099056231,4.025548813382522,4.050563076678234
4.007210291841848,4.008064015483037,4.014349760555212,4.030415873426553,4.059591295518095
4.00891050601664,4.009891303069424,4.017200607596722,4.035825218232895,4.06950370088117
4.010869701263622,4.011984623503685,4.0204049516618765,4.04179652870608,4.080316764979911
4.0131072949566375,4.014362485621536,4.023981584594522,4.0483482448850685,4.092044553021537
4.015642599932567,4.017043171332735,4.027948762006712,4.055497616002117,4.104698916915442
4.0184947885691855,4.020044703288376,4.032324191677986,4.063260751318092,4.118289678220057
4.021682861967872,4.023384817695294,4.037125026216467,4.071652671258048,4.132824800694715
4.0252256236081845,4.027080941622685,4.042367859360058,4.080687358466644,4.148310552859021
4.029141656929366,4.031150174237737,4.0480687253879015,4.090377808481086,4.164751660985633
