D=0.0 mm/w,D=0.25 mm/w,D=0.5 mm/w,D=0.75 mm/w,D=1.0 mm/w
0.0,0.0,0.0,0.0,0.0
0.01639792,0.01639792,0.01639792,0.01639792,0.01639792
0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.10628568508322632
0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.19423968183608267
0.2786435128878679,0.2786435191068628,0.2786435621664953,0.2786436789074025,0.27864390617022206
0.3594227866418487,0.3594228178712337,0.3594230295716309,0.3594236001902977,0.3594247059655239
0.4367617535388419,0.4367618476214354,0.4367624721936748,0.4367641458979563,0.43676737454496894
0.5108872546505371,0.5108874749131003,0.5108889081133734,0.5108927267279552,0.5109000597487062
0.5820182140382077,0.5820186555413,0.5820214743707445,0.5820289425579204,0.582043219847342
0.6503536988642915,0.6503544943665562,0.6503594837508428,0.6503726296703165,0.6503976501128683
0.7160716511107604,0.7160729766709728,0.7160811532263828,0.7161025803581808,0.7161431837338109
0.7793306447180629,0.77933272487868,0.7793453578984507,0.7793782887131133,0.7794404207226493
0.8402723181401951,0.8402754306521105,0.8402940604504445,0.8403423725713256,0.8404331346490211
0.8990237383853464,0.8990282184461251,0.8990546721983841,0.8991229276625816,0.8992506131114647
0.95569948334553,0.9557057273333662,0.955742132550294,0.955835600737747,0.9560097186008661
1.0104034101813877,1.0104118788749683,1.010460674646802,1.010585349411614,1.010816637378632
1.063230136577814,1.0632413578586113,1.0633053040020142,1.0634679155061988,1.0637683430494298
1.114266276885047,1.114280847923628,1.114363032160788,1.1145710538784237,1.1149538167147823
1.1635914748551075,1.1636100637871043,1.163713907082283,1.1639755584115157,1.1644550652964183
1.211279269490423,1.2113026165910192,1.2114318767654753,1.211756121656902,1.2123479744324135
1.2573978244041335,1.2574267427724777,1.2575855165141263,1.2579820584967938,1.2587030262387853
1.3020105454433633,1.3020459212103177,1.3022386445898315,1.3027179185503206,1.3035859065876652
1.3451766065422577,1.3452193986164458,1.3454508462168022,1.346024007262619,1.3470580217750703
1.386951399869718,1.3870026392380068,1.3872779219998124,1.3879568317154718,1.3891769405554846
1.4273869232101342,1.427447711809568,1.4277722736898648,1.4285694840725889,1.4299967743995887
1.4665321150287554,1.4666036242075795,1.4669832377453036,1.4679119730870906,1.4695685063502442
1.5044331456997135,1.5045166142855364,1.5049573751623735,1.506031512126266,1.507940276883348
1.5411336718066584,1.5412304038000493,1.5417387244811278,1.542972770601736,1.5451576336169472
1.576675059176572,1.576786421088489,1.5773690236231837,1.5787780944448804,1.5812637504671594
1.6110965793079512,1.6112239971593796,1.6118879052184845,1.613487700269063,1.6162996208543363
1.6444355830515127,1.6445805390535868,1.6453330692752344,1.6471398470582097,1.6503042287638847
1.6767276547531915,1.6768916836858807,1.6777404363988688,1.6797709885739092,1.683314700821532
1.7080067495430529,1.7081914348502447,1.7091442842398636,1.7114159091480292,1.715366442020201
1.7383053160246362,1.7385122856431483,1.739577369421181,1.742107845099662,1.746493257309858
1.7676544062675503,1.76788532820726,1.769071036844561,1.7718785936644064,1.7767274609130792
1.7960837747164629,1.7963403524083716,1.7976553179853134,1.800758611035161,1.8060999749423097
1.8236219673899017,1.823905934818558,1.8253590195456475,1.8287771008747,1.8346404186577543
1.8502964025429949,1.8506095191792769,1.852209803637415,1.855962094461756,1.8623771895080778
1.8761334438018176,1.87647748935166,1.8782342604988107,1.8823405234666424,1.8893375369319994
1.9011584666374424,1.9015352356216464,1.9034579746101072,1.9079382862135368,1.9155476297614877
1.9253959189301988,1.925807215110036,1.92790558495606,1.9327803081696464,1.941032617951749
1.948869376275264,1.949317006938131,1.9516008400833191,1.956890597302688,1.9658166892657152
1.971601592596312,1.9720873627152584,1.974566648516944,1.980292294864337,1.9899231214581532
1.9936145465620567,1.994140252842575,1.996825125028307,2.003007722085961,2.0133743304343
2.014929484239092,2.015496909066105,2.018397633185363,2.0250584232120183,2.036191914798029
