D=0.5,D=0.6,D=0.7,D=0.8,D=0.9
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0009680996138598,0.0009680996138598,0.0009680996138598,0.0009680996138598,0.0009680996138598401
0.007194638278492,0.007194638278492,0.007194638278492,0.007194638278492,0.007194638278492029
0.0182406980585228,0.0182406970846071,0.0182406961106913,0.0182406951367756,0.0182406941628599
0.0337022687533011,0.0337022563943535,0.0337022440463205,0.0337022317092021,0.0337022193829983
0.053229881208392,0.0532298231865114,0.0532297653034242,0.0532297075588819,0.053229649952636314
0.0765189378413604,0.0765187581012906,0.0765185790776247,0.0765184007670931,0.07651822316643428
0.1033005640939273,0.1033001249400679,0.1032996882415851,0.1032992539800168,0.10329882213701005
0.1333347274565006,0.1333338086790725,0.1333328965058204,0.1333319908672881,0.133331091694689
0.1664051484864486,0.1664034260526313,0.1664017187228574,0.166400026292985,0.16639834856161578
0.202315478513425,0.2023125031661461,0.2023095585578543,0.2023066441814046,0.20230375953840454
0.2408863674658121,0.2408815434223027,0.2408767766569652,0.2408720660553094,0.24086741052632865
0.2819531674475941,0.2819457312922429,0.2819383947472382,0.2819311555823864,0.2819240116229538
0.3253640999927376,0.3253530997959188,0.3253422634697494,0.3253315868696858,0.32532106596989374
0.3709787686046843,0.3709630432594289,0.3709475754746589,0.3709323579965163,0.3709173838061046
0.4186669334202989,0.4186450921642858,0.4186236405695879,0.4186025665546624,0.41858185847426793
0.4683074883665622,0.4682778904428204,0.4682488632622947,0.4682203875246968,0.468192444698022
0.5197875972145272,0.5197483316169998,0.5197098790885142,0.5196722098737931,0.5196352955110836
0.5730019560893177,0.5729508213366816,0.5729008172789789,0.5728518994279153,0.5728040253909839
0.6278521579045728,0.6277866417858042,0.6277226652348894,0.6276601634891905,0.6275990750706268
0.68424613989964,0.6841633991366455,0.684082715994387,0.6840039983841105,0.6839271592171712
0.7420976996478211,0.741994539423244,0.7418940840644331,0.7417962053208678,0.7417007823611039
0.8013260680249792,0.8011989213265163,0.8010752781143134,0.8009549630562484,0.8008378115807185
0.8618555299844887,0.8617004367203578,0.8615498213837718,0.8614034482292722,0.861261096803886
0.9236150857863462,0.9234276716296996,0.9232459124602748,0.9230694960200314,0.9228981313899909
0.9865381467216544,0.986313601644586,0.9860961204726832,0.9858852951846052,0.9856807470469385
1.0505622604625473,1.0502953169228146,1.0500371098366743,1.049787112604576,1.0495448382253405
1.1156288620266983,1.1153137727723104,1.1150093905454717,1.1147150433474398,1.1144301119892874
1.181683047029354,1.1813135624877753,1.18095709068234,1.1806127829166566,1.1802798600451205
1.248673364444579,1.2482427096644468,1.2478277483791935,1.247427418917548,1.2470407501566227
1.3165516265411377,1.316052477655106,1.315572120888532,1.3151092398077124,1.314662634617125
1.3852727340197506,1.3846971941974056,1.384144008796489,1.3836115587608149,1.3830983738088234
1.454794514674668,1.4541340895344022,1.453500093700219,1.4528905509677248,1.4523036731743892
1.5250775741467744,1.5243231465951137,1.5235997879164862,1.522905102942295,1.5222369321689666
1.596085157538091,1.5952269620042678,1.5944050949903603,1.593616672600841,1.5928591039621587
1.667783020826585,1.6668106168591603,1.6658804799414233,1.6649891590526449,1.664133564827621
