D=0.5,D=0.6,D=0.7,D=0.8,D=0.9
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
4.000004140714109,4.000004140714109,4.000004140714109,4.000004140714109,4.000004140714109
4.000058452443723,4.000058429456915,4.000058406470107,4.000058383483299,4.000058360496491
4.00024839029548,4.000248079595285,4.000247769243786,4.000247459240983,4.000247149586878
4.000684888560455,4.00068340680381,4.00068192978337,4.000680457489109,4.000678989911005
4.001494778485662,4.00149016253872,4.001485571504977,4.001481005244416,4.001476463617405
4.002814088934984,4.002802797697058,4.002791592442058,4.002780472364512,4.002769436664561
4.004783274976312,4.00475968464015,4.004736325903926,4.00471319571625,4.004690291060781
4.007543781917712,4.007499694222476,4.007456135231161,4.00741309596362,4.00737056758428
4.011235561042942,4.011159736856572,4.01108498426706,4.011011281013302,4.010938605295869
4.015995278300808,4.015873003984375,4.015752714950859,4.01563436250289,4.0155178991788185
4.021955035799622,4.021767726463016,4.021583845185467,4.021403295141362,4.0212259824092245
4.029241477469269,4.028966318927119,4.028696753771014,4.028432603473943,4.028173695683239
4.037975185170697,4.03758481482627,4.037203155575565,4.0368298977884125,4.036464743955105
4.048270295858211,4.047732521664686,4.047207795458652,4.046695606749921,4.046195467341753
4.06023428773065,4.059511843655862,4.058808307509663,4.058122872761018,4.057454771721566
4.073967895886287,4.073018231835809,4.072095199247049,4.071197569378601,4.070324178135901
4.08956512726922,4.088340231130799,4.087151930054161,4.0859984099222615,4.08487796007009
4.107113351621387,4.105559600929607,4.104055060305488,4.102597123704284,4.101183345095749
4.126693450386207,4.12475149103247,4.12287445304502,4.12105868179842,4.119300762913177
4.148380009499931,4.145984658902443,4.143673514190162,4.141441558427562,4.139284126038262
4.172241545074806,4.169321717256734,4.166509460385042,4.163798017232563,4.1611811325840415
4.198340753353995,4.194819403440976,4.191433606056821,4.188174414132152,4.18503358304514
4.226734778169114,4.22252886389956,4.218491663113003,4.214611510376478,4.210877704887275
4.257475490580663,4.252495948516253,4.247724048185835,4.243144790866423,4.238744480209086
4.290609776521539,4.284761510745499,4.279166193478037,4.273804783955941,4.268659972880186
