changing_M_i_at_271.0,changing_M_i_at_283.0,changing_M_i_at_300.0
87.20860264171246,87.2166259508483,87.22683378232009
32.40449398415054,32.40604671619047,32.40802766344872
33.60306810142006,33.60479967026774,33.607008583593604
34.825645752606455,34.82758355153142,34.830038791041105
36.075326876196215,36.07778010021617,36.08028099868084
37.34965638465376,37.36046023062675,37.359266104443584
38.5451745508642,38.665491925168965,38.62784388259995
38.89724332785973,39.50986359706827,39.315667570435714
34.35745029443221,46.757304824286045,48.22670952441965
42.246880559614326,55.78064779228993,49.28707997996171
30.301637402222887,61.68507519067866,52.120344683291385
48.67492001138755,57.13959400466754,65.67214572182704
67.48675227963051,45.55197081225109,32.26003662157042
44.74164280920966,69.16088120009586,61.48512935766259
69.08652801598559,46.86592033974641,51.33101107636101
55.972156449969205,69.65170209810985,63.74066892894159
60.55784091991079,57.08907835050778,50.86818172790992
67.74040004169656,64.8185302668429,67.94131205545621
43.92928889620898,65.64604522323921,52.39251728856976
73.24791574308146,61.798840345660906,69.3082768699797
47.860304038978846,67.5084147553906,65.74298344965845
73.48235116693083,70.20006457304181,61.060220137645175
66.08155712451469,66.32611167235835,72.7059773282961
71.56127808950926,71.30321226263095,71.5869838477017
73.27778452339025,73.3011225114458,73.33949069768948
74.79554299637904,74.82233029031822,74.85661140006947
76.04733204545889,76.07272579552675,76.1050993059114
77.08376572302298,77.10770489591175,77.13820770008566
77.95122544011275,77.97382265633632,78.00260540731078
78.68627120036997,78.70767275583314,78.73492555864479
79.31668208270584,79.3370325565285,79.36294198265897
79.86340490264945,79.8828346236367,79.90756824201192
80.34231373197855,80.36093576852333,80.3846386226547
80.76556479437001,80.78347568983592,80.80627143042989
81.14258449381855,81.15986624828231,81.181859779639
81.4807777186266,81.49749998985126,81.51878034992464
81.78603517063671,81.80225730734247,81.82290030621981
82.06309917343557,82.078871964161,82.09894244300587
82.31583013270972,82.33119726220278,82.35075096886624
82.54740290491112,82.56240214915194,82.58148727400524
82.76045327111363,82.77511747214493,82.79377589902076
82.95718850845077,82.97154636882664,82.98981469329571
83.13947182893158,83.15354856034593,83.17145892032087
83.30888757494435,83.32270542962455,83.34028618533176
83.4667920825206,83.48037079047354,83.49764708360674
83.61435375244554,83.62771088297933,83.64470509877881
83.75258490945306,83.76573617160825,83.78246832268827
83.88236735050248,83.89532684399923,83.9118148908357
84.0044729973982,84.01725342332075,84.0335135432317
84.11958071783681,84.13219355640013,84.14824037043401
84.22829012258931,84.2407457838582,84.25659254911508
84.33113295742947,84.3434409097062,84.35909968312664
84.42858256764517,84.44075144732734,84.45623322581353
84.52106180723177,84.53309951322122,84.5484143540337
84.6089496847304,84.62086345990181,84.63602058453709
84.69258697647766,84.70438347826054,84.71939136243448
84.77228099090154,84.78396635265976,84.79883280454949
84.84830963095992,84.8598895155647,84.87462174409033
84.9209248732625,84.932404520011,84.94700919463006
84.990355759974,85.00174002581772,85.01622332906392
85.05681098183996,85.06810437772637,85.08247205151514
85.12048111653183,85.13168783953684,85.14594522610422
85.18154057516597,85.1926645369851,85.20681661518626
85.24014930078164,85.25119415306396,85.26524557064558
85.29645425511764,85.307423412051,85.32137851442099
85.35059072409238,85.36148738259088,85.37535023853168
85.40268346742484,85.4135106252153,85.42728504991986
85.45284773384624,85.46360820571097,85.47729778147014
85.50119016002014,85.51188659241744,85.52549468723953
85.54780956851423,85.55844445276608,85.57197423717062
85.59279767790797,85.60337336212008,85.61682782431764
85.63623973620652,85.64675843606479,85.66014039570457
85.67821508709048,85.68867889565746,85.7019910163014
85.71879767726453,85.7292085738862,85.74245337434989
85.75805651193662,85.76841637035375,85.78159623503429
85.79605606458298,85.80636666033116,85.819483848628
85.8328566462808,85.84311966345274,85.85617631837806
85.8685147392285,85.87873177666329,85.89172993272118
85.90308329846084,85.91325587541746,85.92619746582696
85.93661202526287,85.9467415866292,85.95962844995566
85.96914761535987,85.97923553644159,85.99206942269262
86.00073398456456,86.0107815754938,86.02356415173165
86.0314124742554,86.0414209840556,86.0541538395721
86.0612220387668,86.07119265910453,86.08387731019617
86.09019941653706,86.10013328519044,86.11277117957354
86.11837928664232,86.12827749071016,86.14087001160583
86.14579441215139,86.15565799102674,86.16820646094627
86.17247577160502,86.18230571973362,86.19481140398835
86.19845267973257,86.20824994917389,86.22071405913651
86.22375289845175,86.23351840126088,86.24594209739536
86.24840273903655,86.25813734947968,86.27052174416241
86.27242715627399,86.28213171289292,86.29447787303985
86.29584983534608,86.30552514288338,86.31783409240019
86.3186932720691,86.32834010326495,86.3406128253343
86.34097884709638,86.35059794436741,86.36283538358545
86.3627268945995,86.37231897160905,86.38452203598303
86.38395676590622,86.39352250903329,86.40569207185253
86.40468688852863,86.41422695824517,86.4263638598327
86.42493482096171,86.43444985312304,86.44655490247811
86.44471730360748,86.45420791066331,86.46628188700365
86.46405030613955,86.47351707827187,86.48556073248018
