changing_M_i_at_271.0,changing_M_i_at_283.0,changing_M_i_at_300.0
4.0,4.0,4.0
62.054984999791245,62.05340938945222,62.05139389800807
58.800677148668335,58.79894226642723,58.79672404460355
55.709007975301375,55.707059043791226,55.704622837083605
52.76379527863393,52.76054845772093,52.75803278951724
49.97324276434234,49.95497249858561,49.95334790421822
47.50040954124173,47.52076402825903,47.4891160808783
44.97237155269754,48.422848843443,48.108245719493034
51.43077681506966,47.28015305961066,41.47321569436109
85.62878348151895,14.862533516188282,15.583227900804536
95.86672309803724,12.57176429745534,12.29603856086885
12.594489784056028,50.22753593528408,12.300113158231792
18.24863854349676,13.914244788858204,101.9237026096819
14.348833665162514,16.280425739755938,8.369259190079816
19.13491618470528,12.695041405623796,71.20270459072718
8.565217244592127,19.11247503458812,7.613849300023869
42.03382292542454,8.24555489873027,67.02456344216078
7.365184467261512,30.6791679767955,7.364431457196617
66.22449413012104,7.196382328284973,55.70025788331497
8.159358515700948,33.91303099098775,7.268427604710339
45.14916250465199,7.42442486309232,25.00335167177244
8.293776671671951,17.18872601307279,10.573993475136918
17.71651389088084,12.52753794368605,12.013328712125993
11.912292701380313,11.994107412349152,11.760378334840192
10.841189049156796,10.830582197531008,10.812557757421855
10.013623655819938,10.002674125761832,9.988639443766324
9.357496898577155,9.347713523094956,9.33521956849666
8.830704786291356,8.821965092284886,8.810809572824125
8.400798033189208,8.39294968411365,8.382935209427414
8.044108971023569,8.037013423522803,8.027961667896841
7.743597604612639,7.737137884993599,7.728898674690404
7.486928675547083,7.481008751273988,7.4734590018098785
7.265053162986078,7.2595948549206355,7.252634480004065
7.071224761985907,7.06616437751442,7.059711905066874
6.900329517200167,6.895614898992608,6.8896036541392345
6.748428083775577,6.744016214457689,6.738391232853241
6.612439965202401,6.608295082933341,6.6030106881033745
6.489922651718107,6.486014784801744,6.481032707240265
6.378914776330718,6.375218606037385,6.370506525302446
6.277823014314312,6.274316989875636,6.2698474009988
6.185339304659951,6.182004950750453,6.177754277823952
6.100379401193488,6.097200772347018,6.09314867057833
6.0220366462881625,6.018999893883378,6.015128695909519
5.949546760813188,5.946639786782475,5.942934060043688
5.882260712334202,5.879472890127905,5.875919080319914
5.819623581449999,5.8169455295306784,5.8135316712568335
5.761157934252465,5.758581330918144,5.7552968111912195
5.706450617410858,5.703968048371631,5.70080341198517
5.655142179793855,5.652747011891615,5.649693800200842
5.60691832921664,5.604604605156236,5.601655221703863
5.561502980364688,5.559265330445159,5.556412928302445
5.518652557360446,5.516486125049059,5.513724511835588
5.478151293500964,5.476051672348114,5.473375229732762
5.439807329465408,5.437770509365177,5.435174124498733
5.403449455385283,5.401471776580337,5.398950783414094
5.368924375548255,5.367002489086309,5.364552617925454
5.336094399981553,5.334225233573654,5.331842567524662
5.304835486761345,5.303016215184878,5.300697152402592
5.275035574085125,5.273263593427911,5.271004814263984
5.246593153003628,5.244866058168788,5.242664496480659
5.219416041028732,5.217731606019099,5.215584424025181
5.193420324205075,5.191776484786581,5.189681050956357
5.168529441098104,5.166924279506808,5.164878149058077
5.144673386848442,5.143105118259711,5.141106015903622
5.121788019217595,5.12025497973993,5.118300784370722
5.0998144516102055,5.098315087602626,5.096403818675617
5.078698520540612,5.077231379082636,5.075361184462226
5.058390317044049,5.056954037412527,5.0551231825043645
5.038843773198972,5.037437079226999,5.035643937235105
5.020016296299874,5.018637989510638,5.016881032682743
5.001868444358496,5.0005173977817385,4.9987951895252065
4.984363637556275,4.983038790147667,4.981349977914244
4.967467901058061,4.966168252652349,4.9645115615035476
4.951149635260405,4.949874241998321,4.948248468774945
4.93537941009926,4.9341273802758,4.9325313883048025
4.920129780512943,4.918900270801361,4.917332985081718
4.905375120550171,4.904167332561617,4.902627735378227
4.891091473950169,4.889904651093822,4.88839177801452
4.8772564193072885,4.876089843920036,4.874602780136303
4.863848948176989,4.862701938895394,4.861239815871995
4.850849354689521,4.849721264039926,4.8482832564426355
4.838239135416558,4.837129347601967,4.835714670476222
4.82600089839113,4.824908827255913,4.823516733432166
4.814118280314243,4.813043367469772,4.811673145174009
4.802575871097229,4.801517584193433,4.800168554843747
4.791359144988738,4.790316976118147,4.7889884922902235
4.780454397622149,4.779427861844432,4.778119305390631
4.769848688395602,4.768837322371827,4.767548102680169
4.759529787661828,4.758533148388815,4.757262700769578
4.749486128264225,4.748503791900321,4.747251576089139
4.739706761005032,4.738738321779458,4.73750382054704
4.730181313676861,4.72922638287563,4.7280091007350356
4.720899953327974,4.719958158350014,4.718757620353429
4.711853351465617,4.710924334943314,4.709740085561
4.703032651933177,4.702116070912168,4.700947672986891
4.694429441223162,4.693524966396635,4.692372000167595
4.68603572101236,4.685143036005559,4.68400509819634
4.677843882726755,4.676962683427813,4.675839386393383
4.669846683962446,4.668976677895975,4.667867648824162
4.66203722660588,4.661178132346078,4.660083012509479
4.654408936511604,4.653560483131942,4.6524789271864
