CD4_T_cells,CD8_T_cells,macrophages,normal_fibres,damaged_fibres,regenerating_fibres,real_part_eig_1,imaginary_part_eig_1,real_part_eig_2,imaginary_part_eig_2,real_part_eig_3,imaginary_part_eig_3,real_part_eig_4,imaginary_part_eig_4,real_part_eig_5,imaginary_part_eig_5
840.8808871771415,64.07803865801033,21620.36607200245,31.7109630581076,1.0001646304857463,67.28887231140666,-9.289925206839934,0.0,-1.0903591021179817,0.0,-0.0922661055750561,0.5308534252513661,-0.0922661055750561,-0.5308534252513661,-0.6170163327962555,0.0
909.2014692178602,68.99175914742176,22208.88122001434,30.140534934899964,1.0006643436468066,68.85880072145324,-9.491781849020782,0.0,-1.058115231656241,0.0,-0.1216127158257539,0.5736856264303224,-0.1216127158257539,-0.5736856264303224,-0.5986184501087272,0.0
974.40475764503,73.68130855526681,22718.728772356404,28.780272743493605,1.0010763177002096,70.21865093880618,-9.666577655988162,0.0,-1.031810260358195,0.0,-0.1475442853910192,0.6132957442546808,-0.1475442853910192,-0.6132957442546808,-0.5819035945124322,0.0
1037.2172509419574,78.19892905265185,23168.242541498203,27.58115590557582,1.0014244919099422,71.41741960251423,-9.820664197600196,0.0,-0.1704989159094495,0.6502684490180513,-0.1704989159094495,-0.6502684490180513,-1.010153341828264,0.0,-0.5670542535454933,0.0
1098.1305393269886,82.57997108205632,23569.828229505296,26.51002304164177,1.0017243059434782,72.48825265241474,-9.958330211693552,0.0,-0.1908781884548606,0.6849250405611836,-0.1908781884548606,-0.6849250405611836,-0.5540903766320548,0.0,-0.9921739545316738,0.0
1157.4947798544072,86.84961482517267,23932.322351504743,25.54325886759125,1.0019862912193147,73.45475484118944,-10.0826248481908,0.0,-0.2090573203356105,0.7174763004554406,-0.2090573203356105,-0.7174763004554406,-0.9771233619536618,0.0,-0.5429113197942085,0.0
1215.5692959262522,91.02650867703954,24262.269157464936,24.663377601244854,1.0022179452223146,74.33440445353283,-10.195802529969756,0.0,-0.2253776167175842,0.7480905061906282,-0.2253776167175842,-0.7480905061906282,-0.9644184143885318,0.0,-0.5333483283905851,0.0
1272.5521115395177,95.1248929946067,24564.66595415816,23.8570291565012,1.0024247891542195,75.14054605434458,-10.299582201404412,0.0,-0.240139106667138,0.7769199811773047,-0.240139106667138,-0.7769199811773047,-0.9536033346137912,0.0,-0.5252069376010118,0.0
1328.5982255343906,99.1559141727626,24843.42427146702,23.113765712715423,1.0026110020379997,75.88362328524659,-10.39530750464534,0.0,-0.2535981987081599,0.8041089995002684,-0.2535981987081599,-0.8041089995002684,-0.944321055500773,0.0,-0.5182940498104197,0.0
1383.8314580692738,103.12847651472798,25101.66881834827,22.42524226784889,1.0027798197941309,76.57197791235699,-10.484050475948669,0.0,-0.2659697401437292,0.8297945625940903,-0.2659697401437292,-0.8297945625940903,-0.9362909739092392,0.0,-0.5124321438205861,0.0
1438.3524286944648,107.04981593294288,25341.938816380287,21.78467833180513,1.0029337966020526,77.21238787159282,-10.566681293180494,0.0,-0.2774315627409404,0.8541052352222585,-0.2774315627409404,-0.8541052352222585,-0.929291623163538,0.0,-0.5074649652868752,0.0
1492.2441028741737,110.92589880040192,25566.32797102036,21.18648373921882,1.0030749818647318,77.81044127891646,-10.643916709057091,0.0,-0.2881299073487637,0.8771600151530072,-0.2881299073487637,-0.8771600151530072,-0.9231472584594016,0.0,-0.5032583825550845,0.0
1545.575753394205,114.76170681785538,25776.584441141786,20.625991435700005,1.0032050434660806,78.37080352083392,-10.71635460497017,0.0,-0.2981847526707243,0.8990677762867691,-0.2981847526707243,-0.8990677762867691,-0.499698864269965,0.0,-0.9177175410636328,0.0
1598.405855900008,118.56144523483678,25974.183910434327,20.09926218618455,1.003325355735922,78.89741245807953,-10.784499221607808,0.0,-0.3076945808459361,0.9199272797249972,-0.3076945808459361,-0.9199272797249972,-0.4966910108100856,0.0,-0.91288964041251,0.0
1650.7842483076754,122.32869813585484,26160.384082005352,19.602938949090824,1.0034370635714742,79.3936239873377,-10.848779956947492,0.0,-0.316740424645815,0.9398275932182204,-0.316740424645815,-0.9398275932182204,-0.4941548933158751,0.0,-0.9085721971782956,0.0
1702.7537698470774,126.06654630678274,26336.26604104971,19.134136355141774,1.003541130055969,79.86232251480226,-10.909565621251046,0.0,-0.3253892036375476,0.9588487538490232,-0.3253892036375476,-0.9588487538490232,-0.4920235555051565,0.0,-0.904690704973686,0.0
1754.3515246518782,129.7776581021765,26502.766142636287,18.69035551195233,1.003638372409248,80.30600611563843,-10.967175417115698,0.0,-0.3336964274966266,0.9770625467157508,-0.3336964274966266,-0.9770625467157508,-0.4902408175203258,0.0,-0.9011839676268056,0.0
1805.6098694966888,133.46436047574875,26660.700938109905,18.26941741403784,1.0037294895312812,80.72685309643089,-11.021887515383517,0.0,-0.3417083661633686,0.9945333140045411,-0.3417083661633686,-0.9945333140045411,-0.488759412330378,0.0,-0.8980013702760845,0.0
1856.5571955521864,137.12869519841584,26810.78690335839,17.869410244314466,1.0038150833850172,81.12677467230051,-11.07394583729703,0.0,-0.3494637844490124,1.0113187421321344,-0.3494637844490124,-1.0113187421321344,-0.4875394353554003,0.0,-0.8951007665949813,0.0
1907.2185540789628,140.7724638537353,26953.656228738884,17.488647199443623,1.0038956757955433,81.50745712476083,-11.123565478669995,0.0,-0.3569953270207229,1.0274705980727985,-0.3569953270207229,-1.0274705980727985,-0.4865470687347998,0.0,-0.8924468336410698,0.0
