Ri,t_convergence (weeks)
0.0,74.65
1.0,74.7
2.0,74.75
3.0,74.8
4.0,74.85000000000001
5.0,74.9
6.0,74.95
7.0,75.0
8.0,75.05
9.0,75.15
10.0,75.2
11.0,75.25
12.0,75.3
13.0,75.35000000000001
14.0,75.4
15.0,75.45
16.0,75.55
17.0,75.60000000000001
18.0,75.65
19.0,75.7
20.0,75.75
21.0,75.8
22.0,75.85000000000001
23.0,75.85000000000001
24.0,70.85000000000001
25.0,70.95
26.0,71.05
27.0,71.15
28.0,71.25
29.0,71.3
30.0,71.4
31.0,71.5
32.0,71.60000000000001
33.0,71.7
34.0,71.8
35.0,71.9
36.0,72.0
37.0,72.10000000000001
38.0,72.2
39.0,72.35000000000001
40.0,72.45
41.0,72.55
42.0,72.65
43.0,72.8
44.0,72.9
45.0,73.0
46.0,73.15
47.0,73.25
48.0,73.4
49.0,73.5
50.0,73.65
51.0,73.8
52.0,73.9
53.0,74.05
54.0,74.2
55.0,74.35000000000001
56.0,74.5
57.0,74.60000000000001
58.0,74.75
59.0,74.9
60.0,75.05
61.0,75.2
62.0,75.35000000000001
63.0,75.5
64.0,75.60000000000001
65.0,75.75
66.0,75.9
67.0,76.05
68.0,76.2
69.0,76.3
70.0,76.45
71.0,76.60000000000001
72.0,76.7
73.0,76.85000000000001
74.0,76.95
75.0,77.10000000000001
76.0,77.2
77.0,77.30000000000001
78.0,77.45
79.0,77.55000000000001
80.0,77.65
81.0,77.75
82.0,77.85000000000001
83.0,77.95
84.0,78.05000000000001
85.0,78.15
86.0,78.25
87.0,78.35000000000001
88.0,78.45
89.0,78.55000000000001
90.0,78.60000000000001
91.0,78.7
92.0,78.80000000000001
93.0,78.85000000000001
94.0,78.95
95.0,79.0
96.0,79.10000000000001
97.0,79.15
98.0,79.25
99.0,79.30000000000001
100.0,79.35000000000001
