euler,RK_rtol_1e-05_atol_1e-08
420.7870733921569,20768.891077671182
420.8724866974765,20769.06383672784
420.95793890400967,20769.24006864433
421.0434300431375,20769.415839311503
421.1289601462796,20769.59377996964
421.2145292448939,20769.766586154365
421.3001373704765,20769.943221958685
421.3857845545615,20770.118838675135
421.47147082872215,20770.295164785814
421.5571962245694,20770.470502745728
421.6429607737536,20770.64720038376
421.7287645079627,20770.827212774107
421.81460745892434,20770.99965702102
421.90048965840407,20771.187114672408
421.986411138207,20771.353942170197
422.0723719301764,20771.532589776783
422.1583720661949,20771.71676897266
422.2444115781842,20771.88213700486
422.3304904981048,20772.063047639425
422.4166088579565,20772.246919022444
422.50276668977824,20772.417330481276
422.588964025648,20772.59079152479
422.67520089768345,20772.774309527904
422.7614773380417,20772.951008904656
422.8477933789188,20773.120719454793
422.934149052551,20773.299435651537
423.0205443912135,20773.473917841962
423.1069794272216,20773.654291966912
423.1934541929301,20773.830912201036
423.2799687207337,20774.016786032575
423.3665230430672,20774.18310280374
423.4531171924045,20774.377429563974
423.5397512012605,20774.5490164071
423.6264251021895,20774.713524047755
423.7131389277863,20774.89102873459
423.799892710685,20775.092589722273
423.8866864835618,20775.248823232334
423.9735202791311,20775.436126787587
424.0603941301496,20775.623675851857
424.1473080694129,20775.780004513155
424.23426212975806,20775.956769109223
424.3212563440625,20776.16091786682
424.4082907452441,20776.320322675125
424.4953653662618,20776.515019789906
424.5824802401148,20776.68048090359
424.6696353998444,20776.882359721345
424.7568308785312,20777.032360273686
424.844066709298,20777.19748853606
424.93134292530846,20777.380813441752
425.0186595597668,20777.551333874297
425.1060166459193,20777.728564284374
425.19341421705286,20777.91793794491
425.2808523064961,20778.088319327668
425.3683309476191,20778.26431383142
425.45585017383047,20778.44194974137
425.5434100185885,20778.61907307642
20836.327250085746,20778.79604454708
20748.421968726943,20778.979307809095
20784.77712323824,20779.148445345403
20800.160621678653,20779.3258586714
20801.450182889177,20779.510402444008
20797.172725568464,20779.680900659238
20791.360978762088,20779.86415971867
20785.70983639823,20780.04105358166
20780.855444236156,20780.218563256498
20776.9678813474,20780.391656344855
20774.019148835287,20780.571288135234
20771.904766940304,20780.749756562498
20770.49872888085,20780.92616490913
20769.67759903029,20781.106971198064
20769.330178774577,20781.286604689227
20769.36045140147,20781.459507484527
20769.687489080105,20781.646675289518
20770.24409432562,20781.82348590244
20770.975023360712,20782.0025402281
20771.835184894757,20782.175074772847
20772.78798407956,20782.352528395386
20773.803871990425,20782.528798647847
20774.859108943507,20782.705489571534
20775.934726795116,20782.91825824252
20777.01566660174,20783.056524840395
20778.090066232675,20783.234913483466
20779.148673948832,20783.415045090962
20780.184366658275,20783.592799231006
20781.191754583426,20783.773281983038
20782.166856980923,20783.95016351419
20783.10683616157,20784.12705268357
20784.00977929364,20784.30359581632
20784.874519364443,20784.480490234106
20785.70048823937,20784.666533952386
20786.4875960491,20784.841079597867
20787.236132190465,20785.017441058604
20787.94668408714,20785.1941414917
20788.62007055919,20785.370734129807
20789.2572872236,20785.54530527158
20789.8594618062,20785.721338196083
20790.42781763428,20785.894668920853
20790.9636438796,20786.07917284987
20791.468271379515,20786.249258304746
20791.943053064315,20786.42712267701
20792.389348198165,20786.60671236582
