evolving_sym_D_1.0_ooo,evolving_asym_D_1.0_oor,evolving_asym_D_1.0_orr,evolving_sym_D_1.0_rrr
400.0,400.0,100.0,100.0
400.0,397.0,105.343465,100.0
400.05028100768766,394.18677320013,110.69727884265149,100.157128149024
400.3758334233771,391.7827893068556,116.13678844137002,100.52466318991732
400.9690551091783,389.77635582074936,121.67982091585756,101.09899085167073
401.81796092044846,388.1518154093357,127.3419572117526,101.87665034321206
402.9108682908739,386.89424932693487,133.13789668020692,102.85542025619472
404.2371201191028,385.9901808438525,139.081838723273,104.03443409231193
405.7871512750346,385.4276213584324,145.1876750905861,105.41415067325767
407.55240945452334,385.1959741914964,151.46912115393803,106.99630463080443
409.5252477789673,385.28591347252944,157.9398196355661,108.78386429694478
411.6988205062112,385.6892688834591,164.61342855380477,110.78100331510113
414.0669899033127,386.3989237413198,171.50369863359413,112.99308688379902
416.62424534529407,387.4087270453294,178.62454304368228,115.42667213347978
419.3656336218562,388.7134181515052,185.9901012868305,118.08952188968263
422.2866989411403,390.308562336484,193.6147985443316,120.99063118052744
425.383431146812,392.1904956053998,201.51340147075464,124.14026604916019
428.65222084516927,394.3562773257994,209.70107123617487,127.55001445058286
432.08982034462935,396.8036495080353,218.1934144727928,131.23284922234478
435.6933094984038,399.5310017640386,227.0065326778989,135.2032033149089
439.4600657012951,402.5373411526506,236.1570705436741,139.477057651794
443.3877374234018,405.82226626289696,245.66226361953213,144.07204216550514
447.4742207706856,409.3859450017556,255.53998566036688,149.00755072682932
451.717638649098,413.2290956453669,265.8087959713292,154.30487085612785
456.1163221792073,417.35297078688393,276.48798702460124,159.98732927933014
460.66879406531547,421.759343874068,287.597632594562,166.0804545716723
465.37375366958526,426.450498078313,299.1586366335914,172.6121583218607
470.2300635798401,431.42921727640737,311.1927830906278,179.6129364511801
475.2367374911243,436.6987789588522,323.7227868577507,187.11609253895367
480.3929292471474,442.26294890540015,336.77234601590584,195.15798524054915
485.6979229094188,448.1259774907671,350.36619553893934,203.77830213972516
491.15112374002655,454.2925975020883,364.5301626049478,213.02036265653965
496.75204999928405,460.7680233653223,379.29122365524375,222.9314529384614
502.5003254723733,467.5579516909996,394.6775633336821,233.5631959990682
508.3956726500722,474.6685630608965,410.7186354324477,244.97196073931556
514.4379064980001,482.1065249867328,427.4452259644419,257.2193138945629
520.6269287568138,489.8789959801242,444.8895184769364,270.3725194003201
526.9627227226719,497.99363067998144,463.08516171601264,284.5050901652162
533.4453484632138,506.4585859895311,482.0673397463098,299.69739778539054
540.0749384294435,515.2825281802699,501.8728446256309,316.03734633493843
546.8516934283698,524.474640924589,522.5401517288477,333.6211170269113
553.7758789251465,534.0446342226109,544.1094978101934,352.5539912634218
560.8478216468545,544.0027541920479,566.622961887283,372.9512603863352
568.0679064630507,554.3597936927013,590.1245490239573,394.93923130631634
575.4365735208238,565.127103759608,614.6602770821548,418.6563381317118
582.9543156144107,576.3166058208864,640.2782665053794,444.2543709432554
590.6216757714598,587.9408046780475,667.0288331877932,471.89983396820844
598.4392450398354,600.0128022279794,694.9645844734214,501.775446599091
606.4076604604597,612.5463119070033,724.1405183192533,534.0818019763086
614.5276032131073,625.5556738383679,754.6141256440393,569.0391992065171
622.799796923342,639.0558706653178,786.4454958711643,606.8896667114363
631.2250061199125,653.0625440524733,819.6974256589859,647.899195681856
639.8040348329379,667.5920118386954,854.4355307953057,692.3602041290071
648.5377253241221,682.6612858249183,890.728361214042,740.5942535520066
657.4269569410461,698.288090180618,928.6475190715328,792.9550417365742
666.4726450883229,714.4908804526699,968.2677797970584,849.8316966137792
675.6757403090545,731.2888631603469,1009.6672160069768,911.6523973681035
685.037227470627,748.7020159601406,1052.9273241441365,978.8883500000527
694.558125049413,766.7511083639588,1098.1331536738314,1052.058145201907
704.2394845094364,785.4577229940901,1145.3734386343067,1131.7325265455513
714.0823897704951,804.8442773581376,1194.7407313035944,1218.5395964188615
724.0879567616317,824.934046126927,1246.3315377050849,1313.1704856447245
734.2573330562059,845.751183898209,1300.2464546316153,1416.3855099809068
744.5916975851505,867.320748428812,1356.5903078218705,1529.0208323698832
755.0922604252926,889.6687243177847,1415.4722908734493,1651.9956434487685
765.7602626598922,912.822047123006,1477.0061044240067,1786.3198639164682
776.596976308804,936.8086278937596,1541.3100950754151,1933.1023602663752
787.6037043258904,961.6573781018836,1608.507393475914,2093.559649400982
798.7817806615277,987.3982349543368,1678.7260509118198,2269.025046912323
810.1325703882371,1014.062187070384,1752.0991736936803,2460.9581873940797
821.6574698876467,1041.6813005071176,1828.76505455197,2670.9548120068375
833.3579070971556,1070.2887451177228,1908.8673001848488,2900.7566775384616
845.2353418148199,1099.9188212277709,1992.5549540254983,3152.261391258468
857.2912660611174,1130.606986615913,2079.98261321959,3427.5319158886614
869.5272044963788,1162.389883786666,2171.3105387251603,3728.8054181079424
881.9447148927891,1195.3053675245435,2266.7047573682253,4058.501051625682
894.545388659977,1229.3925327206075,2366.3371546088,4419.226172015942
907.330851423311,1264.6917424646315,2470.385556694562,4813.780376098402
920.3027636541192,1301.2446563984397,2579.033800804416,5245.156645831784
933.4628213511426,1339.0942593287089,2692.471791712967,5716.538759322732
946.8127567726108,1378.284890100509,2810.8955434410573,6231.294015772299
960.354339218422,1418.8622707361997,2934.507204298533,6792.960215933592
974.0893758619728,1460.8735358479414,3063.5150636754106,7405.225757261077
988.0197126312672,1504.367262336055,3198.1335388984558,8071.901659514095
1002.1472351389996,1549.393499389746,3338.5831404441906,8796.884352197823
1016.4738696613724,1596.0037988112963,3485.0904137887965,9584.108153558289
1031.0015841654813,1644.2512456897143,3637.8878561827287,10437.48657810904
1045.732389385153,1694.190489454974,3797.213806665687,11360.841952521067
1060.6683399451945,1745.8777753493696,3963.31230768834,12357.823321893267
1075.8115355340583,1799.3709763581046,4136.432936783488,13431.813305923532
1091.164122125002,1854.729625647002,4316.830606833503,14585.825419329192
1106.7282932458645,1912.0149495610967,4504.765333615164,15822.394383857136
1122.5062912976475,1971.2899012438124,4700.501969469302,17143.463082811963
1138.5004089221447,2032.619194942357,4904.309902142521,18550.270961531303
1154.712990418913,2096.069341070822,5116.462718082721,20043.24974078211
1171.1464332119483,2161.708682108163,5337.237829739537,21621.933134625193
1187.8031893664688,2229.607429413671,5566.916066724839,23284.88768011555
1204.6857671562802,2299.8377010476243,5805.78123102575,25029.671625622897
1221.7967326822454,2372.473560689424,6054.1196168310535,26852.827952592317
1239.138711542443,2447.5910577495542,6312.219495927901,28749.915955323835
1256.7143905546566,2525.2682687750385,6580.370570044839,30715.58340938313
1274.526519531898,2605.5853402505245,6858.8633919534295,32743.678379634395
1292.577913111725,2688.6245328986747,7147.988757586983,34827.39643650919
1310.8714526401786,2774.4702675838817,7448.037071882577,36959.45584567364
1329.410088111231,2863.209172922449,7759.297691491983,39132.290598362786
1348.1968401626896,2954.930134700032,8082.058247927449,41338.24935501067
1367.2348021295809,3049.7243471932047,8416.603955097731,43569.787773661774
1386.5271421561004,3147.68536648634,8763.216905535923,45819.64240617803
