"evolving_sym_D_0.4_ooo","evolving_asym_D_0.4_oor","evolving_asym_D_0.4_orr","evolving_sym_D_0.4_rrr"
400.0,400.0,100.0,100.0
400.0,398.8,103.543465,100.0
400.05028100768766,397.6832778846646,107.19817211596906,100.157128149024
400.3758334233771,396.8752186593209,111.02944194321176,100.52466318991732
400.9690551091783,396.3679371782484,115.04540747926652,101.09899085167073
401.81796092044846,396.149273060097,119.2532886932177,101.87665034321206
402.9108682908739,396.2074886046852,123.66059668044342,102.85542025619472
404.2371201191028,396.53198889506336,128.27536265613688,104.03443409231193
405.7871512750346,397.1133847863402,133.10620174103823,105.41415067325767
407.55240945452334,397.9434112989456,138.16233792300162,106.99630463080443
409.5252477789673,399.01481889622846,143.4536200952329,108.78386429694478
411.6988205062112,400.32126882921193,148.99053771931983,110.78100331510113
414.0669899033127,401.8572404105018,154.78423872848052,112.99308688379902
416.62424534529407,403.61795113331976,160.84655042035672,115.42667213347978
419.3656336218562,405.5992885097858,167.19000347296134,118.08952188968263
422.2866989411403,407.7977520415661,173.8278590242135,120.99063118052744
425.383431146812,410.21040378683045,180.7741387119464,124.14026604916019
428.65222084516927,412.8348261850712,188.04365758024875,127.55001445058286
432.08982034462935,415.6690860194372,195.65205978341277,131.23284922234478
435.6933094984038,418.71170359374287,203.61585704710524,135.2032033149089
439.4600657012951,421.96162636808896,211.9524698728393,139.477057651794
443.3877374234018,425.4182064338197,220.6802714949989,144.07204216550514
447.4742207706856,429.08118131943496,229.8186346194465,149.00755072682932
451.717638649098,432.9506577086749,239.3879809894611,154.30487085612785
456.1163221792073,437.0270977244776,249.40983383886635,159.98732927933014
460.66879406531547,441.3113074913561,259.90687330413954,166.0804545716723
465.37375366958526,445.80442773674906,270.90299487740515,172.6121583218607
470.2300635798401,450.50792623129416,282.42337099080294,179.6129364511801
475.2367374911243,455.4235919004903,294.49451583000064,187.11609253895367
480.3929292471474,460.5535304672245,307.1443534807591,195.15798524054915
485.6979229094188,465.9001615072147,320.40228951756814,203.77830213972516
491.15112374002655,471.4662168184058,334.29928614752504,213.02036265653965
496.75204999928405,477.25474002141647,348.86794102586794,222.9314529384614
502.5003254723733,483.2690873218094,364.1425698619087,233.5631959990682
508.3956726500722,489.51292937665687,380.159292935523,244.97196073931556
514.4379064980001,495.9902542179467,396.9561256448106,257.2193138945629
520.6269287568138,502.7053711940884,414.5730732049782,270.3725194003201
526.9627227226719,509.66291589835566,433.0522296168528,284.5050901652162
533.4453484632138,516.867856059721,452.4378810206015,299.69739778539054
540.0749384294435,524.3254983773421,472.7766135461197,316.03734633493843
546.8516934283698,532.0414962850713,494.1174257660165,333.6211170269113
553.7758789251465,540.0218586368695,516.5118458500447,352.5539912634218
560.8478216468545,548.2729593080023,540.0140535110281,372.9512603863352
568.0679064630507,556.8015477104295,564.6810068216678,394.93923130631634
575.4365735208238,565.6147602239407,590.5725739688625,418.6563381317118
582.9543156144107,574.7201325473627,617.7516699971719,444.2543709432554
590.6216757714598,584.1256129766178,646.2843985755416,471.89983396820844
598.4392450398354,593.8395766185654,676.2401988011839,501.775446599091
606.4076604604597,603.8708405514335,707.6919970313043,534.0818019763086
614.5276032131073,614.2286799442677,740.7163637069206,569.0391992065171
622.799796923342,624.9228451491865,775.3936751030612,606.8896667114363
631.2250061199125,635.9635797813623,811.8082799058603,647.899195681856
639.8040348329379,647.3616398025356,850.0486704791857,692.3602041290071
648.5377253241221,659.1283136245266,890.2076586411366,740.5942535520066
657.4269569410461,671.2754432496315,932.3825557237031,792.9550417365742
666.4726450883229,683.8154464649731,976.6753566367838,849.8316966137792
675.6757403090545,696.7613401078221,1023.1929276002757,911.6523973681035
685.037227470627,710.1267644185999,1072.0471971447942,978.8883500000527
694.558125049413,723.926008497717,1123.3553499124216,1052.058145201907
704.2394845094364,738.1740368815829,1177.240022713467,1131.7325265455513
714.0823897704951,752.8865172520331,1233.8295022132927,1218.5395964188615
724.0879567616317,768.0798492920511,1293.257923534602,1313.1704856447245
734.2573330562059,783.7711946990081,1355.665468965042,1416.3855099809068
744.5916975851505,799.9785083646909,1421.198565857454,1529.0208323698832
755.0922604252926,816.7205707291353,1490.0100827005829,1651.9956434487685
765.7602626598922,834.0170213127193,1562.259522221619,1786.3198639164682
776.596976308804,851.8883934280942,1638.1132102587806,1933.1023602663752
787.6037043258904,870.356150070339,1717.7444790125926,2093.559649400982
798.7817806615277,889.4427209802211,1801.3338431490367,2269.025046912323
810.1325703882371,909.1715408716284,1889.069167087064,2460.9581873940797
821.6574698876467,929.567088810122,1981.1458216578835,2670.9548120068375
833.3579070971556,950.6549287251582,2077.766828175156,2900.7566775384616
845.2353418148199,972.4617510338458,2179.142987805044,3152.261391258468
857.2912660611174,995.0154153491986,2285.4929939747444,3427.5319158886614
869.5272044963788,1018.3449942407073,2397.0435254095823,3728.8054181079424
881.9447148927891,1042.4808180097525,2514.029317244372,4058.501051625682
894.545388659977,1067.4545204369665,2636.693207517254,4419.226172015942
907.330851423311,1093.2990854531497,2765.286156226683,4813.780376098402
920.3027636541192,1120.0488946798778,2900.067234018237,5245.156645831784
933.4628213511426,1147.7397757805168,3041.303577471317,5716.538759322732
946.8127567726108,1176.4090515571447,3189.270307881003,6231.294015772299
960.354339218422,1206.0955897239107,3344.250410382017,6792.960215933592
974.0893758619728,1236.8398532827882,3506.5345702450663,7405.225757261077
988.0197126312672,1268.683951423615,3676.420963196178,8071.901659514095
1002.1472351389996,1301.67169086688,3854.214996672668,8796.884352197823
1016.4738696613724,1335.8486275650814,4040.228999040949,9584.108153558289
1031.0015841654813,1371.2621186767722,4234.781853967287,10437.48657810904
1045.732389385153,1407.9613747268031,4438.198577358613,11360.841952521067
1060.6683399451945,1445.9975118669206,4650.8098345820135,12357.823321893267
1075.8115355340583,1485.4236041529543,4872.951396033462,13431.813305923532
1091.164122125002,1526.2947357584842,5104.963529562849,14585.825419329192
1106.7282932458645,1568.6680530502845,5347.19032877659,15822.394383857136
1122.5062912976475,1612.6028164581285,5599.978976832673,17143.463082811963
1138.5004089221447,1658.1604520808544,5863.6789460162,18550.270961531303
1154.712990418913,1705.40460298203,6138.641134134202,20043.24974078211
1171.1464332119483,1754.4011801422048,6425.216939592569,21621.933134625193
1187.8031893664688,1805.2184130506464,6723.757277908357,23284.88768011555
1204.6857671562802,1857.9268999376288,7034.611543357494,25029.671625622897
1221.7967326822454,1912.5996576687264,7358.126520447946,26852.827952592317
1239.138711542443,1969.312171345102,7694.645250924943,28749.915955323835
1256.7143905546566,2028.1424436782315,8044.505863038037,30715.58340938313
1274.526519531898,2089.1710442337776,8408.040370805913,32743.678379634395
1292.577913111725,2152.4811586669825,8785.573451977341,34827.39643650919
1310.8714526401786,2218.1586381007337,9177.421214275946,36959.45584567364
1329.410088111231,2286.2920488268824,9583.889960300688,39132.290598362786
1348.1968401626896,2356.9727225409515,10005.274962099926,41338.24935501067
1367.2348021295809,2430.2948073494767,10441.859256910971,43569.787773661774
1386.5271421561004,2506.3553198172385,10893.912475826182,45819.64240617803
1406.0771053672804,2585.254198347857,11361.689717180054,48080.97628664101
1425.8880161016057,2667.094358214868,11845.430476222671,50347.48923447095
1445.9632802058766,2751.9817485807203,12345.357642131074,52613.48933870098
1466.306387393694,2840.025411857296,12861.676572597358,54873.925610718135
1486.920913669021,2931.337545772792,13394.574255114168,57124.384950685526
1507.8105238163528,3026.033568515289,13944.218562658583,59361.059029461445
1528.978973959109,3124.232187322386,14510.757609769367,61580.68824989307
1550.4301141879498,3226.055470878128,15094.319213046849,63780.49057964165
1572.1678912607993,3331.628925862653,15695.010457918746,65958.08283546433
1594.1963513764545,3441.081577975833,16312.917371159996,68111.40113082934
1616.519643023747,3554.5460577234967,16948.104696192426,70238.6259031958
1639.1420199083211,3672.158691213243,17600.615765693103,72338.11544282475
1662.0678439591898,3794.059596156298,18270.47246358732,74408.35034851251
1685.301588417332,3920.392783212399,18957.675266178227,76447.88998440199
1708.8478410086984,4051.3062627464815,19662.203350055588,78455.34089839617
1732.7113072041002,4186.952156989359,20384.01475261493,80429.33632844692
1756.8968135685657,4327.486817509997,21123.046569584065,82368.52536924444
1781.4093112028677,4473.070947815174,21879.21517296512,84271.57007117137
1806.253879280037,4623.869730793666,22652.416432313054,86137.14865162747
1831.435728679804,4780.052960617703,23442.52592232663,87963.96306493797
1856.9602057240293,4941.79517860476,24249.399100346032,89750.74935057801
1882.8327960163333,5109.275812428884,25072.871438535585,91496.28941539924
1909.059128389224,5282.679317953282,25912.758497260165,93199.42316712321
1935.6449789622231,5462.1953228356815,26768.85592840076,94859.06017587123
1962.5962753145795,5648.018770935678,27640.93940003844,96474.19027903961
1989.9191007763231,5840.35006642947,28528.76443698969,98043.89275124217
2017.6196988415784,6039.395216412502,29432.06617500736,99567.34383039823
2045.7044777081908,6245.36597064503,30350.55902996748,101043.82252304922
2074.1800149478886,6458.479956969585,31283.93628693198,102472.71470945187
2103.053062311378,6678.960810802947,32231.86961749681,103853.51563654322
2132.3305506729225,6907.038296978444,33194.00853719212,105185.83092989321
2162.0195951191467,7142.948422087126,34169.97981778896,106469.37627967428
2192.1275001869867,7386.933535338378,35159.38687208762,107703.97596544403
2222.6617652558907,7639.242415831671,36161.80913103208,108889.56038439233
2253.630090099572,7900.130344001207,37176.801434744586,110026.16274105935
2285.0403806028103,8169.859154864,38203.89346025326,111113.91504599426
2316.900754649019,8448.69727056953,39242.58920926216,112153.04355828308
2349.2195481844783,8736.91970961558,40292.36657927727,113143.86379362413
2382.0053214653926,9034.808069960638,41352.67704075999,114086.77520649903
2415.2668654941167,9342.650483128997,42422.94544176005,114982.25564246485
2449.013208651159,9660.741536271486,43502.56995972612,115830.85564492627
2483.253623529787,9989.382159013989,44590.922217962456,116633.19269003188
2517.997633980324,10328.87947179945,45687.34758156612,117389.94541357322
2553.2550223714657,10679.546592309547,46791.16564471955,118101.8478849028
2589.035837076221,11041.702396442202,47901.67091801497,118769.6839748549
2625.350400190336,11415.671230224436,49018.13372113683,119394.28185737693
2662.209315491348,11801.782568960787,50139.8012828152,119976.50867798932
2699.6234766467014,12200.370619860012,51265.899046570026,120517.26541622684
2737.604075679644,12611.773864352648,52395.632177471925,121017.48196382442
2776.162611701925,13036.334536314633,53528.1872620197,121478.11243555075
2815.310899922639,13474.39803245389,54662.734190337935,121900.13072523022
2855.061080942849,13926.312251203948,55798.42820727925,122284.5263155951
2895.4256303459947,14392.426856608165,56934.41211671292,122632.30034714875
2936.41736859437,14873.092463876646,58069.81862132041,122944.46194817155
2978.049471242357,15368.659743562435,59203.77277861459,123222.02482533782
3020.335479477405,15879.478441640314,60335.39455265778,123466.00411211215
3063.289311000145,16405.89631318691,61463.80144006985,123677.41347012972
3106.9252712553707,16948.257967859805,62588.111148380245,123857.26243711558
3151.258065026015,17506.903625960585,63707.44430456792,124006.55401353487
3196.302808402625,18082.167784545218,64820.9271717292,124126.28247906697
3242.075041141241,18674.37779381645,65927.6943521882,124217.43142913586
3288.5907394229853,19283.852344896888,67026.89145599095,124280.97202108295
3335.866329029076,19910.89987103557,68117.67771457242,124317.86141911395
3383.918698945399,20555.81686534072,69199.22852042854,124329.04142686585
3432.7652154111934,21218.88611924965,70270.73787483264,124315.4372963027
3482.423736426847,21900.374887133486,71331.42072698337,124277.95670163914
3532.912626736215,22600.53298367673,72380.51518943202,124217.48886709062
3584.250773299336,23319.590821954404,73417.28461618877,124134.90383744158
3636.457601271851,24057.75740143338,74441.01953152752,124031.05188069172
3689.553090507891,24815.218256429864,75451.03939917716,123906.76301237171
3743.5577926036326,25592.133376836948,76446.69422328472,123762.84663150075
3798.492848499197,26388.63511417124,77427.36597424447,123600.09125857714
3854.380006656992,27204.82608714807,78392.46983418977,123419.26436644013
3911.241641835068,28040.777102054337,79341.45525862627,123221.11229530755
3969.100774474492,28896.52510411936,80273.80685232948,123006.36024377136
4027.981090720185,29772.07117686152,81189.04505922367,122775.71232801526
4087.906963095106,30667.37860698748,82086.72666748853,122529.85170200103
4148.903471848084,31582.3710328202,82966.44513259268,122269.4407318454
4210.996426996004,32516.930694414525,83827.83072231844,121995.12121807688
4274.212391081451,33470.89680347071,84670.55048910905,121707.51465991554
4338.578702667303,34444.06405086969,85494.3080762304,121407.22255615827
4404.123500590084,35436.18126912633,86298.84336528632,121094.82673767373
4470.875748994241,36446.9502662914,87083.93197355495,120770.88972691513
4538.865263169798,37476.02484683962,87849.38461041912,120435.95512024284
4608.122736216087,38523.01003387432,88595.04630284414,120090.54798921295
4678.679766554484,39587.46150557913,89320.79550041235,119735.17529733147
4750.568886313236,40668.8852572785,90026.54307085447,119370.32632909679
4823.823590607611,41766.73749875932,90712.23119732832,118996.47312845601
4898.478367738606,42880.424794685256,91377.83218888709,118614.07094408337
4974.568730333504,44009.30445403501,92023.34721565948,118223.55867915257
5052.131247451419,45152.6851725454,92648.80498023682,117825.3593435191
5131.203577676853,46309.82793016897,93254.26033663609,117419.88050645543
5211.824503223967,47479.94714358993,93839.79286798806,117007.51474829072
5294.033965073948,48662.2120719034,94405.50543379746,116588.64010949938
5377.873099167324,49855.74847166983,94951.5226972404,116163.62053595997
5463.384273672475,51059.6404957225,95477.98964251755,115732.80631926756
5550.61112735084,52272.93282834023,95985.0700917722,115296.53453113131
5639.598609038365,53494.6330477056,96472.9452305228,114855.12945102385
5730.39301826168,54723.71420495283,96941.81214995631,114408.90298637204
5823.042047006178,55959.11760756884,97391.88241378884,113958.15508469021
5917.594822651708,57199.75579344486,97823.3806567344,113503.17413715765
6014.101952089824,58444.515680482655,98236.54322093564,113044.23737323337
6112.615567034615,59692.261875338845,98631.61683601064,112581.61124598299
6213.189370536855,60941.84012364526,99008.85734766728,112115.55180786616
6315.878684708665,62192.08088287666,99368.52849913164,111646.30507679848
6420.740499663061,63441.80299795849,99710.90076894446,111174.10739236105
6527.833523669471,64689.81745872746,100036.25026799798,110699.18576208226
6637.218234522762,65934.93121749126,100344.85769802636,110221.75819776306
6748.956932119271,67175.95104419858,100637.00737312782,109742.03404185752
6863.113792228884,68411.68739614518,100912.9863052926,109260.21428395594
6979.75492144725,69640.95827872677,101173.08335434088,108776.49186744938
7098.948413306781,70862.59307352407,101417.58844214288,108291.05198648116
7220.764405518999,72075.43630998842,101646.79183050316,107804.07237331447
7345.275138314245,73278.35135720254,101860.98346164275,107315.72357626502
7472.555013837399,74470.22401263284,102060.45235981156,106826.16922836473
7602.680656550353,75649.96596547404,102245.48609220608,106335.56630693648
7735.730974583219,76816.51811311526,102416.37028705885,105844.0653842719
7871.787221966766,77968.85371042638,102573.3882065007,105351.81086961337
8010.933061668211,79105.98133296354,102716.82037158034,104858.94124264928
8153.254629341232,80226.94763680936,102846.94423665007,104365.58927873717
8298.84059768886,81330.83989957519,102964.03391019568,103871.88226607366
8447.782241324674,82416.78832907478,103068.35991909583,103377.94221503293
8600.17350200341,83483.96812830323,103160.1890132426,102883.88605989712
8756.111054076682,84531.60130758754,103239.7840074351,102389.82585320254
8915.694370012869,85558.95823708456,103307.4036574707,101895.86895292517
9079.025785802349,86565.3589351503,103363.30256739906,101402.11820272788
9246.210566050073,87550.17409045897,103407.73112497073,100908.67210548946
9417.35696853696,88512.82581807398,103440.93546240058,100415.62499033332
9592.576308009524,89452.78815193503,103463.15743967373,99923.06717337079
9771.983018933835,90369.58727839404,103474.63464774474,99431.08511236974
9955.694716924863,91262.80151748048,103475.60042911665,98939.76155555615
10143.832258535753,92132.0610604803,103466.28391343214,98449.17568475149
10336.519799063506,92977.04747414934,103446.91006586178,97959.40325304447
10533.884847997777,93797.49298343988,103417.69974623142,97470.51671719097
10736.058321708137,94593.17954597932,103378.86977699034,96982.58536493142
10943.174592932186,95363.93773270107,103330.63301828151,96495.67543740936
11155.371536592238,96109.6454299803,103273.1984485332,96009.85024687035
11372.790571432066,96830.22637937313,103206.77124914547,95525.17028981532
11595.576696927474,97525.64857159932,103131.55289199624,95041.69335577676
