"fixed_sym_D_0.4_ooo","fixed_asym_D_0.4_oog","fixed_asym_D_0.4_ogg","fixed_sym_D_0.4_ggg"
100.0,100.0,100.0,100.0
99.98360208,99.98360208,99.99590052,99.99590052
99.8934722900133,99.89352147570656,99.91780976253048,99.91805757946514
99.8039498534431,99.80409608627764,99.84006406440125,99.84080095251824
99.71668115049596,99.71697095289706,99.76431133202766,99.7657720410156
99.63179415906244,99.63227270666364,99.6906813354146,99.6930941912862
99.54915906265988,99.54987018026644,99.61904627159169,99.6226332606503
99.46860051241876,99.46958667348828,99.5492330235073,99.55420987963606
99.38994753403476,99.391249863454,99.48107306087466,99.48764935633703
99.31304560921372,99.31470388913226,99.4144145116779,99.4227937513663
99.23775825840724,99.23981093688592,99.3491237328127,99.35950345174025
99.16396561394215,99.1664498161831,99.28508387016576,99.29765573392832
99.09156228936016,99.09451383129634,99.22219271465744,99.23714262256568
99.02045527933518,99.02390868337064,99.16036058901337,99.17786877958903
98.95056210470936,98.95455061741396,99.09950848002586,99.1197496385618
98.88180923930902,98.88636485088384,99.03956645308337,99.06270982097861
98.81413079657648,98.81928426191844,98.98047232706104,99.00668181265675
98.7474674384184,98.7532482996226,98.92217057199548,98.95160486265334
98.68176546832326,98.68820207847324,98.86461139159869,98.8974240667796
98.61697607535322,98.62409562345772,98.80774995720644,98.84408960232312
98.55305470117304,98.56088323811773,98.75154576530784,98.79155608614023
98.48996050746295,98.49852297285372,98.695962095982,98.73978203345955
98.42765592546756,98.43697617525028,98.64096555397305,98.68872939914102
98.3661062730302,98.3762071077784,98.58652567772928,98.63836318673032
98.30527942734253,98.31618262111265,98.53261460461432,98.58865111352809
98.24514554392756,98.25687187358704,98.47920678278616,98.53956332218218
98.18567681418816,98.19824608912852,98.42627872205496,98.4910721311239
98.12684725529051,98.14027834744276,98.37380877746824,98.44315181760798
98.0686325272956,98.08294340137138,98.32177696051716,98.39577842825886
98.0110097733636,98.02621751725042,98.27016477377018,98.34892961293878
97.95395747958791,97.97007833483164,98.21895506547258,98.30258447848477
97.8974553516037,97.9145047439165,98.16813190124056,98.2567234594508
97.84148420559288,97.85947677532852,98.11768045045524,98.21132820346791
97.78602587169505,97.8049755042384,98.06758688535112,98.16638146922399
97.7310631081501,97.75098296417096,98.01783829111064,98.1218670353809
97.6765795247593,97.69748207028456,97.96842258553724,98.07776961900792
97.62255951446537,97.64445655072728,97.9193284470954,98.03407480232522
97.5689881920306,97.59189088505194,97.87054525028384,97.99076896672922
97.51585133894014,97.53977024882016,97.82206300745736,97.94783923322031
97.46313535378128,97.4880804636494,97.77387231633767,97.90527340847747
97.41082720745354,97.43680795206087,97.72596431255674,97.86305993592862
97.3589144026524,97.38593969657302,97.67833062666604,97.82118785125344
97.30738493714324,97.33546320256056,97.63096334511889,97.77964674182995
97.25622727040562,97.28536646446072,97.58385497479615,97.73842670969917
97.20543029328071,97.2356379349627,97.5369984107012,97.69751833767627
