"fixed_sym_D_0.4_ooo","fixed_asym_D_0.4_oog","fixed_asym_D_0.4_ogg","fixed_sym_D_0.4_ggg"
4.0,4.0,1.0,1.0
4.0,3.988,1.0604533,1.0
4.0,3.976290948346012,1.1195166577700182,1.00007094662575
4.000000260715309,3.964878396230915,1.178470153210486,1.0014863802774125
4.000003811760572,3.95376981086554,1.237261027015721,1.004185617173218
4.000016843430069,3.9429745430511858,1.29581352019825,1.0080822473884312
4.000048106175929,3.932503352987012,1.3540556699409645,1.0130912795214067
4.0001083888001165,3.922368013638279,1.4119232856302355,1.0191334592783354
4.000210089303393,3.9125809893932337,1.469360161939892,1.0261357698962066
4.00036686231711,3.9031551760914858,1.5263174719165449,1.034031064699415
4.000593327685694,3.894103690237883,1.5827530135600107,1.0427575158182598
4.000904828036315,3.885439697804993,1.6386304876444078,1.0522580651409816
4.001317225994308,3.8771762751569656,1.6939188507647829,1.0624799275908183
4.001846733832468,3.8693262962456383,1.7485917479183706,1.0733741555007925
4.002509769916806,3.861902341447193,1.802627017386178,1.0848952601620558
4.003322837482536,3.854916624330677,1.8560062581729648,1.0970008833059686
4.004302422157087,3.8483809333581087,1.9087144506590972,1.109651511102286
4.005464905322516,3.842306586066658,1.9607396223287168,1.122810224053056
4.006826490934133,3.836704393716972,2.012072551747458,1.1364424771665325
4.008403143824696,3.8315846347368456,2.062706505139328,1.150515905744222
4.010210537851828,3.8269570355670464,2.1126370009020783,1.1650001529307297
4.012264012510575,3.82283075774138,2.1618615982106237,1.1798667158523757
4.014578536847626,3.8192143902174287,2.2103797065142063,1.195088807721586
4.017168679689608,3.8161159461263168,2.258192413262901,1.2106412337303387
4.020048585343075,3.813542863235887,2.3053023276276554,1.2265002789171435
4.0232319540446,3.811502007526835,2.351713438326039,1.2426436064850366
4.026732026540361,3.809999679369534,2.3974309839498336,1.2590501652866948
4.030561572259698,3.8090416218636207,2.4424613344235877,1.275700105388023
4.03473288061897,3.808633030965296,2.486811882415639,1.2925747007821726
4.039257755053182,3.808778567080717,2.530490943682864,1.3096562784587629
4.044147509424998,3.809482367849415,2.57350766546386,1.3269281531435053
4.049412966505424,3.810748061880569,2.6158719421474528,1.344374567115741
4.055064458258878,3.812578783238383,2.657594337538199,1.36198063458895
4.06111182769849,3.8149771865014817,2.6986860131210566,1.379732290204794
4.067564432106178,3.817945462245942,2.739158661796219,1.3976162412468192
4.074431147436901,3.821485352822925,2.779024446614116,1.415619923227322
4.081720373748154,3.825598168320301,2.8182959440915027,1.4337314585414385
4.089440041514664,3.830284802613616,2.856986091733657,1.451939617917397
4.097597618704702,3.835545749425598,2.8951081394260805,1.4702337844219835
4.106200118508936,3.8413811183254256,2.932675604392605,1.4886039198063603
4.115254107625363,3.84779065060938,2.969702229446205,1.507040533000079
