D=0.0,D=0.1,D=0.2,D=0.3,D=0.4
56934.234802939645,44478.68548663441,35756.282955523995,29214.736594461883,24067.042107465313
58967.94501233521,46181.84108362784,37168.327005600295,30371.976601413746,25002.33717182792
61016.5768617887,47918.20101962455,38619.72014744714,31568.062524563564,25972.48917878328
63074.43763677237,49684.34179999486,40108.79948200944,32802.52036506618,26977.728885637312
65135.60909004955,51476.48988550535,41633.57619205097,34074.63132889085,28018.13133075153
67194.00166781794,53290.54035717154,43191.73083209756,35383.416680813774,29093.599452712424
69243.41255708822,55122.081271791016,44780.612888787975,36727.62468317807,30203.848086435544
71277.58645531771,56966.42351886402,46397.24493573537,38105.72006859101,31348.388669097283
73290.27786616012,58818.635846034784,48038.331617073454,39515.87647679957,32526.51501305477
75275.31366443301,60673.58457942802,49700.27359132975,40955.97225192135,33737.29051914131
77226.65465323546,62525.9774320177,51379.18645499177,42423.589947090026,34979.53721028672
79138.45485888561,64370.41067226639,53070.92454637949,43916.01982016094,36251.82696096331
81005.1173750762,66201.41882150044,54771.109408773,45430.26752782656,37552.475281541294
82821.34567405666,68013.52596637809,56475.162570930064,46963.066138310605,38879.53798777171
84582.18944511176,69801.29771638193,58178.34218704106,48510.89248722299,40230.81104435732
86283.0841924553,71559.39280871091,59875.78297071102,50069.98780001439,41603.83381853884
87919.88401768642,73282.61336630871,61562.53876256898,51636.38240086407,42995.89591597954
89488.88721701797,74965.95284970105,63233.6269922295,53205.92422500118,44404.04769863071
90986.8545311618,76604.64080892951,64884.07423586903,54774.31075266856,45825.11450477553
92411.02008699645,78194.18363568754,66508.96203339548,56337.12389141478,47255.714507460194
93759.09525683924,79730.4006338323,68103.47211610919,57889.86725223941,48692.280061616555
95029.26582657552,81209.45486357929,69662.93020797567,59428.00519719827,50131.08230504522
96220.183003014,82627.87836480621,71182.84760117035,60947.00298396764,51568.25869675118
97330.94890042018,83982.59152144297,72658.95976826486,62442.36729870564,52999.84310051399
98361.09722480828,85270.9164853044,74087.26135699198,63909.68645392175,54421.797954488604
99310.56992251342,86490.58472769424,75464.03701557852,65344.66953387987,55830.04801130951
100179.69057851912,87639.73892516321,76785.88761292773,66743.18379644013,57220.51508956511
100969.13534283573,88716.92950742616,78049.75154360376,68101.28968646338,58589.15324822405
101679.90213357942,89721.10629729244,79252.92093745693,69415.2728803624,59931.98378180706
102313.27881745728,90651.60575245284,80393.05272267386,70681.67286166955,61245.12943648442
102870.8110064651,91508.13437623843,81468.17461420367,71897.3076204745,62524.84726595472
103354.27003803664,92290.74889930448,82476.68621263829,73059.2941716039,63767.55958042835
103765.62162863124,92999.83384785244,83417.35549822745,74165.06469347198,64969.88249117931
104106.99561137422,93636.07710852983,84289.31108820938,75212.37819754009,66128.65161521651
104380.65708989308,94200.44407813365,85092.03069142306,76199.32774333197,67240.94457740194
104588.97926536744,94694.15095064252,85825.32624157149,77124.34331236048,68304.10002811477
104734.41812389527,95118.63764799514,86489.32621974028,77986.19054305661,69315.73298034415
