fixed_asym_D=0.1 mm/w,fixed_sym_D=0.1 mm/w
0.0,0.0
0.01639792,0.01639792
0.1066791865235553,0.10628568508322632
0.19540635910439,0.19423968183608267
0.2809496775179251,0.2786435129509789
0.3632218556457305,0.3594227874644996
0.4423946870147701,0.4367617574968038
0.5186829669852139,0.5108872671605216
0.5922939625389434,0.5820182451048317
0.6634154526950354,0.650353764709939
0.7322144427217127,0.7160717758079119
0.7988389054917545,0.7793308617609813
0.8634201996504726,0.840272671906564
0.926075420429501,0.8990242854494026
0.9869094697333404,0.9557002936130523
1.0460168131292218,1.0104045678240559
1.1034829504491466,1.0632317407502874
1.1593856419328905,1.1142684422128841
1.2137959315515974,1.1635943316855804
1.266779003970396,1.2112829639014988
1.3183949055003452,1.2574025179695545
1.3686991537490727,1.3020164147539404
1.417743255900816,1.3451838424852893
1.465575151659425,1.3869602066699067
1.5122395937651552,1.4273975172365763
1.5577784765126423,1.4665447233735411
1.6022311207265327,1.504448004534454
1.6456345220854778,1.5411510245238658
1.6880235684377618,1.5766951543233045
1.72943123075413,1.6111196683194915
1.769888731561795,1.6444619177931195
1.8094256940564752,1.6767574848781484
1.848070274564268,1.7080403196753564
1.8858492805970253,1.7383428627747242
1.922788276394048,1.7676961550894807
1.9589116775540008,1.7961299366149264
1.994242836121896,1.8236727354853872
2.028804117297291,1.8503519485033304
2.0626169687639475,1.8761939141482027
2.095701983502089,1.901223978932943
2.1280789568272644,1.9254665578585384
2.159766938300811,1.948945189617571
2.190784279072894,1.9716825871133163
2.2211486751475373,1.9937006837890554
2.250877206997897,2.0150206762007965
2.27998637590758,2.0356630632138755
2.308492137368665,2.05564768215851
2.3364099318281544,2.0749937422402076
2.3637547130408354,2.0937198554669814
2.390540974257269,2.111844065325861
2.416782772450128,2.1293838734155126
2.442493750759852,2.1463562642193583
2.4676871593211187,2.162777728183965
2.4923758746145324,2.178664283250229
2.516572417472906,2.194031494969735
2.540288969858272,2.2088944953252785
2.5635373905140395,2.223268000362743
2.5863292295863625,2.237166326731033
2.6086757422995874,2.2506034072174788
2.630587901762472,2.2635928053578636
2.652076410974584,2.2761477291928465
2.673151714095812,2.2882810442359864
2.6938240070360733,2.300005285712675
2.714103247417154,2.311332670124021
2.7339991639538974,2.3222751061849927
2.753521265297809,2.332844205181863
2.7726788483823457,2.343051290790172
2.791481006305763,2.352907408390959
2.809936635784334,2.3624233339199012
2.828054444205957,2.371609582281155
2.845842956311681,2.380476415355146
2.8633105205303795,2.3890338496272205
2.880465314989745,2.3972916634619743
2.8973153532248968,2.405259404046133
2.9138684896041767,2.4129463940211267
2.9301324244901563,2.4203617378248956
2.946114709152448,2.427514327761009
2.961822750447619,2.434412849811844
2.9772638152803084,2.441065789211358
2.9924450348585703,2.4474814357918606
3.007373408755454,2.453667889118173
3.0220558087879232,2.459633063421617
3.0364989827233697,2.4653846923454097
3.0507095578232004,2.4709303335122446
3.0646940442322603,2.4762773729241014
3.0784588382222005,2.4814330292036515
3.0920102252962773,2.4864043576860033
3.105354383162521,2.4911982543689444
3.118497384581674,2.4958214597293127
3.131445200095828,2.5002805624126294
3.1442037006432257,2.504582002802663
3.156778660064291,2.5087320764771754
3.169175757503538,2.5127369375557005
3.1814005797116773,2.516602601944842
3.193458623251856,2.520334950486233
3.205355296613698,2.5239397320119763
3.2170959222384745,2.5274225663121075
3.2286857384584637,2.530788947018316
3.2401299013533094,2.5340442444079327
3.251433486525928,2.53719370813193
3.2626014908002663,2.540242469870463
3.2736388338430205,2.543195545919276
3.28455035971118,2.546057839710083
3.295340838327085,2.5488341442678744
3.306014966882492,2.5515291446078963
3.3165773711729227,2.5541474200749166
3.3270326068634613,2.5566934466272193
3.337385160686928,2.559171599067635
3.34763945157524,2.561586153223777
3.3577998317245874,2.563941288079527
3.3678705875949144,2.5662410878597
3.3778559408440345,2.5684895440696955
3.3877600491965736,2.5706905574918446
3.3975870072477847,2.572847940140064
3.407340847202144,2.5749654171743264
3.417025539546499,2.5770466287763747
3.426644993657402,2.57909513198802
3.4362030583421377,2.581114402513288
3.4457035223128054,2.5831078364855955
3.4551501145927026,2.585078752201083
3.464546504854113,2.587030391819141
3.473896303686476,2.588965923031126
3.483203062793787,2.5908884406981847
3.492470275119943,2.592800968459058
3.501701374900614,2.59470646030868
3.510899737640104,2.5966078021483336
3.5200686800115126,2.598507813308074
3.5292114596783914,2.600409248042094
3.538331275035947,2.6023147969976486
3.5474312648697133,2.6042270886581242
3.5565145079294767,2.6061486907607905
3.565584022416096,2.6080821116897415
3.5746427653787345,2.61002980184449
3.583693632019869,2.6119941549846466
3.5927394549053093,2.613977509551087
3.601783003076315,2.6159821499639655
3.610826981060763,2.618010307897921
3.619874027780172,2.6200641635347734
3.628926715349247,2.622145846793995
3.63798754776447,2.6242574385412074
3.647058959478127,2.6264009717749257
3.6561433138540007,2.628578432791758
3.665242901500851,2.6307917623302295
3.6743599384796393,2.6330428566933857
3.68349656438034,2.6353335688503083
3.692654840264039,2.637665709516645
3.701836746465907,2.640041048214245
3.711044180254498,2.64246131430996
3.7202789533427194,2.644928198033658
3.729542789245718,2.6474433514754767
3.738837320480824,2.650008389562308
3.748164085604582,2.6526248910135144
3.757524526081887,2.655294399275829
3.766919982982093,2.658018423437389
3.776351693497005,2.6607984391208293
3.785820787275556,2.6636358893553416
3.795328282570018,2.6665321854275863
3.8048750821885866,2.6694887077113263
3.8144619692492023,2.67250680647563
3.8240896027295728,2.6755878026714774
3.833758512808415,2.678732988696569
3.843469095993109,2.681943629138142
