time,value_R
0.0,0.0
0.01,0.0
0.02,0.00024202490346496002
0.03,0.001810464720812858
0.04,0.004675336332160849
0.05,0.008783050597324964
0.06,0.014079166031259568
0.07,0.02051217683980014
0.08,0.028034112815108016
0.09,0.036600397445954974
0.1,0.046169533488288284
0.11,0.056702772998775526
0.12,0.0681638159557571
0.13,0.08051854698055191
0.14,0.09373480877447983
0.15,0.10778220781172483
0.16,0.12263194741018325
0.17,0.13825668374400704
0.18,0.15463040101781778
0.19,0.17172830266682998
0.2,0.18952671600893442
0.21,0.20800300824182094
0.22,0.22713551205838597
0.23,0.2469034594604758
0.24,0.2672869225980649
0.25,0.2882667606601443
0.26,0.30982457200468155
0.27,0.3319426508458539
0.28,0.35460394792353755
0.29,0.377792034667634
0.3,0.4014910704420433
0.31,0.4256857725129636
0.32,0.4503613884360687
0.33,0.47550367059886894
0.34,0.5010988526896787
0.35,0.5271336278942911
0.36,0.5535951286466475
0.37,0.5804709077812538
0.38,0.6077489209534651
0.39,0.6354175102095414
0.4,0.6634653886019769
0.41,0.6918816257573785
0.42,0.7206556343143872
0.43,0.7497771571580306
0.44,0.7792362553846734
0.45,0.8090232969385367
0.46,0.8391289458667458
0.47,0.8695441521451331
0.48,0.9002601420316807
0.49,0.9312684089086055
0.5,0.9625607045777538
0.51,0.9941290309772189
0.52,1.0259656322900024
0.53,1.0580629874181267
0.54,1.090413802797931
0.55,1.123011005534357
0.56,1.1558477368339068
0.57,1.1889173457176356
0.58,1.2222133829970587
0.59,1.2557295954972265
0.6,1.2894599205124593
0.61,1.3233984804813599
0.62,1.3575395778687416
0.63,1.3918776902430383
0.64,1.4264074655386063
0.65,1.461123717493098
0.66,1.496021421250793
0.67,1.5310957091234105
0.68,1.5663418665005193
0.69,1.601755327902195
0.7,1.6373316731670773
0.71,1.6730666237694252
0.72,1.7089560392591925
0.73,1.7449959138195277
0.74,1.7811823729364586
0.75,1.8175116701758485
0.76,1.853980184063013
0.77,1.890584415060669
0.78,1.9273209826411417
0.79,1.9641866224490008
0.8,2.001178183550516
0.81,2.0382926257665304
0.82,2.075527017085543
0.83,2.1128785311539695
0.84,2.1503444448407194
0.85,2.1879221358733765
0.86,2.225609080543426
0.87,2.2634028514780975
0.88,2.30130111547652
0.89,2.3393016314080124
0.9,2.377402248170432
0.91,2.415600902706619
0.92,2.4538956180770612
0.93,2.492284501587006
0.94,2.5307657429663246
0.95,2.5693376126005187
0.96,2.607998459811333
0.97,2.646746711185513
0.98,2.685580868950313
0.99,2.7244995093944198
1.0,2.7635012813330277
1.01,2.8025849046158435
1.02,2.8417491686768694
1.03,2.8809929311248514
1.04,2.9203151163733336
1.05,2.9597147143093068
1.06,2.9991907789994796
