time,value_C
0.0,4.0
0.01,4.0
0.02,4.0
0.03,4.000000260715309
0.04,4.000003811023393
0.05,4.000016833238946
0.06,4.000048056637485
0.07,4.000108232152002
0.08,4.000209701669241
0.09,4.000366045383772
0.1,4.000591791408953
0.11,4.0009021751944065
0.12,4.00131293918473
0.13,4.001840165331978
0.14,4.002500134686317
0.15,4.003309209489617
0.16,4.004283734102768
0.17,4.005439951791402
0.18,4.006793934933849
0.19,4.00836152663938
0.2,4.010158292102737
0.21,4.012199478292849
0.22,4.0144999807945485
0.23,4.017074316803067
0.24,4.019936603420455
0.25,4.023100540527168
0.26,4.026579397605849
0.27,4.030386003981504
0.28,4.03453274201598
0.29,4.039031542857127
0.3,4.043893884396311
0.31,4.049130791133462
0.32,4.0547528356879425
0.33,4.060770141727127
0.34,4.067192388113639
0.35,4.074028814097318
0.36,4.081288225399749
0.37,4.088979001058198
0.38,4.097109100912231
0.39,4.105686073630775
0.4,4.114717065189914
0.41,4.12420882772278
0.42,4.134167728672552
0.43,4.144599760188063
0.44,4.155510548708994
0.45,4.166905364694178
0.46,4.178789132452329
0.47,4.191166440039615
0.48,4.204041549192961
0.49,4.2174184052719665
0.5,4.231300647185808
0.51,4.245691617284577
0.52,4.260594371197265
0.53,4.276011687600997
0.54,4.291946077908261
0.55,4.3083997958607645
0.56,4.3253748470202025
0.57,4.342872998147724
0.58,4.360895786465141
0.59,4.379444528792101
0.6,4.398520330554452
0.61,4.418124094659898
0.62,4.438256530237862
0.63,4.45891816124112
0.64,4.48010933490743
0.65,4.501830230079855
0.66,4.5240808653849784
0.67,4.546861107268624
0.68,4.570170677889011
0.69,4.594009162867621
0.7,4.6183760188983065
0.71,4.6432705812153925
0.72,4.668692070921752
0.73,4.694639602177974
0.74,4.72111218925392
0.75,4.748108753444073
0.76,4.775628129848192
0.77,4.80366907401889
0.78,4.8322302684778
0.79,4.8613103291020865
0.8,4.890907811383095
0.81,4.921021216558972
0.82,4.951648997623131
0.83,4.982789565210459
0.84,5.014441293363189
0.85,5.046602525178355
0.86,5.0792715783387985
0.87,5.112446750529651
0.88,5.146126324742271
0.89,5.180308574467581
0.9,5.214991768780772
0.91,5.250174177319327
0.92,5.285854075156322
0.93,5.322029747570965
0.94,5.358699494718309
0.95,5.395861636200099
0.96,5.433514515538699
0.97,5.471656504556022
0.98,5.5102860076594276
0.99,5.5494014660365005
1.0,5.589001361760666
1.01,5.629084221809561
1.02,5.6696486219981
1.03,5.710693190828184
1.04,5.752216613256972
1.05,5.794217634385662
1.06,5.83669506307073
1.07,5.8796477754595715
1.08,5.923074718452495
1.09,5.966974913093028
1.1,6.011347457888509
1.11,6.056191532062921
1.12,6.101506398743967
1.13,6.14729140808637
1.14,6.193546000333391
1.15,6.240269708818585
1.16,6.287462162909817
1.17,6.33512309089756
1.18,6.383252322829531
1.19,6.431849793293719
1.2,6.480915544151875
1.21,6.530449727225542
