time,value_H
0.0,0.0
0.01,0.0
0.02,0.002126082156352
0.03,0.015871491977881354
0.04,0.04080442066106195
0.05,0.07631337841598887
0.06,0.12180668105567406
0.07,0.1767425047338561
0.08,0.240630949166604
0.09,0.313029967162166
0.1,0.39354017588538337
0.11,0.48179988045307715
0.12,0.5774806429442455
0.13,0.6802834322827802
0.14,0.789935302864654
0.15,0.9061865300948515
0.16,1.0288081333439298
0.17,1.1575897255354048
0.18,1.2923376381813019
0.19,1.4328732794083814
0.2,1.5790316899128773
0.21,1.730660267871884
0.22,1.8876176387967682
0.23,2.049772650335139
0.24,2.217003475292567
0.25,2.389196808804107
0.26,2.566247147760672
0.27,2.7480561423834025
0.28,2.9345320113168887
0.29,3.1255890128398445
0.3,3.321146965817161
0.31,3.521130814877918
0.32,3.725470235029861
0.33,3.934099271536001
0.34,4.146956011402556
0.35,4.363982283274954
0.36,4.5851233829226326
0.37,4.810327821824105
0.38,5.039547096649679
0.39,5.272735477687197
0.4,5.5098498144719015
0.41,5.7508493570698525
0.42,5.99569559162911
0.43,6.244352088957531
0.44,6.496784365013289
0.45,6.752959752306463
0.46,7.012847281309293
0.47,7.2764175710606
0.48,7.543642728227978
0.49,7.814496253960792
0.5,8.088952957928985
0.51,8.366988878997958
0.52,8.648581212039314
0.53,8.933708240421568
0.54,9.222349273764769
0.55,9.514484590578743
0.56,9.81009538543693
0.57,10.109163720366833
0.58,10.411672480164345
0.59,10.717605331363002
0.6,11.026946684610651
0.61,11.339681660225564
0.62,11.65579605672168
0.63,11.975276322108824
0.64,12.29810952778829
0.65,12.624283344877634
0.66,12.953786022810606
0.67,13.286606370069336
0.68,13.622733736916022
0.69,13.96215800000072
0.7,14.304869548730334
0.71,14.650859273291776
0.72,15.00011855422944
0.73,15.352639253483806
0.74,15.708413706804015
0.75,16.06743471745296
0.76,16.42969555112861
0.77,16.795189932030063
0.78,17.1639120400013
0.79,17.535856508689758
0.8,17.91101842466059
0.81,18.289393327411123
0.82,18.670977210233282
0.83,19.05576652187487
0.84,19.443758168953423
0.85,19.834949519079114
0.86,20.229338404645652
0.87,20.626923127250517
0.88,21.027702462708046
0.89,21.43167566662106
0.9,21.83884248047857
0.91,22.24920313824904
0.92,22.662758373440443
0.93,23.079509426599895
0.94,23.49945805322739
0.95,23.922606532079513
0.96,24.348957673840484
0.97,24.778514830139237
0.98,25.211281902892516
0.99,25.64726335395524
1.0,26.086464215060463
1.01,26.528890098032534
1.02,26.974547205258016
1.03,27.423442340400026
1.04,27.87558291934265
1.05,28.330976981353057
1.06,28.78963320044981
1.07,29.251560896966897
1.08,29.7167700493037
1.09,30.185271305852122
1.1,30.657075997092793
1.11,31.13219614785311
1.12,31.610644489720663
