evolving_asym,evolving_sym
400.0,400.0
400.0,400.0
400.05028100768766,400.05028100768766
400.3757328632874,400.3758334233771
400.9686566641619,400.96905510917827
401.8169735912461,401.81796092044846
402.9089098371064,402.9108682908739
404.2337189215466,404.23712011910277
405.7817476982769,405.7871512750346
407.54435676923606,407.55240945452334
409.5138126934236,409.5252477789673
411.6831833489949,411.69882050621123
414.0462444929681,414.0669899033127
416.5973985775796,416.62424534529407
419.3316048010528,419.3656336218562
422.24431887834544,422.2866989411403
425.3314410451833,425.38343114681203
428.58927098956417,428.65222084516927
432.01446861094325,432.08982034462935
435.604019696066,435.6933094984038
439.35520576079887,439.4600657012951
443.2655774393726,443.3877374234018
447.3329309098026,447.4742207706856
451.5552869311464,451.717638649098
455.9308721386319,456.1163221792073
460.4581022998521,460.66879406531547
465.1355672818463,465.37375366958526
469.9620175171118,470.23006357984013
474.936351788088,475.2367374911243
480.05760617574856,480.3929292471474
485.3249440396756,485.69792290941876
490.7376469151792,491.15112374002655
496.29510622833874,496.75204999928405
501.9968157427778,502.5003254723733
507.8423646629756,508.39567265007224
513.8314313282851,514.4379064980001
519.9637774398569,520.6269287568138
526.2392427695597,526.9627227226719
532.6577403059457,533.4453484632138
539.2192517974566,540.0749384294435
545.923823657546,546.8516934283698
552.7715632002909,553.7758789251465
559.7626351784762,560.8478216468545
566.8972585991212,568.0679064630507
574.1757037940422,575.4365735208238
581.5982897253602,582.9543156144107
589.1653815079005,590.6216757714598
596.8773881322414,598.4392450398354
604.7347603737715,606.4076604604597
612.7379888745385,614.5276032131073
620.8876023859435,622.799796923342
629.184166161463,631.2250061199125
637.6282804895972,639.8040348329379
646.2205793581446,648.5377253241221
654.9617292417197,657.4269569410461
663.8524280051536,666.4726450883229
672.8934039160821,675.6757403090545
682.0854147606093,685.037227470627
691.4292470564728,694.558125049413
700.9257153586158,704.2394845094364
710.575661652509,714.0823897704951
720.3799548309584,724.0879567616317
730.3394902504936,734.2573330562059
740.4551893637565,744.5916975851505
750.7279994246052,755.0922604252926
761.1588932629164,765.7602626598922
771.7488691263184,776.596976308804
782.4989505863037,787.6037043258904
793.4101865063835,798.7817806615277
804.4836510701257,810.1325703882371
815.7204438670956,821.6574698876467
827.1216900348742,833.3579070971556
838.6885404554721,845.2353418148199
850.4221720045949,857.2912660611174
862.3237878523361,869.5272044963788
874.3946178139887,881.9447148927891
886.6359187497753,894.545388659977
899.0489750123895,907.330851423311
911.6350989413396,920.3027636541193
924.395631403166,933.4628213511426
937.3319423766908,946.8127567726108
950.4454315825234,960.354339218422
963.73752915613,974.0893758619727
977.2096963638336,988.0197126312672
990.8634263611788,1002.1472351389996
1004.7002449931545,1016.4738696613724
1018.7217116358332,1031.0015841654813
1032.9294200790328,1045.732389385153
1047.324999449667,1060.6683399451945
1061.910115175507,1075.8115355340583
1076.6864699891155,1091.164122125002
1091.6558049717842,1106.7282932458645
1106.819900637332,1122.5062912976477
1122.1805780556958,1138.5004089221447
1137.739700016269,1154.712990418913
1153.499172231008,1171.1464332119483
1169.4609445773726,1187.8031893664688
1185.6270123811987,1204.6857671562802
1201.9994177396736,1221.7967326822454
1218.5802508846125,1239.138711542443
1235.3716515862916,1256.7143905546566
1252.3758105981406,1274.526519531898
1269.5949711426476,1292.5779131117247
1287.031430438877,1310.8714526401786
1304.6875412720526,1329.410088111231
1322.5657136057143,1348.1968401626896
1340.6684162369995,1367.2348021295809
1358.9981784956651,1386.5271421561004
1377.55759198751,1406.0771053672804
1396.3493123829237,1425.8880161016057
1415.3760612513363,1445.9632802058766
1434.6406279424082,1466.306387393694
1454.14587151485,1486.920913669021
1473.894722713838,1507.8105238163528
1493.8901859980394,1528.978973959109
1514.135341617331,1550.4301141879498
1534.6333477423643,1572.1678912607993
1555.387442647193,1594.1963513764545
1576.4009469462458,1616.519643023747
1597.6772658870102,1639.1420199083211
1619.2198916998486,1662.0678439591898
1641.032406006458,1685.301588417332
1663.118482288554,1708.8478410086984
1685.4818884184397,1732.7113072041002
1708.126489253201,1756.8968135685657
1731.0562492943577,1781.4093112028677
1754.2752354148745,1806.253879280037
1777.787619655537,1831.4357286798033
1801.5976820927808,1856.9602057240297
1825.7098137801509,1882.8327960163333
1850.128519765674,1909.0591283892236
1874.858422187518,1935.6449789622231
1899.9042634504103,1962.5962753145795
1925.270909485401,1989.9191007763231
1950.9633530956528,2017.6196988415786
1976.9867173910525,2045.7044777081908
2003.3462593145543,2074.1800149478886
2030.04737326328,2103.053062311378
2057.095594807513,2132.3305506729225
2084.4966045108563,2162.0195951191467
2112.2562318549467,2192.1275001869867
2140.380459272239,2222.6617652558907
2168.875426290524,2253.6300900995716
2197.74743379296,2285.0403806028103
2227.00294839756,2316.900754649019
2256.648606960209,2349.2195481844783
2286.691221205428,2382.0053214653926
2317.137782489283,2415.2668654941167
2347.995466698962,2449.013208651159
2379.2716392937245,2483.253623529787
2410.973860492096,2517.997633980324
2443.109890610337,2553.2550223714657
2475.6876955574253,2589.0358370762215
2508.7154524919106,2625.350400190336
2542.2015556462748,2662.2093154913478
2576.15462232454,2699.6234766467014
2610.583499079118,2737.6040756796438
2645.497268073076,2776.1626117019255
2680.905253634205,2815.310899922639
2716.817029007501,2855.0610809428495
2753.242423312875,2895.4256303459947
2790.191528715148,2936.41736859437
2827.674707813608,2978.049471242357
2865.70260125866,3020.335479477405
2904.286135603318,3063.289311000145
2943.4365313975845,3106.9252712553707
2983.1653115339536,3151.258065026015
3023.4843098526103,3196.302808402625
3064.40568001511,3242.075041141241
3105.941904655635,3288.5907394229853
3148.105804819176,3335.866329029076
3190.9105496963125,3383.918698945399
3234.3696666645183,3432.7652154111934
3278.4970516462463,3482.423736426847
3323.3069797943444,3532.912626736215
3368.8141165156594,3584.250773299336
3415.0335288440083,3636.457601271851
3461.980697174009,3689.553090507891
3509.671527367602,3743.5577926036326
3558.122363245392,3798.492848499197
3607.349999475317,3854.380006656992
3657.371694871441,3911.241641835068
3708.205186116024,3969.100774474492
3759.868701918367,4027.981090720185
3812.380977624255,4087.906963095106
3865.761270290156,4148.903471848084
3920.0293742366903,4210.996426996004
3975.205637096188,4274.212391081451
4031.3109763695015,4338.578702667303
4088.3668965075576,4404.123500590084
4146.395506533442,4470.875748994241
4205.419538221117,4538.865263169798
4265.462364847167,4608.122736216087
4326.548020532243,4678.679766554484
4388.701220189144,4750.568886313236
4451.947380094704,4823.823590607611
4516.312639102889,4898.478367738606
4581.823880516683,4974.5687303335035
4648.508754636526,5052.131247451419
4716.395702003179,5131.203577676853
4785.513977352996,5211.8245032239665
4855.893674303615,5294.033965073948
4927.565750788096,5377.873099167324
5000.562055255479,5463.384273672475
5074.915353655588,5550.6111273508395
5150.6593572257725,5639.598609038365
5227.828751096986,5730.39301826168
5306.459223736258,5823.042047006178
5386.587497242212,5917.594822651708
5468.251358509714,6014.1019520898235
5551.489691279114,6112.615567034615
5636.342509084762,6213.189370536855
5722.850989116593,6315.878684708665
5811.057507007503,6420.740499663061
5901.005672558063,6527.833523669471
5992.740366408699,6637.218234522762
6086.307777667922,6748.956932119271
6181.755442503388,6863.1137922288835
6279.132283700571,6979.75492144725
6378.488651191584,7098.948413306781
6479.876363554148,7220.764405518999
6583.348750477931,7345.275138314245
6688.960696192331,7472.555013837399
6796.768683846354,7602.680656550353
6906.830840827423,7735.730974583219
7019.206985001735,7871.787221966766
7133.9586718541805,8010.933061668211
7251.149242500783,8153.254629341232
7370.843872541042,8298.84059768886
7493.109621711532,8447.782241324674
7618.015484295463,8600.17350200341
7745.632440235758,8756.111054076682
7876.033506891327,8915.694370012869
8009.293791367785,9079.025785802347
8145.490543344614,9246.210566050073
8284.70320831089,9417.35696853696
8427.013481110926,9592.576308009524
8572.505359689632,9771.983018933835
8721.265198914998,9955.694716924863
8873.381764341675,10143.832258535753
9028.946285765398,10336.519799063506
9188.05251040262,10533.884847997775
9350.796755513367,10736.058321708135
9517.27796026789,10943.174592932186
9687.597736639082,11155.371536592238
9861.860419082954,11372.790571432066
10040.173112748464,11595.576696927474
10222.645739935955,11823.878524885133
10409.391084500052,12057.848305103487
10600.524833868292,12297.641944427594
10796.165618320969,12543.419018486684
10996.43504715057,12795.342775359246
11201.457741290968,13053.580130365666
11411.361361977071,13318.301651143302
11626.276634965108,13589.681532113458
11846.337369812032,13867.897557404644
12071.680473680111,14153.13105125185
12302.445959099136,14445.566814848164
12538.77694508466,14745.393048583046
12780.819650975878,15052.801258561878
13028.72338232167,15367.98614626436
13282.64050810806,15691.145480165893
13542.726428585152,16022.479948116834
13809.13953291686,16362.192989250416
14082.041145842608,16710.49060417196
14361.59546250732,17067.58114217086
14647.96947058438,17433.675064193616
14941.332858786907,17808.984680321933
15241.85791083548,18193.723860515976
15549.719383926578,18588.107717410003
15865.094370725468,18992.352259987292
16188.162143891255,19406.67401701463
16519.103982130564,19831.28962918459
16858.10297677087,20266.415408997884
17205.34381784559,20712.266867518993
17561.012558691153,21169.058207257218
17925.296358072945,21637.00178056324
18298.383198882213,22116.307513088723
18680.46158248148,22607.182292034402
19071.720197821945,23109.829319110715
19472.34756451413,23624.44742835444
19882.531649103123,24151.230369185287
20302.45945388314,24690.366055347236
20732.31657768377,25242.035780660266
21172.28674817224,25806.41340280769
21622.55132534363,26383.664496701545
22083.2887760142,26973.945479301256
22554.67411929212,27577.402708107278
23036.878343175667,28194.171555908808
23530.06779262032,28824.375464729994
24034.4035296242,29468.12498228921
24550.04066610406,30125.516784656742
25077.12767057216,30796.632689164035
25615.80564987572,31481.538661977647
26166.20760752476,32180.28382509897
26728.45768040898,32892.899467881485
27302.670355988077,33619.39806846614
27888.94967233039,34359.77233081709
28487.38840366983,35113.994243290035
29098.067234446866,35882.014164878216
29721.05392509446,36663.75994545316
30356.402473119317,37459.136086443345
31004.152273310323,38268.022948470694
31664.327281175458,39090.276012488896
32336.935183961727,39925.72520093584
33021.96658384672,40774.174265323025
33719.3941981004,41635.40024653585
34429.17208119877,42509.15301390987
35151.234874022746,43395.15488887837
35885.497085393166,44293.10035865783
36631.85241127214,45202.655885049884
37390.17309700039,46123.45981299467
38160.309347935705,47055.12238301239
