D=0.0 mm^2/w,D=0.1 mm^2/w,D=0.2 mm^2/w,D=0.3 mm^2/w,D=0.4 mm^2/w,D=0.5 mm^2/w,D=0.6 mm^2/w,D=0.7 mm^2/w,D=0.8 mm^2/w,D=0.9 mm^2/w,D=1.0 mm^2/w
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.000000260715309,4.000000256715309,4.000000228715309,4.000000152715309,4.000000004715309,3.999999760715309,3.999999396715309,3.9999988887153086,3.9999982127153086,3.9999973447153088,3.999996260715309
4.000003817658003,4.000003801138637,4.000003690118151,4.000003390623423,4.0000028092573325,4.000001853198758,4.00000043020258,3.999998448599678,3.99999581729693,3.999992445777216,3.9999882440994137
4.0000169259819485,4.000016876735589,4.000016594926911,4.000015850581323,4.000014416542058,4.000012068457701,4.000008584769703,4.000003746699904,3.9999973382380487,3.9999891461293138,3.999978959861821
4.000048516863548,4.000048388627242,4.000047802582039,4.000046308481791,4.00004346435146,4.00003883641397,4.000031999017335,4.000022534562088,4.00001003342899,3.99999409390703,3.9999743221217177
4.000109720875058,4.000109421160566,4.0001083330538,4.0001056852380765,4.000100725279884,4.000092719378753,4.000080952119095,4.000064726223994,4.000043362310957,4.00001619864961,3.9999825909213227
4.000213474134204,4.000212839436307,4.000210963826699,4.000206639205362,4.000198694424942,4.000185994639119,4.000167440658633,4.000141968314935,4.00010854783138,4.0000661832019375,4.000013911577329
4.000374193066395,4.00037296040492,4.000369897436624,4.000363230171126,4.000351249700847,4.000332310768597,4.000304830357597,4.000267286303697,4.000218215929533,4.00015621470038,4.000079934901453
4.000607503884154,4.000605279453388,4.000600485294821,4.000590640452361,4.000573370107864,4.000546402782237,4.000507567591268,4.000454791555345,4.000386096962281,4.0002995987824335,4.000193502135355
4.000930015828154,4.000926241384519,4.000918996551987,4.0009049416986775,4.000880900396262,4.00084385440668,4.000790938786262,4.000719437105055,4.000626776779245,4.000510524514524,4.000368381858358
4.001359129783492,4.001353047289472,4.001342423385929,4.001322898662788,4.001290353259194,4.001240898466826,4.001170868562214,4.00107681286295,4.000955488002838,4.000803850421055,4.000619049060521
4.001912875822628,4.001903490774704,4.00188831608026,4.0018618032083575,4.0018187422228815,4.001754248451227,4.001663749567798,4.001542973081532,4.001387934217031,4.001194924178971,4.000960498789811
4.002609774654159,4.002595818449649,4.0025746427246895,4.002539333307007,4.002483439903845,4.002400955840125,4.00228629850459,4.002134290483016,4.00194014135821,4.001699430156887,4.001408088424158
4.003468719014141,4.003448610652288,4.003419669452287,4.003373432875628,4.003302057417487,4.003198288910493,4.003055433979389,4.0028673326084565,4.002628331784728,4.002333260181007,4.001977403843827
4.004508871830284,4.004480679193961,4.004441857944196,4.004382209131721,4.004292341560774,4.004163629583368,4.003988172689689,4.003758756828597,4.003468817394465,4.003112403818558,4.00268414570522
4.005749578593906,4.005710979517653,4.005659777553911,4.005583844775124,4.005472087031976,4.005314385528987,4.005101541107675,4.004825221128053,4.004477908843249,4.00405285516573,4.003544032727348
4.007210291841848,4.007158535137992,4.007092029884192,4.006996522792845,4.006859061446418,4.00666791524919,4.006412500340547,4.0060833082958665,4.005671838447936,4.00517053366835,4.004572719454776
4.00891050601664,4.008842372602751,4.008757184026965,4.008638362066877,4.008470941296532,4.008241464252481,4.00793788224774,4.007549461565475,4.007066694775775,4.006481216929828,4.005785726396474
4.010869701263622,4.010781465510513,4.010673720976028,4.010527362269238,4.010325257313992,4.010052110751901,4.009694335216027,4.009239930073571,4.008678367254485,4.008000483800667,4.007198380787481
4.0131072949566375,4.012994686355706,4.012859985962803,4.012681356772858,4.012439347940286,4.0121167195688985,4.011698278251129,4.011170722769859,4.010522499405344,4.009743666317504,4.008825766500463
4.015642599932567,4.0155007651639405,4.015334147660255,4.015117972505194,4.014830319813782,4.014451903131691,4.013965862253646,4.01335756962302,4.012614449519274,4.011725809282191,4.010682681862171
4.0184947885691855,4.018318254037324,4.0181141633595,4.017854595833587,4.017515014346416,4.017073988624747,4.016512937518444,4.015815889142929,4.014969257774372,4.01396163645393,4.01278360431696
4.021682861967872,4.021465496858605,4.021217749355029,4.020908343705126,4.0205099795992805,4.019998990484705,4.01935502663802,4.018560761383422,4.017601618940645,4.016465522478269,4.015142661034183
4.0252256236081845,4.02496060351027,4.024662355883607,4.02429603937485,4.023831446779521,4.023242587553326,4.022507302107895,4.021606905709848,4.020525859940318,4.019251469802246,4.017773604685127
4.029141656929366,4.028821428054297,4.0284651460531,4.028034192148984,4.027495310775535,4.026820104294454,4.025984568030377,4.024968662715968,4.023755921634592,4.022333089929997,4.020689793723017
4.033449306367968,4.03306555039366,4.032642978274168,4.032138980647996,4.031517114226991,4.030746495563021,4.029801245395703,4.028659979759165,4.027305344294043,4.025723588461561,4.023904176590514
4.03816666144329,4.037710261000319,4.037212391772599,4.036626239160246,4.035912034693454,4.035036334482695,4.033971360489505,4.0326943996543125,4.031187256282824,4.029435753432406,4.0274292793560535
4.0433115435355305,4.04277254834852,4.042189594815076,4.041511446713095,4.040694874542529,4.0397038030469865,4.038508536034913,4.037085052127283,4.035414365548867,4.033481946534817,4.031277196345819
4.048901495046887,4.0482690887383965,4.047590455328212,4.046809718536178,4.045880053227159,4.044762685108318,4.043425984728293,4.04184464768082,4.03999895356518,4.0378740968565285,4.035459583393999
4.054953770674673,4.054216238234386,4.053430493630878,4.052535799632553,4.051481601663515,4.050226361462123,4.048736504871039,4.046985473569821,4.044952871412683,4.0426236968184925,4.039987653381903
4.061485330558979,4.060630026476997,4.059724877034529,4.058704060208674,4.057513158456804,4.056107806769653,4.054452477837133,4.05251939162117,4.050287537733998,4.047741800033663,4.044872173777711
4.068512835096224,4.067526152155809,4.066488416096073,4.0653284927445865,4.063987967753309,4.062419588094724,4.060585867148399,4.058457837666132,4.056013938321192,4.0532390208431766,4.050123465924212
4.076052641234961,4.074919979957024,4.073735562333728,4.072422710512067,4.070918878523821,4.069173864856972,4.067148218957222,4.0648118223817225,4.062142627129605,4.059125535316147,4.055751405852671
4.084120800091975,4.082826538820961,4.081480407238774,4.079999947371316,4.078318345106889,4.076382390027903,4.074150663760668,4.071591933362165,4.068683728535047,4.065411083525187,4.061765426427718
4.092733055745666,4.091260521364109,4.089736682435673,4.088073058696719,4.086198428860596,4.084056512416657,4.081603919190981,4.078808338262966,4.0756469406736615,4.072104972932308,4.068174520651394
4.101904845080189,4.100236284337199,4.098517760860134,4.09665452329958,4.094570800789242,4.092207179910413,4.089518293745747,4.086470788878855,4.083041539722822,4.079216082739486,4.0749872459748095
4.111651298568344,4.109767850005403,4.107836658839648,4.105756446230951,4.103446745026838,4.100844943550104,4.097903691337068,4.094588626033191,4.090876384998157,4.086752869075331,4.082211729483617
4.121987241893855,4.119868908349726,4.117706038974133,4.115390562361014,4.1128371630728,4.109979962335904,4.106769616553119,4.103170785170711,4.099159924756451,4.094723370904365,4.089855673839026
4.132927198324905,4.130552819999983,4.128138213725872,4.125568240643186,4.122752578687218,4.119622008669065,4.116125180537759,4.112225802558108,4.107900202606963,4.103135216558551,4.097926363869775
4.1444853917606,4.141832619819752,4.139145149638084,4.136300488981454,4.13320314336353,4.129780474347323,4.125979107404745,4.12176182200788,4.117104864445009,4.111995630802342,4.106430673722443
4.156675750380757,4.153721021072532,4.150738472110435,4.147597959628549,4.144198642305649,4.140464377040502,4.136339741112581,4.131786602050696,4.126781165831568,4.121311442352707,4.115375074488077
4.169511910837114,4.166230420106144,4.162929470667689,4.159470955050581,4.155748500844807,4.151682367181179,4.1472150527345,4.142307523489998,4.136935979751423,4.131089091784566,4.124765642232437
4.18300722293084,4.179372901499296,4.175729104664765,4.171929434200894,4.167861791238536,4.163442735212663,4.158612648065455,4.153331597280175,4.14757580469006,4.141334639760037,4.134608066365371
4.197174754727333,4.19316024362041,4.189148009377623,4.184983019152217,4.180547239800629,4.175753419142934,4.170539775514618,4.164865472676318,4.158706772976388,4.152053775526885,4.14490765829217
4.212027298064616,4.207603924554212,4.203196502434958,4.198641002041715,4.193813234316584,4.188622012358998,4.183003334237646,4.176915445609443,4.170334659344361,4.1632518256378,4.155669360296147
4.227577374416474,4.222715128356463,4.217884590550575,4.2129123522886,4.207667831704044,4.202055771661159,4.196009882468192,4.189487467246357,4.182464889671948,4.174933762847596,4.16689775460746
4.243837241075718,4.238504751601498,4.233221976520675,4.227805724048285,4.222118765882237,4.216061625481244,4.209565646012661,4.202587152697954,4.195102549860634,4.187104215150353,4.1785970726182375
4.2608188976267645,4.254983410191091,4.249218066454171,4.243329463871064,4.237173455818364,4.23064618225283,4.223676526876304,4.21621978984386,4.208252394822826,4.199767474922804,4.1907712042086
4.278534092680148,4.272161446396602,4.265881977207622,4.25949161853676,4.252839013722448,4.245815738905098,4.238348111992354,4.2303903482450185,4.221918857548312,4.212927508144149,4.203423707152168
4.29699433084458,4.290048936109415,4.283222543999462,4.276299943039938,4.2691222533652935,4.261576289455111,4.253585682029107,4.245103488119049,4.236106058224196,4.226587963665892,4.216557816573221
4.316210879914941,4.308655696277417,4.301248328180965,4.293761908703021,4.286029698497009,4.277933533676149,4.26939422025272,4.260363569356124,4.250817813385728,4.240752182508331,4.230176454430857
4.336194778256966,4.3279912925077255,4.319967625143848,4.311884711397185,4.3035675913460665,4.294892885822271,4.285778421426049,4.2761746605556805,4.266057645078055,4.25542320716304,4.244282239008314
4.35695684237164,4.348065046818047,4.339388472346631,4.330675279853099,4.321741901181106,4.312459483391507,4.302742700726111,4.292540548066573,4.281828790011256,4.270603790883122,4.258877494388167
4.378507674624209,4.368886045521036,4.359518657443845,4.3501402840455805,4.340558332919682,4.330638195912106,4.320291202664784,4.309464745015333,4.298134208693118,4.286296406945112,4.273964259896332
4.400857671124528,4.390463147227771,4.380365726503944,4.370286143637991,4.360022335769944,4.34943363373805,4.338427809999154,4.326950500309012,4.31497659452598,4.3025032578683655,4.289544299499852
