D=0.0 mm/w,D=0.1 mm/w,D=0.2 mm/w,D=0.3 mm/w,D=0.4 mm/w,D=0.5 mm/w,D=0.6 mm/w,D=0.7 mm/w,D=0.8 mm/w,D=0.9 mm/w,D=1.0 mm/w
0.9403162637415744,0.9363514927981084,0.9324316435243972,0.9285557837359044,0.9247230038213116,0.9209324162063524,0.917183154829466,0.9134743746290386,0.9098052510419992,0.906174979513542,0.902582775017758
1.0707818603358672,1.0658869995056417,1.061052531977294,1.0562770868369649,1.0515593297323822,1.0468979619073615,1.0422917192602703,1.0377393714258976,1.033239720880203,1.0287916020674197,1.0243938805489994
1.2084581018114149,1.2025030956247575,1.1966275667949056,1.190829556499931,1.185107162959477,1.1794585397772297,1.1738818943290945,1.168375486195902,1.1629376256395012,1.157566672121125,1.15226103286094
1.3532043896517272,1.346051527101668,1.3390013422820932,1.3320511049131425,1.3251981709037628,1.3184399796191228,1.3117740512309028,1.3051979841480934,1.2987094525260088,1.2923062038512847,1.2859860566006815
1.5048940744793375,1.4963980260878715,1.4880325064959454,1.479793791310054,1.4716782828092985,1.4636825055946368,1.4558031023820457,1.448036829935078,1.4403805551324522,1.4328312511664347,1.4253859938678919
1.663413179316506,1.6534210167575054,1.643592449762746,1.6339224930402638,1.6244063430210367,1.6150393711382445,1.6058171173472695,1.5967352838782134,1.5877897292129817,1.5789764622792593,1.5702916368539217
1.828659273132656,1.8170104731644832,1.8055641470665047,1.7943137324192724,1.7832529220048468,1.7723756536968298,1.7616761007402113,1.7511486624066297,1.7407879550111578,1.7305888032772183,1.72054623203669
2.0005404730272827,1.9870669072681515,1.9738411322087177,1.9608546370177304,1.9480992625409024,1.935567186445028,1.923250908975504,1.9111432393028625,1.899237282434867,1.8875264266716147,1.8760043315819437
2.178974557076954,2.1635004689680217,2.1483265853840208,2.1334420148305,2.1188363423173526,2.104499607980255,2.090422286643128,2.076595268281556,2.063009839348773,2.0496576649273788,2.036530771671458
2.363888172855153,2.3462301429948447,2.328932518850756,2.3119815288289227,2.295364037244252,2.279067514125717,2.2630800064328187,2.247390110619243,2.2319869464825577,2.216860132241396,2.201999760784193
2.555216129054351,2.535183029948057,2.515579047841248,2.496386957889545,2.4775903723226778,2.459173698510873,2.441122099105025,2.423421454150722,2.406058325080965,2.389019920496829,2.37229406364956
2.7529007596141883,2.73029370076274,2.708193735869087,2.686579533125201,2.6654308489577194,2.6447284706746665,2.624454162103903,2.6045906120708207,2.585121385570482,2.5660308774964955,2.54730426879583
2.956891351378333,2.9315036155235297,2.9067110052413114,2.882487340312017,2.8588078392894984,2.8356490421409988,2.812988737131528,2.7908058917246032,2.769080587283324,2.747793957366984,2.726928129429275
3.167143627636453,3.138760598890073,3.111071604944361,3.084044780481317,3.057650039506917,3.031858972322271,3.006644748425558,2.981982025009568,2.957846860738276,2.9342166345033536,2.9110699688781496
3.3836192810129178,3.352018365515009,3.3212221292008204,3.291192081885833,3.261891975262147,3.233287667273668,3.205346994663531,3.178039653209269,3.151337085189492,3.125212373652345,3.0996401430810985
3.606285550084287,3.571236089765517,3.5371145809340367,3.5038748575002225,3.471473553265452,3.4398699252940053,3.4090256884023367,3.378904860075904,3.349473615165892,3.32070014975768,3.2925545536400724
3.835114834878252,3.7963780148382673,3.7587059751651126,3.722043703012291,3.686339653945837,3.651545524184756,3.617616037787597,3.5845087478165665,3.5521838505725003,3.520604012051899,3.4897342058315415
4.070084347055024,4.027413097012993,3.985957978029528,3.945653830931842,3.906439760741629,3.868258845666093,3.831057865963937,3.794787051343611,3.7593998456407656,3.724852687605344,3.691104806706938
