D=0.0 (mm^2/w),D=0.1 (mm^2/w),D=0.2 (mm^2/w),D=0.3 (mm^2/w),D=0.4 (mm^2/w)
1.6734316240775853,1.672179797361168,1.6709948005423592,1.6698705301095067,1.6688015514372063
1.7465452813973013,1.7451210133406887,1.7437752761578973,1.7425006671959864,1.7412906215527102
1.8203641399677373,1.8187492987583536,1.8172263312042,1.8157863075096683,1.8144213403522433
1.894866245856188,1.8930413108539887,1.891323413367556,1.889701836161912,1.8881671513581582
1.970031983526049,1.9679759697962405,1.9660441726595497,1.9642237912341225,1.962503610242291
2.04584399434004,2.043534373858072,2.0413683742241115,2.039330774856854,2.0374082946029244
2.122287101323625,2.119699720672769,2.117277817103735,2.1150033701613955,2.1128607195483706
2.199348239801118,2.1964572341702144,2.193756258556254,2.1912240636893827,2.188842258668468
2.277016393566245,2.273794096841584,2.270789343561402,2.267977172893466,2.265336070022497
2.3552825362921377,2.3516993870228906,2.3483645391980885,2.3452487784033846,2.3423270268130896
2.434139577923806,2.430164020924889,2.426471073609814,2.423026660767927,2.419801652451558
2.513582315829919,2.5091806991695966,2.505099879307786,2.501300241414972,2.4977480597515362
2.593607390520868,2.5887438576227435,2.584243540589694,2.580060527599806,2.576155894015506
2.6742132457672394,2.668849622337421,2.6638962448773693,2.659300061136745,2.655016279803333
2.755400092977367,2.7494957684475074,2.744053737799129,2.7390128707311705,2.7343217711937013
2.837169879715077,2.830681682870551,2.824713281862941,2.819194427748944,2.814066305368817
2.919526262259416,2.912408330698996,2.9058736185848653,2.899841605277965,2.8942451593702176
3.0024745821272947,2.99467822517627,2.987534933954012,2.980952640352809,2.97485490988927
3.086021846498004,3.0774954011705464,3.0696988271305328,3.06252709922807,3.0558933959702164
3.1701767124954827,3.1608653920741743,3.152368282287328,3.144565845599517,3.137359684516641
3.254949475300493,3.2447952100710284,3.2355476435192494,3.2270710116845702,3.219254038504125
3.3403520600803924,3.32929332972753,3.319242592755902,3.310045972085111,3.3015778878128383
3.4263980177393893,3.414369674875956,3.4034601306256635,3.3934953203663776,3.384333802603958
3.513102524506996,3.500035608771063,3.4882085602295585,3.4774248482957626,3.4675254691732618
3.6004823853970325,3.58630392751304,3.573497473794098,3.561841527694871,3.551157668224085
3.688556041584156,3.67318885674156,3.6593377421822906,3.646753494867234,3.635236255510179
3.777343581759493,3.760706051617244,3.7457415072518274,3.732170037572758,3.7197681448068884
