fixed_sym_D_0.1_ooo,fixed_asym_D_0.1_oob,fixed_asym_D_0.1_obb,fixed_sym_D_0.1_bbb
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.002126082156352,0.002126082156352,0.0,0.0
0.0158863745529758,0.0158842485522426,0.0095981310375746,0.009561666389902869
0.0409300998085687,0.0409216851580205,0.0285247938356698,0.028380490281355086
0.0767222060336449,0.0767013763569605,0.0563166427483555,0.055959530467605476
0.1227418944090337,0.1227006181233711,0.0925162261253821,0.09180884282252322
0.1785130933797398,0.1784414798012829,0.1367034343280673,0.13547674742646723
0.2436071102185537,0.2434934448872357,0.1884989831648958,0.18655315584932622
0.3176391247507789,0.3174698953292904,0.2475616212015784,0.24466664281033684
0.4002635034908359,0.4000234173740983,0.3135840604110772,0.3094802583805772
0.4911692623606755,0.4908412569577174,0.3862889751799572,0.38068742313182796
0.5900760171232965,0.589641263632577,0.4654254220455117,0.45800825650137006
0.6967304645675905,0.6961683659513674,0.5507657337069014,0.5411863901949078
0.8109033494690308,0.8101915332367318,0.6421028507817168,0.6299862286744784
0.9323868517321068,0.9315011580627136,0.7392480325910215,0.7241905968232142
1.0609923295217831,1.0599067951879084,0.8420288884430225,0.8235987152524602
1.1965483620511344,1.195235200550394,0.9502876777918468,0.9280244507741657
1.3388990445853843,1.337328622836016,1.063879835781795,1.0372947978190694
1.4879024963552223,1.4860433082712323,1.1826726882081784,1.1512485542041753
1.6434295489783923,1.641248186203667,1.3065443263333778,1.2697351611457273
1.805362588675144,1.8028237087249952,1.4353826172732007,1.3926136827617848
1.9735945301863784,1.9706608222181647,1.5690843299516093,1.5197519046517916
2.148027904047117,2.1446600524582315,1.7075543600812677,1.6510255346510818
2.328574041901152,2.324730687932308,1.850705040421328,1.7863174916958453
2.5151523470076844,2.510790048511609,1.9984555248262563,1.925517271033793
2.7076896391024428,2.702762828622432,2.1507312364388347,2.0685203758871835
2.9061195644257074,2.9005805057147147,2.30746337188304,2.2152278072051
3.110382063090098,3.104180806188875,2.468588454546338,2.3655456043996215
3.320422887088593,3.3135072220705992,2.634047931059397,2.519384430999763
3.536193163182923,3.5285085726641423,2.803787805926434,2.6766592000203016
3.7576489956994674,3.749138606202736,2.9777583099643663,2.837288734563309
3.984751104922256,3.9753556371780334,3.155913598799939,3.0011954597749386
4.217464497332869,4.2071222155915216,3.338211478171785,3.168305122789853
4.4557581644229565,4.444404824847435,3.5246131532056326,3.3385465377274643
4.699604807211153,4.687173605413304,3.715082999188884,3.5118513531714743
4.948980583943954,4.935402101722617,3.909588351676384,3.6881538398779465
5.203864878759265,5.189067030093618,4.108099314021036,3.867390696726181
5.46424008934946,5.448148065696798,4.310588580648151,4.049500873158276
5.730091431884403,5.7126276468275385,4.517031274586864,4.234425406553311
6.0014067616491165,5.982490794934933,4.727404797940348,4.422107273155514
6.2781764080201485,6.257724949027368,4.941688694122951,4.612491251326557
6.560393022552676,6.538319813223675,5.159864520819947,4.805523796023687
6.8480514390801615,6.82426721634859,5.381915732737173,5.00115292352045
7.141148544842398,7.115560982585465,5.607827573305622,5.199328105487735
7.439683161758272,7.412196812299749,5.837586974592047,5.400000171641663
7.743655937048312,7.714172172235633,6.071182464742443,5.603121220243137
8.053069242490661,8.021486194366897,6.308604082352199,5.808644535803136
8.36792708166377,8.334139582752732,6.549843297216044,6.016524513409141
8.688235004591093,8.652134527811345,6.794892936963539,6.226716589142603
9.01400002925818,8.975474627479345,7.043747119132654,6.439177176105817
9.345230569521874,9.304164814774168,7.296401188275738,6.653863605619858
9.68193636897523,9.638211291320864,7.552851657729414,6.87073407319386
10.02412844037122,9.97762146644392,7.81309615571328,7.089747588900561
10.371819010243655,10.322403901460234,8.077133375452203,7.310863931824073
10.7250214683954,10.672568258840975,8.344963029043761,7.534043608273791
11.083750321952603,11.028125255938727,8.616585804816605,7.759247813483455
11.448021153709346,11.38908662300196,8.89200332794715,7.986438396537104
11.817850584510287,11.755465065222104,9.17121812412171,8.21557782828413
12.193256239439902,12.127274228579418,9.454233586048844,8.44662917202421
12.574256717605808,12.504528669272824,9.741053942642758,8.679556056759719
12.960871565320922,12.88724382653599,10.03168423071309,8.914322652828519
13.35312125250466,13.275435998657567,10.326130269009688,9.150893649743905
13.751027152137636,13.669122322037516,10.624398634482835,9.389234236081185
14.154611522617085,14.068320753124349,10.926496640630402,9.62931008126192
14.563897492871996,14.47305005308982,11.23243231781328,9.871087319097432
14.978909050107552,14.883329775108164,11.542214395429504,10.114532532962874
15.399671030058265,15.299180254116695,11.855852285845764,10.359612742482023
15.826209109638002,15.72062259894358,12.173356069992584,10.606295391611127
16.25854980188332,16.147678686696487,12.49473648453634,10.854548338017642
16.696720453093906,16.580371159313493,12.820004910547649,11.104339843656595
17.140749242080805,17.01872342218421,13.149173363591522,11.355638566453718
17.590665181439366,17.462759644755526,13.482254485169967,11.608413553010358
18.04649812076964,17.912504763042072,13.819261535452696,11.862634232250677
18.50827875177226,18.36798448396676,14.160208387236134,12.118270409936676
18.976038615152824,18.829225291461743,14.505109521075054,12.375292263981304
19.449810109272228,19.296254454264663,14.853980021535104,12.633670340494293
19.929626500484748,19.769100035349123,15.206835574517978,12.893375550499382
20.41552193510948,20.247790902932447,15.563692465614375,13.154379167265473
20.907531452984493,20.73235674300724,15.924567579442863,13.416652824197728
21.40569100255632,21.2228280733467,16.289478399935696,13.680168513237996
21.910037457460703,21.71923625893683,16.658443011535184,13.944898583727031
22.420608634553545,22.22161352879163,17.031480101266776,14.210815741683888
