evolving_sym_D_1.0_ooo,evolving_asym_D_1.0_oob,evolving_asym_D_1.0_obb,evolving_sym_D_1.0_bbb
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.002126082156352,0.002126082156352,0.0,0.0
0.0158906267172885,0.0158481058883934,0.0096385265985453,0.009561666389902869
0.0409660956095222,0.0408000593815195,0.0287016596374761,0.028399613614134893
0.0768398388800774,0.076434351589361,0.0567776195124729,0.05603528683945081
0.1230123152556489,0.1222195739473523,0.09345648435613,0.09199604941241032
0.1790276493566915,0.1776706651754588,0.1383620517975849,0.13584650242367163
0.2444764185870979,0.2423513611080912,0.1911557440192738,0.18719192038686167
0.3189922800292594,0.3158705307598601,0.2515341972374198,0.24567543217096796
0.4022474045744506,0.3978773585423776,0.3192255297687224,0.3109739318320328
0.4939480451960044,0.4880566936168289,0.3939856370728322,0.38279406008435624
0.5938305796843619,0.586124901848613,0.4755948711394036,0.4608686075415939
0.7016580725712296,0.6918262610737573,0.5638551626189592,0.5449533929748704
0.8172173129072882,0.8049298529866338,0.6585875534641116,0.6348245800548055
0.9403162637415744,0.925226884675155,0.7596300850515203,0.7302763739283151
1.0707818603358672,1.0525283744485805,0.8668359863917039,0.8311190391680054
1.2084581018114149,1.1866631446234617,0.980072113469013,0.9371771875174653
1.3532043896517272,1.327476072954913,1.0992175984924712,1.048288291966309
1.5048940744793375,1.4748265626408787,1.2241626750287875,1.1643013911895281
1.663413179316506,1.6285871978258717,1.3548076511207297,1.2850759547778554
1.828659273132656,1.7886425572978748,1.491062007539622,1.4104808849512105
2.0005404730272827,1.9548881637658808,1.6328436024096156,1.5403936347227662
2.178974557076954,2.1272295499112133,1.780077966736772,1.6746994259357761
2.363888172855153,2.305581425493406,1.9326976780308656,1.813290553386538
2.555216129054351,2.489866932304136,2.0906418013516337,1.9560657635079954
2.7529007596141883,2.6800169758164194,2.253855388849112,2.102929697927598
2.956891351378333,2.875969624063218,2.4222890302831424,2.2537923937161177
3.167143627636453,3.077669565672516,2.5958984481658574,2.4085688333789084
3.3836192810129178,3.285067620142228,2.7746441321245063,2.567178538660852
3.606285550084287,3.498120294403163,2.9584910078708133,2.72954520308285
3.835114834878252,3.716789380527508,3.1474081368190383,2.8955963588341835
4.070084347055024,3.941041590122364,3.341368442943135,3.0652630742375773
4.31117579112028,4.170848221525375,3.540348463923808,3.2384796785030434
4.558375073484166,4.406184856410725,3.744328124024752,3.415183510909248
4.811672036577883,4.647031082833308,3.953290526466597,3.5953146919104793
5.071060215579278,4.8933702420987135,4.167221763347337,3.778815913974102
5.336536615591181,5.145189197156367,4.386110741397502,3.965632250216361
5.608101507368388,5.402478120480736,4.609949022063868,4.155710979130652
5.885758239907598,5.665230299637484,4.838730674592428,4.3490014238977555
6.169513068404342,5.933441958933151,5.072452140934328,4.545454804936773
6.459374996246273,6.207112095722908,5.311112111431052,4.745024104502659
6.755355629856769,6.48624233010487,5.554711410350565,4.947663942264477
7.057469045329459,6.770836766864487,5.803252890446773,5.153330460910696
7.365731665905692,7.0609018686513165,6.05674133580279,5.361981220926183
7.680162149445084,7.356446339475212,6.315183372295847,5.573575103772015
8.000781285125958,7.657481017701492,6.578587385089717,5.788072222775443
8.327611898689275,7.964018777806685,6.846963442620605,6.005433841104694
8.66067876560772,8.276074440229195,7.120323226595529,6.225622296262912
9.000008531622203,8.593664688713993,7.398679967569345,6.448600930588498
9.345629640141947,8.91680799460813,7.682048385708348,6.674334027296171
9.697572266052548,9.245524547615409,7.970444636385689,6.902786751635066
10.055868255519403,9.57983619256463,8.26388626028705,7.133925096777636
10.420551071412577,9.919766371787135,8.562392137734768,7.367715834086704
10.79165574401368,10.265340072736477,8.865982446965209,7.604126467438053
11.169218826696635,10.61658378051632,9.17467862611809,7.843125191302974
11.55327835630204,10.973525435012771,9.488503338717972,8.084680852319478
11.94387381795023,11.336194392354324,9.807480442447432,8.328762914102786
12.341046114060958,11.70462139044714,10.131634961028968,8.575341425065496
12.744837537368127,12.078838518355424,10.460993059048413,8.824386989035691
13.15529174773686,12.458879189316724,10.79558201956696,9.075870738477477
13.572453752606968,12.844778117200184,11.135430224381814,9.329764310133099
13.996369890902448,13.236571296232157,11.480567136807323,9.586039822919195
14.427087820260429,13.634295983828776,11.831023286859066,9.84466985792185
14.864656507445918,14.037990686388593,12.186830258733147,10.105627440346217
15.309126221830212,14.447695147910895,12.548020680481908,10.368886023286606
15.76054853182148,14.86345034131681,12.914628215795258,10.634419473192176
16.218976304145745,15.285298462360508,13.286687557804427,10.902202056911829
16.68446370588539,15.713282926027563,13.66423442483162,11.172208430209718
17.157066209190447,16.147448365326145,14.047305558015386,11.444413627649892
17.63684059858549,16.58784063238474,14.435938720747316,11.718793053755185
18.123844980801785,17.03450680177765,14.830172699860857,11.99532247535152
18.618138797070813,17.487495176006075,15.23004730851805,12.273978015014382
19.119782837821106,17.94685529306915,15.635603390744516,12.554736145539415
19.62883925972584,18.412637936064858,16.046882827567092,12.837573685363838
20.14537160505369,18.884895144766386,16.463928544712566,13.12246779486987
20.66944482328016,19.36368022912424,16.886784521829497,13.409395973505466
21.201125294921063,19.84904778464936,17.31549580319848,13.698336057661486
21.740480857553926,20.341053709636498,17.75010850989939,13.989266219248037
22.287580833996856,20.83975522419157,18.19066985340713,14.282164964916056
22.842496062618373,21.345210891030064,18.63722815059005,14.577011135873322
23.40529892975477,21.857480638017545,19.089832840088096,14.873783908247033
23.9760634042152,22.37662578242644,19.54853450004973,15.172462793947815
