evolving_sym_D_1.0_ooo,evolving_asym_D_1.0_oob,evolving_asym_D_1.0_obb,evolving_sym_D_1.0_bbb
100.0,100.0,100.0,100.0
99.98360208,99.98360208,100.0,100.0
99.8934722900133,99.89363624232412,99.92582452453284,99.92625334817853
99.8039498534431,99.80443106299542,99.85181602340852,99.8530870611526
99.71668115049596,99.71762283620096,99.77963647064284,99.78214832767965
99.63179415903863,99.63332999843504,99.70942888304904,99.71356602906492
99.54915906230303,99.55141370439952,99.64107776046052,99.6472111391872
99.46860051040622,99.47169005961742,99.57442138370656,99.58290898692665
99.38994752665631,99.39398000045183,99.50930177512816,99.52048918543497
99.31304558821198,99.31812135060498,99.4455768292384,99.45979773485347
99.23775820792603,99.2439703805679,99.38312193803787,99.40069862227142
99.1639655065026,99.17140035889474,99.32182860088142,99.34307240832958
99.09156208080528,99.10029940095072,99.26160232582188,99.28681410705039
99.02045490270176,99.03056834937472,99.20236055773591,99.23183109394937
98.95056146299896,98.96211890069692,99.14403084849675,99.1780412575029
98.8818081971426,98.89487201469088,99.08654930640266,99.12537143103438
98.81412917072612,98.82875658442698,99.02985930331536,99.07375608335376
98.7474649872176,98.76370832936824,98.97391040223008,99.02313623077545
98.68176187996352,98.69966887350904,98.91865746758276,98.97345853273838
98.6169709550804,98.63658497511555,98.86405992509944,98.92467453776403
98.55304755740062,98.57440788018896,98.81008114351393,98.87674005201782
98.48995073682346,98.51309277695977,98.7566879156324,98.8296146079004
98.42764279682572,98.45259833313104,98.70385002060888,98.78326101448548
98.36608891048392,98.39288630118736,98.65153985287314,98.73764497520449
98.30525679223923,98.3339211799696,98.59973210602035,98.69273476104954
98.24511641592532,98.27566992300584,98.54840350224912,98.64850092984707
98.18563977139117,98.2181016859046,98.49753255973827,98.60491608396202
98.1268006534899,98.16118760655536,98.4470993917843,98.56195466022508
98.06857447834658,98.10490061302669,98.39708553265751,98.51959274701551
98.01093812273024,98.0492152549648,98.3474737860425,98.47780792434054
97.95386978308682,97.99410755502986,98.29824809265529,98.43657912348151
97.89734885137784,97.93955487749444,98.24939341421494,98.39588650336312
97.84135580534642,97.88553581160905,98.20089563142028,98.35571134127753
97.78587211121967,97.83203006772573,98.15274145396774,98.31603593598066
97.730880137173,97.77901838449048,98.1049183409602,98.2768435214939
97.67636307614188,97.72648244567424,98.05741443031542,98.2381181902034
97.62230487678217,97.67440480542938,98.0102184759946,98.19984482406302
97.56869018155592,97.62276882093612,97.96331979204888,98.1620090328841
97.51550427107033,97.5715585915526,97.91670820262742,98.12459709884273
97.46273301391876,97.5207589037069,97.87037399721382,98.08759592645862
