evolving_sym_D_1.0_ooo,evolving_asym_D_1.0_oob,evolving_asym_D_1.0_obb,evolving_sym_D_1.0_bbb
0.0,0.0,0.0,0.0
0.01639792,0.01639792,0.0,0.0
0.1062856850832263,0.1061217327724043,0.0741754754671749,0.07374665182146292
0.1942396818360826,0.193760892162566,0.1470891845514264,0.14582447602479393
0.2786435128878679,0.2777113119661,0.2170990238109691,0.21461215639118864
0.3594227866418487,0.3579101855330183,0.2841059077830827,0.28003043573391573
0.4367617535388419,0.4345526661462334,0.3482705466530743,0.3422589509688569
0.5108872546505371,0.5078758558383849,0.4097973319947876,0.4015201702313753
0.5820182140382077,0.5781083344880552,0.4688837509434703,0.45802885293828693
0.6503536988642915,0.6454582537801907,0.5257083746940385,0.5119800798456389
0.7160716511107604,0.71011210032872,0.5804295271750691,0.5635479597965396
0.7793306447180629,0.7722364820999501,0.6331869866446519,0.6128873664959406
0.8402723181401951,0.8319805883781713,0.6841043688686452,0.6601363543987098
0.8990237383853464,0.8894785795360844,0.7332914468308983,0.7054185089791938
0.95569948334553,0.9448516935701792,0.7808461929079425,0.7488450175616743
1.0104034101813877,0.9982100372977764,0.8268565106051862,0.7905164280059139
1.063230136577814,1.049654089142411,0.8714016821522433,0.8305241217069034
1.114266276885047,1.09927595561829,0.91455357356534,0.8689515426518426
1.1635914748551075,1.1471604233080166,0.9563776385622204,0.9058752240348097
1.211279269490423,1.1933858429252366,0.996933757583376,0.9413656487823548
1.2573978244041335,1.238024875928731,1.036276942102667,0.9754879742600832
1.3020105454433633,1.2811451284997508,1.074457928798029,1.00830264580786
1.3451766065422577,1.3228096929044062,1.111523683396471,1.039865918986501
1.386951399869718,1.363077612356285,1.1475178301278737,1.0702303065321908
1.4273869232101342,1.4020042823637822,1.1824810196132842,1.099444962900221
1.4665321150287554,1.439641799056327,1.2164512455412226,1.1275560168024317
1.5044331456997135,1.4760392630069266,1.2494641185238071,1.154606860176722
1.5411336718066584,1.5112430454975354,1.2815531039663606,1.180638400465065
1.576675059176572,1.5452970229218692,1.3127497295431,1.205689281832085
1.6110965793079512,1.578242784018603,1.3430837668791795,1.2297960799609937
1.6444355830515127,1.6101198138228154,1.3725833912423733,1.2529934742640632
1.6767276547531915,1.6409656575732676,1.4012753224044805,1.2753144006992807
1.7080067495430529,1.6708160672852572,1.429184949310913,1.2967901878610808
1.7383053160246362,1.6997051332681044,1.4563364407717616,1.3174506785859668
1.7676544062675503,1.72766540251319,1.4827528440393891,1.3373243389638612
1.7960837747164629,1.7547279855874554,1.508456172851004,1.3564383563578177
1.8236219673899017,1.7809226534263185,1.5334674862776498,1.3748187277962658
1.8502964025429949,1.8062779252195127,1.5578069595241806,1.3924903399037463
