fixed_asym,fixed_sym
4.0,4.0
3.996,4.0
3.9920726044,4.0
3.988216756025367,4.000000260715309
3.984434193698531,4.000003816183645
3.980729881376308,4.000016905326929
3.977111448063431,4.0000484139510855
3.973588697804797,4.000109386528587
3.9701732050597074,4.000212623119411
3.9668779808016814,4.000372346815295
3.963717195052307,4.000603927448459
3.960705944581792,4.000923650323587
3.957860057142826,4.001348521360997
3.9551959255912665,4.001896102022006
3.9527303667124825,4.0025843688498925
3.95048050065888,4.003431593544152
3.9484636477206414,4.00445624030039
3.946697239774574,4.005676877769435
3.945198744237889,4.0071121034699795
3.943985598731888,4.008780478866032
3.943075154960624,4.010700473619782
3.942484630550685,4.012890417770701
3.942231067793572,4.0153684607864655
3.9423312983920096,4.018152536590578
3.94280191344328,4.0212603338028545
3.943659238002114,4.0247092705380165
3.944919309657152,4.0285164731987475
3.9465978606319023,4.032698758776212
3.9487103029861457,4.037272620235799
3.951271716548974,4.042254214620877
3.954296839261787,4.047659353554305
3.95780005964996,4.053503495857658
3.961795411176625,4.0598017420427395
3.966296568262025,4.066568830459804
3.9713168437778017,4.073819134912786
3.9768691878482056,4.081566663574276
3.982966187809785,4.089825059052555
3.989620069198303,4.098607599480077
3.996842697646623,4.107927200507731
4.0046455815904665,4.117796418102344
4.013039875690522,4.1282274520563895
4.0220363848895815,4.139232150129053
4.031645569032356,4.150822012746737
4.04187754798358,4.1630081981990115
4.052742107187047,4.175801528273043
4.06424870361444,4.189212494275723
4.076406472058356,4.203251263398245
4.089224231728858,4.2179276853827865
4.102710493117216,4.233251299455294
4.116873465094445,4.249231341492278
4.131721062215681,4.265876751392957
4.147260912204538,4.283196180631223
4.163500363594361,4.3011979999646055
4.180446493505764,4.319890307279931
4.1981061155420285,4.339280935557539
4.21648578778593,4.359377460937913
4.235591820883324,4.380187210876349
4.255430286200398,4.401717272372845
4.276007024042927,4.423974500265851
4.29732765192712,4.446965525579753
4.319397572892807,4.470696763917121
4.342221983850713,4.495174423887789
4.365805883956509,4.520404515567715
4.390154083005114,4.5463928589814255
4.415271209839504,4.573145092602583
4.441161720768905,4.600666681867853
4.467829907991872,4.628962927699893
4.495279908020271,4.658038975035767
4.523515710100677,4.687899821357615
4.552541164630107,4.718550325222821
4.582359991563447,4.749995214791323
4.612975788810216,4.782239096348043
4.644392040618686,4.815286462818771
4.676612125945628,4.849141702278078
4.709639326810227,4.883809106448134
4.743476836630949,4.91929287918753
4.77812776854434,4.955597144969402
4.813595163704953,4.992725957348382
4.849881999565767,5.030683307416064
4.886991198138629,5.069473132244835
4.924925634234407,5.109099323320095
4.963688143682677,5.149565734961007
5.003281531530906,5.190876192730076
