fixed_asym_D=0.1 mm^2/w,fixed_sym_D=0.1 mm^2/w
0.0,0.0
0.0,0.0
0.0002420249034649,0.00024202490346496002
0.0018102227329329,0.001810464720812858
0.0046743774316816,0.004675336553049242
0.0087806773765295,0.008783053490905648
0.0140744704978908,0.014079180110883686
0.0205040533898731,0.02051222192907797
0.0280212719800927,0.028034226387825798
0.036581380181308,0.03660064180182397
0.046142725822898,0.04617000356519561
0.0566664209054369,0.05670360466543206
0.068116040334221,0.06816519466217531
0.0804573586692493,0.08052071667004335
0.0936581235263594,0.0937380809815933
0.1076878611849653,0.10778697088702816
0.1225177095367482,0.12263867582596773
0.1381202739487579,0.13826594744556914
0.1544695022687092,0.15464287479348487
0.1715405758429666,0.1717447755167587
0.1893098139782724,0.18954810049824378
0.207754589744302,0.20803034982808255
0.2268532553934722,0.22716999838708055
0.2465850759805774,0.24694642962490118
0.2669301700113323,0.2673398763624761
0.2878694561476364,0.28833136764672523
0.3093846051581033,0.30990268084637995
0.3314579964329413,0.33203629830822023
0.3540726784888195,0.35471536799956094
0.3772123329767512,0.37792366765020396
0.4008612417781028,0.4016455719791294
0.4250042568335774,0.42586602265092655
0.4496267723997919,0.450570500656724
0.4747146994697412,0.47574500085603866
0.5002544421284966,0.5013760084510106
0.5262328756451138,0.5274504771941083
0.552637326126877,0.5539558091555317
0.5794555515834403,0.5808798358979719
0.6066757242667814,0.6082108009247308
0.6342864141686466,0.6359373432829651
0.6622765735707647,0.6640484822174108
0.6906355225548733,0.6925336027817084
0.7193529353898206,0.7213824423246663
0.7484188277219094,0.7505850777776935
0.777823544502426,0.7801319136774152
0.8075577485931188,0.8100136708642981
0.8376124099963815,0.8402213758041014
0.867978795662179,0.8707463504842524
0.8986484598284192,0.9015802028419084
0.9296132348556104,0.9327148176845982
0.9608652225203098,0.9641423480680077
0.9923967857351416,0.9958552070987384
1.0242005406660672,1.0278460601327783
1.056269349220207,1.06010781734303
1.0885963118798287,1.0926336266315704
1.1211747608602258,1.1254168668644084
1.153998253571081,1.1584511414083898
1.1870605663626064,1.1917302719515879
1.2203556885392828,1.2252482925900525
1.2538778166254012,1.2589994441651666
1.2876213488678605,1.2929781688371134
1.3215808799628068,1.3271791048810881
1.355751195993739,1.361597081693922
1.3901272695696267,1.3962271149997172
1.4247042551524571,1.4310644022439503
1.4594774845643907,1.466104318166275
1.4944424626654262,1.5013424105429678
