fixed_asym_D=0.1 mm^2/w,fixed_sym_D=0.1 mm^2/w
400.0,400.0
400.0,400.0
400.05028100768766,400.05028100768766
400.3756825822797,400.37573286136177
400.9680046877259,400.96820371724914
401.8146852093613,401.81517795338414
402.9034924868385,402.9044690419564
404.2232459791466,404.2249405069844
405.76387934895433,405.76656926282493
407.5163579750633,407.520363348887
409.4725685449223,409.4782517176589
411.62521211966657,411.6329774726195
413.9677086912017,413.9780025788708
416.49411425304993,416.5074250709307
419.1990493261692,419.21590770114676
422.0776373930765,422.0986164839459
425.12545172616905,425.15116762339875
428.3384692814117,428.36958149661007
431.7130305383295,431.7502425750197
435.2458043591169,435.2898643574057
438.9337571026172,438.98545855118704
442.7741253630984,442.8343078726803
446.7643918128306,446.83394194594706
450.9022637157989,450.9821158681139
455.18565375144414,455.27679108053735
459.6126628454736,459.71611824327533
464.1815647522411,464.2984218577302
468.89079217211,469.0221864212037
473.7389242193039,473.8860439291523
478.72467508234257,478.8887625674956
483.8468837413214,484.0292364594594
489.1045046248506,489.3064763499726
494.49659910509087,494.7196011262324
500.0223277425301,500.26783008624517
505.68094320336616,505.95047587835273
511.47178378193126,511.7669380443122
517.3942674687925,517.7166971066833
523.4478865122122,523.7993091483171
529.6322024267351,530.0144008378132
535.9468414079374,536.3616648600753
542.3914901169501,542.8408557156617
548.9658918023565,549.4517858566147
555.669842730552,556.1943221299292
562.5031888987065,563.0683825028776
569.4658230071595,570.0739330470847
576.5576816704375,577.2109851606118
583.7787428481785,584.4795930093958
591.1290234790906,591.8798511712318
598.6085773027178,599.4118924671318
606.2174928552357,607.0758859663406
613.9558916268052,614.8720351525941
621.8239263691629,622.8005762403545
629.8217795431658,630.8617766307966
637.9496618969307,639.05593349824
646.2078111660416,647.3833724985564
654.5964908880408,655.8444465918222
663.1159893240927,664.4395349721624
671.7666184813105,673.1690420983275
680.5487132297831,682.0333968190996
689.4626305088269,691.0330515881083
698.5087486174383,700.1684817630847
707.6874665843184,709.4401849849868
716.9992036132105,718.8486806327891
726.4443985996219,728.394509350069
736.0235097152997,738.0782326398165
745.7370140571088,747.9004325241721
755.5854073572042,757.8617112660477
765.5692037516225,767.9626911498129
775.6889356046224,778.2040143184357
785.9451533862947,788.5863426646605
796.3384256011362,799.1103577739788
806.869338765443,809.7767609173086
817.5384974315231,820.5862730914457
828.3465242568655,831.5396351054858
839.2940601165249,842.6376077115402
850.3817642570983,853.8809717781847
861.6103144907742,865.2705285051859
872.9804074280327,876.8070996781489
884.4927587476703,888.4915279618231
896.1481035029027,900.3246772308851
907.9471964623806,912.307432937101
919.8908124850292,924.4407025118417
931.9797469276892,936.7254158029965
944.214816084602,949.1625255453959
956.5968576578452,961.7530078639141
969.1267312578832,974.4978628084841
981.8053189334496,987.3981149203092
994.6335257300304,1000.4548138286124
1007.6122802762764,1013.6690348773103
1020.7425353977044,1027.041879781052
1034.0252687571087,1040.5744773101057
1047.461483521141,1054.26798400362
1061.0522090525567,1068.123584910837
1074.7985016276782,1082.1424943598665
1088.7014451786538,1096.3259567536793
1102.7621520601376,1110.6752473930137
1116.9817638400543,1125.1916733259318
1131.3614521141458,1139.8765742237947
1145.9024193440405,1154.7313232834726
1160.6058997186178,1169.757328155636
1175.473160038479,1184.9560318990136
1190.5055006233713,1200.3289139605433
1205.7042562424504,1215.877491181373
1221.070797067296,1231.6033188287113
1236.6065296476395,1247.5079916535606
1252.3128979097908,1263.593144974404
1268.191384177791,1279.860455786954
1284.243510217355,1296.3116439001094
1300.470838302698,1312.948473098302
1316.8749723063831,1329.7727523304554
1333.457558812358,1346.7863369258132
1350.2202882523889,1363.991129836936
1367.1648960661355,1381.3890829102015
1384.2931638851485,1398.982198184187
1401.6069207411028,1416.7725292163457
1419.1080442986367,1434.762182438437
1436.7984621131725,1452.9533185412063
1454.6801529141703,1471.3481538888518
1472.755147914277,1489.9489619638637
1491.0255321448865,1508.7580748428545
1509.4934458186667,1527.7778847040518
1528.161085719643,1547.0108453671628
1547.0307066214748,1566.4594738663693
1566.1046227346042,1586.1263520572543
1585.3852091829942,1606.014128258509
1604.8749035112214,1626.1255189293172
1624.576207222727,1646.463310383363
1644.4916873500797,1667.0303605404517
1664.6239780581495,1687.8296007167921
1684.9757822811268,1708.8640374550316
1705.5498733943853,1730.1367543951922
1726.3490969222185,1751.6509141877068
1747.3763722825408,1773.4097604498095
1768.6346945696814,1795.4166197665882
1790.1271363764597,1817.6749037380644
1811.8568496567768,1840.1881110737231
1833.8270676300083,1862.9598297359732
1856.0411067285431,1885.9937391340786
1878.5023685898564,1909.2936123701631
1901.214342094572,1932.863318538951
1924.180605452016,1956.7068250829745
1947.4048283348263,1980.8282002050378
1970.890774064237,2005.2316153397992
1994.6423018477224,2029.9213476864002
2018.6633690707383,2054.901782804137
2042.95803364437,2080.177417273245
2067.530456410748,2105.7528614229373
2092.3849036081747,2131.6328421289163
2117.5257493979498,2157.822205682648
2142.957478454974,2184.3259207347733
2168.684688624262,2211.149081315108
2194.712093645574,2238.296909931764
2221.044525948454,2265.7747607520096
2247.6869395200238,2293.588122867578
2274.64441284797,2321.7426236472097
2301.9221519412454,2350.2440321793147
2329.525493431055,2379.0982628077354
2357.4599077548296,2408.311378763672
2385.731002425925,2437.889595896947
2414.344525391905,2467.8392865098717
2443.306368484337,2498.166983297088
2472.622570963132,2528.8793833948594
2502.299323158544,2559.9833525433946
2532.342970214044,2591.4859293658956
2562.76001593338,2623.394329768134
2593.5571267352507,2655.71595146248
2624.74113571908,2688.4583786204194
2656.319046845545,2721.629386657718
2688.2980392355694,2755.2369471565175
2720.6854715916224,2789.2892329287743
2753.4888867452905,2823.7946232255745
2786.7160163351755,2858.7617090970043
2820.37478561932,2894.1992989073756
2854.4733184264637,2930.1164240107537
2889.0199422505657,2966.5223445918728
2924.023193493163,3003.4265556776672
2959.491822858241,3040.8387933247955
2995.434800904457,3078.769040988677
3031.861323759668,3117.2275360797234
3068.780819002857,3156.2247767125955
3106.2029517187143,3195.7715286544635
3144.1376307302307,3235.878832478433
3182.5950150148587,3276.5580109284324
3221.585520309899,3317.8206765020386
3261.119825912951,3359.678739257881
3301.20888168341,3402.1444148544197
3341.8639152511423,3445.230232827082
3383.0964394386438,3488.9490451108886
3424.918259903124,3533.3140348158868
3467.3414830051465,3578.338725262873
3510.378523910589,3624.036989287057
3554.0421149328736,3670.4230588174914
3598.34531412257,3717.511534740257
3643.3015141116407,3765.3173970535668
3688.924451219763,3813.8560153231097
3735.228214830324,3863.143159446124
3782.227257043852,3913.1950107328453
3829.936402616805,3964.028173314126
3878.370859193796,4015.659685884182
3927.5462278414993,4068.1070337875517
3977.478513892621,4121.388161459491
4028.1841381084782,4175.5214852291665
4079.6799481688654,4230.5259064951015
4131.983230498042,4286.420825282456
4185.111722435764,4343.226154191798
4239.083624762465,4400.962332749114
4293.917614587741,4459.650342166842
4349.632858611443,4519.311720525787
4406.249026766735,4579.96857838776
4463.786306254571,4641.643614848814
4522.265415979102,4704.360134042887
4581.707621393529,4768.14206210564
4642.134749765999,4833.013964608157
4703.569205875077,4899.001064470063
4766.033988144341,4966.12926036146
4829.552705225562,5034.425145602861
4894.149593039881,5103.916027572065
4959.849532286231,5174.629947626595
5026.678066426128,5246.595701549988
5094.661420153758,5319.842860529792
5163.826518360021,5394.4017926746355
5234.201005598926,5470.303685077201
5305.813266064385,5547.580566429288
5378.692444085038,5626.265330194424
5452.868465144296,5706.391758342696
5528.372057432247,5787.994545651559
5605.234773935455,5871.109324575336
5683.489015070021,5955.772690685055
5763.168051862456,6042.022228678938
5844.306049682093,6129.896538962537
5926.938092527752,6219.435264795934
6011.100207870319,6310.679120003743
6096.829392051667,6403.669917241816
6184.163636239053,6498.450596812487
6273.141952932603,6595.065256018001
6363.804403021943,6693.559179039305
6456.192123386185,6793.97886732476
6550.347355029596,6896.372070470434
6646.313471743083,7000.787817570499
6744.13500927935,7107.276449012882
6843.857695026999,7215.889648691607
6945.5284781661285,7326.6804766033165
7049.195560284942,7439.70340179114
7154.9084264336525,7555.014335594476
7262.71787658843,7672.670665158227
7372.676057494338,7792.731287149717
7484.836494852083,7915.256641625712
7599.254125808963,8040.308745985849
7715.985331709647,8167.951228942128
7835.087971057247,8298.249364427102
7956.621412629675,8431.270105355834
8080.646568690336,8567.082117148695
8207.225928225898,8705.755810913488
8336.42359013714,8847.36337617635
8468.305296301594,8991.978813041229
8602.938464419129,9139.677963647524
8740.392220543277,9290.538542784736
8880.737431192574,9444.640167511532
9024.046734926827,9602.064385614707
9170.394573263511,9762.894702730864
9319.857220799166,9927.216607940452
9472.512814389698,10095.117597629935
9628.441381232093,10266.687197403387
9787.724865677845,10442.01698180978
9950.447154595797,10621.200591636496
10116.69410108879,10804.333748503417
10286.55354635456,10991.514266475111
10460.115339466958,11182.84206039135
10637.471354838386,11378.419150598424
10818.715507108816,11578.349663745566
11003.943763190537,11782.739829292248
11193.25415118114,11991.697971353358
11386.746765840147,12205.334495490319
11584.523770307112,12423.761870037179
11786.68939372117,12647.094601531748
11993.34992438385,12875.449203803097
12204.61369808862,13108.944160248295
12420.591081222135,13347.699878813375
12641.39444822382,13591.838639176334
12867.138152972057,13841.484531613682
13097.938493647289,14096.763387016981
13333.913670604836,14357.802697512103
13575.18373677324,14624.731527121901
13821.870540077947,14897.680411903017
14074.09765737506,15176.78124897975
14331.990319366176,15462.167173892878
14595.675325953096,15753.972425679163
14865.280951480829,16052.332199098635
15140.936839309048,16357.38248343167
15422.773885146396,16669.259887277185
15710.924108578894,16988.101448797024
16005.520512223977,17314.044430870366
16306.696927945137,17647.226100646316
16614.587849569823,17987.78349301287
16929.328251564977,18335.853157536832
17251.053393141123,18691.570888472375
17579.898607277635,19055.071437486
17915.999074188912,19426.488208803265
18259.489578784352,19805.952936547925
18610.50425171444,20193.595344117417
18969.17629364144,20589.542785520178
19335.6376824264,20993.919868690187
19710.018862984805,21406.84806089249
20092.448419631444,21828.44527644028
20483.05273081132,22258.825447059222
20881.955606197596,22698.098075358022
21289.27790623002,23146.36777199528
21705.137144267967,23603.733777271096
22129.64707164076,24070.28946801712
22562.917245994995,24546.12185080989
