fixed_sym_D_0.4_ooo,fixed_asym_D_0.4_oob,fixed_asym_D_0.4_obb,fixed_sym_D_0.4_bbb
100.0,100.0,100.0,100.0
99.98360208,99.98360208,100.0,100.0
99.8934722900133,99.89353787093764,99.92592291205284,99.92625334817853
99.8039498534431,99.80414483686964,99.85210445876092,99.8530870611526
99.71668115049596,99.71706764702928,99.7802003004659,99.78214832767965
99.63179415906244,99.63243262013648,99.7103475378962,99.71356602906492
99.54915906265988,99.5501083291657,99.64242512788476,99.64721113931569
99.46860051241876,99.46991786067451,99.57626615909264,99.58290898785316
99.38994753403476,99.39168871958316,99.5117077922952,99.5204891891865
99.31304560921372,99.31526490879614,99.44860337248608,99.45979774612385
99.23775825840724,99.24050851036684,99.38682403705,99.40069865028866
99.16396561394215,99.16729825724369,99.32625730971148,99.34307246932707
99.09156228936016,99.09552740137067,99.26680498704047,99.28681422737216
99.02045527933518,99.02510161247974,99.20838105270816,99.23183131380746
98.95056210470936,98.95593712209372,99.1509098346649,99.17804163539479
98.88180923930902,98.88795914938528,99.09432444237387,99.1253720488203
98.81413079657648,98.82110058691543,99.03856546248868,99.07375705198727
98.7474674384184,98.75530090864304,98.9835798756404,99.0231376966754
98.68176546832326,98.69050526225004,98.92932015659038,98.97346068478585
98.61697607535322,98.62666371238198,98.87574352450956,98.92467761490475
98.55305470117304,98.5637306069617,98.82281131567068,98.87674435144771
98.48996050746295,98.50166404391874,98.77048845599728,98.8296204938098
98.42765592546756,98.4404254200836,98.71874301529976,98.7832689273359
98.3661062730302,98.3799790475932,98.66754582861148,98.73765544151061
98.30527942734253,98.32029182603488,98.6168701729067,98.69274840363835
98.24514554392756,98.26133296084556,98.5666914897616,98.64851847856528
98.18567681418816,98.20307372029554,98.51698714632607,98.6049383868027
98.12684725529051,98.14548722482586,98.46773622840632,98.56198269484436
98.0686325272956,98.08854826364995,98.4189193605963,98.51962763261
98.0110097733636,98.03223313444424,98.37051854930542,98.47785093385669
97.95395747958791,97.9765195026824,98.32251704525686,98.43663169612799
97.8974553516037,97.92138627775807,98.27489922261842,98.39595025739821
97.84148420559288,97.86681350351684,98.22765047240117,98.35578808704356
97.78602587169505,97.81278226120575,98.1807571081475,98.31612768915844
97.7310631081501,97.75927458316644,98.13420628224551,98.27695251655048
97.6765795247593,97.70627337585684,98.08798591146484,98.23824689400747
97.62255951446537,97.65376235100264,98.04208461052356,98.19999594964261
97.5689881920306,97.60172596385604,97.99649163267216,98.16218555330227
97.51585133894014,97.55014935768908,97.95119681642784,98.12480226116763
97.46313535378128,97.49901831377176,97.90619053771616,98.08783326580523
