D=0.0 (mm^2/w),D=0.1 (mm^2/w),D=0.2 (mm^2/w),D=0.3 (mm^2/w),D=0.4 (mm^2/w),D=0.5 (mm^2/w),D=0.6 (mm^2/w),D=0.7 (mm^2/w),D=0.8 (mm^2/w),D=0.9 (mm^2/w),D=1.0 (mm^2/w)
0.9403162637415744,0.936351510438743,0.932431782763444,0.9285562473913872,0.9247240881875162,0.9209345058595232,0.9171867176178562,0.9134799568421196,0.9098134727537472,0.9061865300948516,0.902598408813136
1.0707818603358672,1.0658870250227055,1.0610527331154431,1.0562777557158889,1.051560891975399,1.0469009684623276,1.0422968385429268,1.0377473817754377,1.0332515033171152,1.0288081333439298,1.0244162264826981
1.2084581018114149,1.202503131588616,1.1966278498995115,1.190830496697144,1.18510935597176,1.1794627546523926,1.1738890615345638,1.168386686233534,1.162954078162532,1.1575897255354048,1.152292154393154
1.3532043896517272,1.346051576662097,1.339001731894326,1.332052397095444,1.325201180909976,1.3184457570515191,1.311783862522391,1.305213295880171,1.298731915549972,1.292337638181302,1.286028437048413
1.5048940744793375,1.4963980930555665,1.488033032246411,1.4797955326767185,1.4716823337488547,1.4636902707073334,1.4558162717879826,1.4480573554493597,1.4404106276841535,1.4328732794083814,1.4254425839262477
1.663413179316506,1.6534211056914598,1.6435931470289096,1.633924799408489,1.624411701191332,1.6150496284530602,1.6058344905597408,1.596762325882563,1.5878292976470665,1.5790316899128771,1.5703659036800417
1.828659273132656,1.8170105894654185,1.805565057672928,1.7943167404368052,1.7832599009682366,1.772388996094565,1.7616986695796006,1.7511837456700774,1.740839222860877,1.730660267871884,1.7206422098295733
2.0005404730272827,1.987067057278176,1.9738423051711784,1.96085850650514,1.9481082282989268,1.935584304576217,1.923279826521125,1.911188132991672,1.8993028013785127,1.887617638796768,1.8761266735992
2.178974557076954,2.1635006600767226,2.148328077698676,2.1334469312557465,2.1188477187560952,2.104521300130156,2.0904588830307542,2.076652009184748,2.0630925412753585,2.049772650335139,2.0366848036302536
2.363888172855153,2.346230383752012,2.328934396329526,2.311987705917032,2.2953783118550266,2.279094696537762,2.263125805320901,2.2474610272594537,2.2320901766425045,2.217003475292567,2.2021915355986534
2.555216129054351,2.535183330183252,2.515581385994689,2.496394640370319,2.477608102202482,2.4592074161732493,2.441178834812072,2.4235091917773306,2.406185876309285,2.389196808804107,2.3725304174608066
2.7529007596141883,2.730294071711933,2.708196620838033,2.686588999622007,2.665452667094093,2.6447699085750007,2.624523797419977,2.6046981585330773,2.585277533571152,2.566247147760672,2.5475928782538957
2.956891351378333,2.931504069963036,2.9067145347786205,2.882498906374792,2.858834461134572,2.8356995369943325,2.813073481807182,2.7909366042230284,2.769270126964476,2.7480561423834025,2.727277570188451
3.167143627636453,3.1387611512780027,3.1110758894481334,3.084058801766984,3.057682269845551,3.031920024777689,3.0067470783416965,2.982139657724223,2.958075143588395,2.9345320113168887,2.9114897752690467
3.3836192810129178,3.3520190321405003,3.321227292800474,3.2912089574893955,3.2619307153791306,3.233360954605009,3.205469671685845,3.1782283858036773,3.151610057685138,3.1255890128398445,3.1001408689239045
3.606285550084287,3.571236888905972,3.5371207626306687,3.503895033439848,3.471519808416801,3.4399573145801208,3.4091717809239164,3.3791293270753955,3.349797858201586,3.321146965817161,3.293147834164319
3.835114834878252,3.796378966924848,3.758713330027581,3.722067675871723,3.68639454113922,3.65164908598476,3.617788941963278,3.58477406885975,3.552566619903366,3.521130814877918,3.4904328206681523
4.070084347055024,4.027414224804644,3.9859666784477215,3.945682151663517,3.906504516830992,3.868380868195002,3.831261327639796,3.7950988623054376,3.759849113328297,3.725470235029861,3.6919227439185405
4.31117579112028,4.264316010110312,4.218846814657953,4.174698014903553,4.131803612258804,4.090101536840496,4.049533401547766,4.010044271731774,3.971582449472129,3.934099271536001,3.897548920153581
4.558375073484166,4.507061763272908,4.457323768271056,4.409078802465968,4.362249669449361,4.316763931781375,4.27255360211578,4.229554854657379,4.187707755615262,4.146956011402556,4.107246733414548
4.811672036577883,4.755632746878125,4.70137131700443,4.6487917556654,4.597804213910122,4.548324571899877,4.500274053877996,4.453578869415511,4.408169879139824,4.363982283274954,4.320955331434848
5.071060215579278,5.010013797850112,4.950966735140171,4.893807565430213,4.838432196692904,4.784743394065605,4.732650303257275,4.682068007628703,4.63291711656452,4.5851233829226326,4.538617347502163
5.336536615591181,5.2701931003417055,5.206090562964145,5.144100138737199,5.084101758007543,5.025983513944763,4.969641076492543,4.914977149135977,4.861900965350271,4.810327821824105,4.760178645762422
5.608101507368388,5.536161977397357,5.466726395219929,5.399646384312404,5.33478401035803,5.272011006592649,5.211208057615634,5.152264137242878,5.095075896310965,5.039547096649679,4.98558808772493
5.885758239907598,5.8079146996760125,5.73286068683729,5.660426015829344,5.590452839403312,5.522794705001729,5.457315684619338,5.3938895724047855,5.3323991447076295,5.272735477687197,5.214797317980161
6.169513068404342,6.085448309713208,6.004482574389247,5.926421371032935,5.851084720944664,5.7783060149802665,5.7079309621640855,5.639816622662767,5.573830518316599,5.5098498144719015,5.447760567361121
6.459374996246273,6.368762460368963,6.281583711901242,6.197617245389124,6.116658552615693,6.038518744913128,5.963023289350077,5.890010849333505,5.819332220947374,5.7508493570698525,5.684434471970785
6.755355629856769,6.657859266254341,6.564158119784083,6.474000739010395,6.387155499003304,6.303408949110963,6.222564301238564,6.14444004661423,6.068868690048014,5.99569559162911,5.924777906665733
7.057469045329459,6.952743167057757,6.852202045792173,6.755561115738955,6.662558849061485,6.572954783589481,6.486527722943674,6.403074093903488,6.322406447178015,6.244352088957531,6.16875183173331
7.365731665905692,7.253420801804798,7.145713837022723,7.042289673385101,6.942853884797174,6.847136373239693,6.754889235237208,6.665884819761575,6.579913960253793,6.496784365013289,6.416319151629101
7.680162149445084,7.559900893184661,7.444693822072192,7.334179624220281,7.228027760310913,7.125935689455104,7.027626350715567,6.932845876543001,6.8413615165822055,6.752959752306463,6.667444584755784
8.000781285125958,7.872194141163968,7.749144202555067,7.63122598491439,7.518069390366441,7.409336437374587,7.304718299672305,7.203932624829192,7.106721105795041,7.012847281309293,6.92209454336539
8.327611898689275,8.190313125186394,8.059068953268717,7.93342547518665,7.812969347744278,7.69732395198196,7.5861459249033345,7.479122026874632,7.375966311883868,7.2764175710606,7.18023702275653
8.66067876560772,8.514272214325445,8.374473730357872,8.240776424510136,8.112719768706201,7.989885102376176,7.871891584745966,7.758392548355028,7.649072213611323,7.543642728227978,7.441841499017588
9.000008531622203,8.844087484818903,8.695365786894262,8.553278686272941,8.417314265961377,8.28700820359096,8.161939063718942,8.04172406777318,7.926015292643173,7.814496253960792,7.706878834637639
9.345629640141947,9.17977664446809,9.021753895342249,8.87093355885501,8.726747848581779,8.588682935400525,8.456273490189385,8.329097792938022,8.20677334880635,8.088952957928985,7.975321191369834
9.697572266052548,9.521358963433707,9.353648276430537,9.193743713129674,9.041016848365354,8.894900267599619,8.754881260545078,8.620496183985713,8.491325421932466,8.366988878997958,8.24714194978836
10.055868255519403,9.868855211003607,9.691060533994204,9.521713125943664,9.360118852190766,9.205652391292288,9.057749969397424,8.915902882459399,8.779651719794957,8.648581212039314,8.522315635030392
10.420551071412577,10.222287597946751,10.034003595390711,9.854847019169378,9.684052639948256,9.52093265576514,9.364868345382527,9.21530264600708,9.071733551691551,8.933708240421568,8.800817848259674
10.79165574401368,10.581679724102688,10.38249165712897,10.193151803959148,10.01281812766763,9.840735510557955,9.676226192165556,9.518681288295465,9.36755326726287,9.222349273764769,9.082625203428808
