euler,RK_rtol_1e-06_atol_1e-09
0.0,0.0
21624.725124831137,21624.726247927716
21929.03492061885,21929.03596400122
22229.918272864117,22229.919514839446
22527.425120029875,22527.425912864775
22821.59596365964,22821.598139767393
23112.462211841703,23112.46387324862
23400.04741831985,23400.04848722943
23684.36694674294,23684.36770510809
23965.41722639277,23965.422219780023
24243.279052950384,24243.26649074788
24517.56536035367,24517.61333909211
24789.457291165712,24789.36465074718
25057.211500670503,25057.12875839459
25314.553540452915,25316.137995253895
25615.925154562152,25608.894954388248
25757.260029346835,25775.101780167224
26158.24097247605,26138.474307028548
26712.81629667039,26685.71550714149
24801.740052174613,25003.33588802019
31826.71880569093,31384.47506329401
20733.55247872464,20726.79372171025
31347.97944757932,36500.621194515654
19677.793686107485,18901.976874786917
36791.69265914812,42142.58907375774
17037.751774303706,17162.197833847844
30996.554793982254,28856.17517180029
27934.61823349091,29974.42123078318
17467.271209457762,17598.566546617014
20993.76532827254,20716.273469835298
50517.96392025445,49377.196641089664
24700.76039671976,25063.545302862836
18757.56743778845,18818.517032824395
19598.97898768537,19612.689578439597
33816.11803996466,33649.459801592086
44743.23493513758,44865.01308334294
23349.921157391997,23358.968953919208
20297.68760834154,20312.41937921957
21335.16780935673,21400.016309910592
35351.14179088838,35548.34475560727
45073.08127843877,44761.89263812206
25935.76359770671,25875.201643114913
22563.1233031248,22552.6572428193
22750.82774896075,22813.870470573347
34829.69781676329,35147.57069453328
44075.58216573113,43691.92623808037
28044.09410083685,27960.14311931688
24702.901714378982,24682.49959506799
25444.67524741146,25544.112773601682
42251.18638578609,42535.673101520784
34996.51966807853,34788.60720439651
28050.725437644087,27998.481242649654
26892.40644093659,26937.807521658346
37062.01503125481,37234.78115356915
34792.10341952593,34675.541222427644
31221.045733059866,31206.943364842416
31579.320748066824,31593.19968527936
32184.13183973722,32188.608022438486
32442.76271923996,32443.609902393913
32621.985075578847,32622.12990226522
32801.9325335105,32801.96035585515
32996.283223873674,32996.29314311635
33206.31855436159,33206.32576524595
33431.23129103461,33431.23844675579
33669.854836739,33669.86086870587
33920.98435170117,33920.99023078781
34183.46082617743,34183.46665591668
34456.20307210999,34456.20868473964
34738.220703384664,34738.22616041211
35028.61715111919,35028.62160590943
35326.58698159706,35326.59134993191
35631.410109207885,35631.41489220613
35942.44454204207,35942.449336313904
36259.118668570416,36259.123333573465
36580.92367735301,36580.927649427314
36907.406432813645,36907.41094048079
37238.16296168289,37238.167307790616
37572.83260275981,37572.83692611061
37911.0928136101,37911.097108829876
38252.65459584353,38252.65885596854
38597.25848529069,38597.26237842233
38944.67104802534,38944.67500990289
39294.681823516206,39294.685583656654
39647.10065960753,39647.104607046385
40001.75538890946,40001.75924973149
40358.48980158097,40358.4936667192
40717.16187486205,40717.16547064935
41077.64222476826,41077.64601755589
41439.81274996104,41439.816381767065
41803.56544190008,41803.56914464048
42168.801338982594,42168.80479238567
42535.429605493206,42535.433134220664
42903.36671888862,42903.37011194703
43272.53575125582,43272.53877543104
43642.86573277119,43642.86908946156
44014.29108668421,44014.29453787615
44386.75112680288,44386.75444250705
44760.18960969751,44760.19278727883
45134.55433489929,45134.557670863906
45509.79678727717,45509.8000324434
45885.87181655144,45885.87516370001
46262.73734956703,46262.74051535247
46640.35413152045,46640.35742636037
47018.68549282355,47018.68874363723
47397.697138708805,47397.70032326494
47777.3569590452,47777.36011780557
48157.63485614535,48157.638053928094
48538.50258861891,48538.50571714182
48919.93362955933,48919.93658149137
49301.90303755704,49301.905942991216
49684.387339208486,49684.39037574868
50067.36442194528,50067.367463687515
50450.81343614291,50450.81631523546
50834.71470558446,50834.71765251644
51219.04964546114,51219.05244547457
51603.80068717794,51603.80362108381
51988.95120931534,51988.95414892805
52374.48547416626,52374.4884450163
52760.38856932944,52760.3914955396
53146.64635389452,53146.649292227594
53533.24540880349,53533.24830191206
53920.17299101262,53920.17587551563
54307.41699112123,54307.41968235656
54694.96589416293,54694.96873537711
55082.80874328732,55082.811438976416
55470.93510608571,55470.9379174239
55859.33504333881,55859.337724816825
56247.99907998423,56248.00191837331
56636.91817812223,56636.920967621954
57026.08371189379,57026.086413465906
57415.48744408048,57415.49024775901
57805.121504290175,57805.12423813811
58194.97836860376,58194.98100806792
58585.05084056968,58585.05341265087
58975.332033442704,58975.33479972593
59365.815353572936,59365.81807585335
59756.49448485896,59756.49711422824
60147.363374184766,60147.36610176827
60538.41621777039,60538.418922205434
60929.64744836799,60929.65016938921
61321.05172324377,61321.0543645747
61712.62391288918,61712.626345887824
62104.359090410624,62104.361452726465
62496.252521549606,62496.254938304206
62888.29965529097,62888.30223917377
63280.49611501763,63280.4986193083
63672.83769017651,63672.84031240986
64065.3203284197,64065.32298120081
64457.94012819084,64457.942772037146
64850.69333172662,64850.69585362254
65243.576318446576,65243.57891253297
