time,value_C
0.0,4.0
0.01,4.0
0.02,4.0
0.03,4.000000260715309
0.04,4.00000381249775
0.05,4.000016853808722
0.06,4.000048158351092
0.07,4.000108559916802
0.08,4.000210528992095
0.09,4.000367825179648
0.1,4.000595210115847
0.11,4.000908208807468
0.12,4.001322910116796
0.13,4.001855799240863
0.14,4.002523616595317
0.15,4.003343238677294
0.16,4.004331577358921
0.17,4.005505494734189
0.18,4.006881731162703
0.19,4.008476844563335
0.2,4.010307159336666
0.21,4.012388723557211
0.22,4.014737273289262
0.23,4.017368203054491
0.24,4.020296541623355
0.25,4.023536932421875
0.26,4.027103617945363
0.27,4.031010427654758
0.28,4.03527076890228
0.29,4.039897620493467
0.3,4.044903528544129
0.31,4.050300604334802
0.32,4.056100523903132
0.33,4.062314529147249
0.34,4.068953430241376
0.35,4.076027609189382
0.36,4.0835470243632255
0.37,4.0915212158917305
0.38,4.099959311781318
0.39,4.1088700346644185
0.4,4.118261709083699
0.41,4.128142269231092
0.42,4.1385192670701825
0.43,4.149399880778912
0.44,4.160790923456989
0.45,4.17269885204893
0.46,4.185129776439451
0.47,4.198089468683035
0.48,4.211583372334039
0.49,4.225616611847715
0.5,4.240194002026072
0.51,4.255320057485667
0.52,4.270999002127207
0.53,4.287234778589344
0.54,4.304031057671237
0.55,4.321391247710424
0.56,4.339318503904301
0.57,4.357815737565033
0.58,4.376885625299121
0.59,4.396530618104056
0.6,4.4167529503755905
0.61,4.437554648820109
0.62,4.45893754126746
0.63,4.4809032653803405
0.64,4.503453277257035
0.65,4.5265888599248765
0.66,4.550311131722362
0.67,4.5746210545682855
0.68,4.5995194421167085
0.69,4.625006967796924
0.7,4.651084172737916
0.71,4.677751473577085
0.72,4.705009170153285
0.73,4.732857453084424
0.74,4.761296411230081
0.75,4.790326039039763
0.76,4.8199462437875935
0.77,4.850156852694331
0.78,4.880957619937754
0.79,4.912348233552547
0.8,4.944328322220907
0.81,4.976897461955179
0.82,5.010055182673885
0.83,5.043800974672598
0.84,5.078134294991127
0.85,5.113054573678581
0.86,5.148561219957864
0.87,5.1846536282912465
0.88,5.2213311843486485
0.89,5.258593270880341
0.9,5.296439273495766
0.91,5.33486858635023
0.92,5.373880617741237
0.93,5.413474795616254
0.94,5.453650572993735
0.95,5.494407433299233
0.96,5.535744895618472
0.97,5.577662519869266
0.98,5.620159911894189
0.99,5.6632367284759315
1.0,5.706892682277302
1.01,5.751127546707842
1.02,5.7959411607190745
1.03,5.8413334335304
1.04,5.887304349287703
1.05,5.9338539716567515
1.06,5.980982448353493
1.07,6.028690015613387
1.08,6.0769770026019465
1.09,6.1258438357686735
1.1,6.175291043146635
1.11,6.225319258599919
1.12,6.275929226021282
1.13,6.3271218034823065
1.14,6.378897967338433
1.15,6.431258816291261
1.16,6.4842055754105665
1.17,6.537739600118487
1.18,6.591862380138404
1.19,6.646575543411064
1.2,6.701880859980525
