time,value_R
0.0,0.0
0.01,0.0
0.02,0.00024202490346496002
0.03,0.001810464720812858
0.04,0.004675336395271818
0.05,0.008783051423208689
0.06,0.01407917004281264
0.07,0.020512189662571276
0.08,0.028034145052155502
0.09,0.03660046667250718
0.1,0.04616966640749429
0.11,0.056703007712859035
0.12,0.06816420431696836
0.13,0.08051915699418206
0.14,0.09373572703239293
0.15,0.10778354193976425
0.16,0.12263382851670838
0.17,0.13825926885992904
0.18,0.1546338755209928
0.19,0.17173288268566209
0.2,0.1895326508016349
0.21,0.20801058254904586
0.22,0.22714504842798822
0.23,0.24691532054391202
0.24,0.26730151341863195
0.25,0.2882845308537132
0.26,0.3098460180339789
0.27,0.3319683181896288
0.28,0.35463443324216726
0.29,0.37782798794687394
0.3,0.4015331971167326
0.31,0.4257348355725615
0.32,0.45041821051393177
0.33,0.4755691360471863
0.34,0.5011739096419727
0.35,0.5272192903173641
0.36,0.5536924783838174
0.37,0.5805810965886751
0.38,0.6078731725312803
0.39,0.6355571222295501
0.4,0.663621734733452
0.41,0.6920561576925991
0.42,0.7208498837953967
0.43,0.7499927380060718
0.44,0.7794748655336913
0.45,0.8092867204740879
0.46,0.8394190550715974
0.47,0.8698629095527852
0.48,0.9006096024889974
0.49,0.9316507216486971
0.5,0.9629781153042093
0.51,0.9945838839607504
0.52,1.026460372478528
0.53,1.0586001625612875
0.54,1.0909960655870052
0.55,1.123641115758513
0.56,1.156528563553711
0.57,1.189651869456709
0.58,1.2230046979527636
0.59,1.2565809117712432
0.6,1.2903745663621053
0.61,1.3243799045924898
0.62,1.3585913516510602
0.63,1.3930035101486513
0.64,1.4276111554046305
0.65,1.462409230909149
0.66,1.4973928439521698
0.67,1.532557261410795
0.68,1.567897905687012
0.69,1.6034103507885165
0.7,1.6390903185457628
0.71,1.6749336749588541
0.72,1.710936426668298
0.73,1.7470947175440437
0.74,1.7834048253875703
0.75,1.8198631587421248
0.76,1.8564662538065135
0.77,1.8932107714481285
0.78,1.9300934943111534
0.79,1.9671113240161338
0.8,2.0042612784473177
0.81,2.0415404891243862
0.82,2.078946198655378
0.83,2.116475758267804
0.84,2.154126625415099
0.85,2.191896361455735
0.86,2.2297826294024445
0.87,2.267783191739155
0.88,2.3058959083033543
0.89,2.3441187342317336
0.9,2.382449717967053
0.91,2.420886999324301
0.92,2.459428807614291
0.93,2.4980734598229604
0.94,2.5368193588446957
0.95,2.5756649917681114
0.96,2.614608928212777
0.97,2.6536498187154596
0.98,2.6927863931645257
0.99,2.7320174592811983
1.0,2.771341901146442
1.01,2.810758677772294
1.02,2.8502668217165232
1.03,2.8898654377395463
1.04,2.9295537015025825
1.05,2.969330858306077
1.06,3.0091962218674637
1.07,3.049149173137383
