time,value_H
0.0,0.0
0.01,0.0
0.02,0.002126082156352
0.03,0.01587574414219406
0.04,0.04084028889708607
0.05,0.07642980926616816
0.06,0.1220724214632834
0.07,0.17724446169407354
0.08,0.24147273706765657
0.09,0.31433063323431465
0.1,0.3954330838206169
0.11,0.48443173189920036
0.12,0.5810106186158903
0.13,0.6848824368660377
0.14,0.7957853001634574
0.15,0.9134799568421195
0.16,1.0377473817754375
0.17,1.1683866862335341
0.18,1.305213295880171
0.19,1.4480573554493597
0.2,1.596762325882563
0.21,1.7511837456700774
0.22,1.9111881329916713
0.23,2.076652009184748
0.24,2.2474610272594537
0.25,2.4235091917773306
0.26,2.6046981585330773
0.27,2.7909366042230284
0.28,2.982139657724223
0.29,3.1782283858036773
0.3,3.3791293270753955
0.31,3.58477406885975
0.32,3.7950988623054376
0.33,4.010044271731774
0.34,4.229554854657379
0.35,4.4535788694155105
0.36,4.682068007628703
0.37,4.914977149135977
0.38,5.152264137242878
0.39,5.3938895724047855
0.4,5.639816622662767
0.41,5.890010849333505
0.42,6.14444004661423
0.43,6.403074093903488
0.44,6.665884819761575
0.45,6.932845876543001
0.46,7.203932624829192
0.47,7.479122026874632
0.48,7.758392548355028
0.49,8.04172406777318
0.5,8.329097792938022
0.51,8.620496183985713
0.52,8.915902882459399
0.53,9.21530264600708
0.54,9.518681288295463
0.55,9.826025623772166
0.56,10.137323416939799
0.57,10.452563335833466
0.58,10.771734909418557
0.59,11.094828488648632
0.6,11.4218352109439
0.61,11.75274696786965
0.62,12.08755637581104
0.63,12.42625674945619
0.64,12.768842077913652
0.65,13.115307003303226
0.66,13.46564680167083
0.67,13.819857366088893
0.68,14.17793519181355
0.69,14.539877363378942
0.7,14.90568154351715
0.71,15.275345963799916
0.72,15.64886941690522
0.73,16.026251250418255
0.74,16.407491362082233
0.75,16.792590196419894
0.76,17.181548742651696
0.77,17.574368533841273
0.78,17.971051647203126
0.79,18.37160070551152
0.8,18.776018879553288
0.81,19.184309891570738
0.82,19.596478019644103
0.83,20.012528102965994
0.84,20.432465547963194
0.85,20.85629633522373
0.86,21.284027027189723
0.87,21.71566477657882
0.88,22.151217335499233
0.89,22.590693065225523
0.9,23.034100946604237
0.91,23.48145059106033
0.92,23.93275225217718
0.93,24.388016837824587
0.94,24.847255922810827
0.95,25.31048176203637
0.96,25.77770730412828
0.97,26.24894620553581
0.98,26.724212845068976
0.99,27.20352233886328
1.0,27.68689055575489
1.01,28.174334133051918
1.02,28.66587049268854
1.03,29.161517857749804
1.04,29.66129526935613
1.05,30.165222603897575
1.06,30.673320590608864
1.07,31.18561082947735
1.08,31.702115809476936
1.09,32.222858927121976
1.1,32.74786450533615
1.11,33.2771578126322
