CD4_T_cells,CD8_T_cells,macrophages,normal_fibres,damaged_fibres,regenerating_fibres,real_part_eig_1,imaginary_part_eig_1,real_part_eig_2,imaginary_part_eig_2,real_part_eig_3,imaginary_part_eig_3,real_part_eig_4,imaginary_part_eig_4,real_part_eig_5,imaginary_part_eig_5
840.8809353327846,64.07804397566468,21620.36724739208,31.710961349311912,1.0001643255918786,67.28887432509619,-9.289925705626016,0.0,-1.090359054330316,0.0,-0.0922661876541498,0.5308534738671059,-0.0922661876541498,-0.5308534738671059,-0.6170163529284459,0.0
840.880963206726,64.07804819148934,21620.367902539525,31.710961405779056,1.0001639589223,67.28887463529871,-9.28992614670446,0.0,-1.0903589950355357,0.0,-0.0922662391189374,0.5308535153248853,-0.0922662391189374,-0.5308535153248853,-0.6170163782541823,0.0
840.8809936514526,64.07805279598492,21620.36861811321,31.71096146742123,1.000163558462278,67.28887497411651,-9.28992662844617,0.0,-1.0903589302763506,0.0,-0.0922662953272629,0.530853560604146,-0.0922662953272629,-0.530853560604146,-0.6170164059137996,0.0
840.8809262422197,64.0780426007743,21620.36703372769,31.710961330899504,1.0001644451712128,67.28887422392941,-9.28992556177845,0.0,-1.090359073667713,0.0,-0.0922661708702324,0.5308534603466873,-0.0922661708702324,-0.5308534603466873,-0.6170163446691466,0.0
840.8809282401863,64.0780429029499,21620.36708068796,31.710961334944816,1.0001644188892702,67.28887424616596,-9.28992559339404,0.0,-1.0903590694176213,0.0,-0.092266174559136,0.5308534633182662,-0.092266174559136,-0.5308534633182662,-0.6170163464844288,0.0
840.881090546154,64.07806745070688,21620.370895523432,31.71096166367901,1.0001622839038589,67.28887605241735,-9.289928161682074,0.0,-1.0903587241649118,0.0,-0.0922664742218777,0.5308537047148756,-0.0922664742218777,-0.5308537047148756,-0.6170164939471519,0.0
840.8809763203154,64.07805017475847,21620.368210762328,31.71096143232351,1.0001637864400124,67.28887478123643,-9.289926354201302,0.0,-1.0903589671430396,0.0,-0.0922662633286427,0.5308535348274964,-0.0922662633286427,-0.5308535348274964,-0.6170163901674558,0.0
840.8809247649777,64.07804237733585,21620.36699900713,31.710961327900105,1.000164464602532,67.28887420749734,-9.289925538403018,0.0,-1.0903590768100222,0.0,-0.0922661681430161,0.5308534581495679,-0.0922661681430161,-0.5308534581495679,-0.6170163433270356,0.0
840.8809451428345,64.07804545936553,21620.36747796748,31.71096136917812,1.000164196550175,67.28887443427146,-9.289925860857378,0.0,-1.0903590334627482,0.0,-0.0922662057662753,0.5308534884574834,-0.0922662057662753,-0.5308534884574834,-0.6170163618413027,0.0
840.8809505473943,64.07804627685165,21620.36760499469,31.710961380141946,1.0001641254445877,67.28887449441362,-9.289925946386248,0.0,-1.0903590219641544,0.0,-0.0922662157461149,0.5308534964967345,-0.0922662157461149,-0.5308534964967345,-0.6170163667525531,0.0
840.880948331073,64.07804594158799,21620.36755290326,31.7109613756424,1.0001641546098927,67.28887446974778,-9.289925911308575,0.0,-1.09035902668049,0.0,-0.0922662116528034,0.5308534931995211,-0.0922662116528034,-0.5308534931995211,-0.6170163647381048,0.0
840.8809864889442,64.07805171273164,21620.3684497648,31.71096145292903,1.0001636526765334,67.28887489439461,-9.289926515110022,0.0,-1.0903589455118792,0.0,-0.0922662821032288,0.5308535499516093,-0.0922662821032288,-0.5308535499516093,-0.6170163994064549,0.0
840.8810629170387,64.07806327194855,21620.370246130125,31.710961607708526,1.0001626473434932,67.28887574494777,-9.289927724483311,0.0,-1.0903587829374817,0.0,-0.0922664232103766,0.5308536636219571,-0.0922664232103766,-0.5308536636219571,-0.6170164688444755,0.0
840.8809380333715,64.07804438414743,21620.36731086588,31.7109613547914,1.0001642900632646,67.28887435514518,-9.289925748362569,0.0,-1.0903590485849142,0.0,-0.0922661926406738,0.530853477884086,-0.0922661926406738,-0.530853477884086,-0.6170163553823964,0.0
840.8810495043588,64.07806124343935,21620.36993087752,31.71096158055857,1.0001628237585944,67.28887559568291,-9.28992751225462,0.0,-1.090358811465983,0.0,-0.0922663984486393,0.5308536436745857,-0.0922663984486393,-0.5308536436745857,-0.617016456659553,0.0
840.8809325529203,64.07804355526594,21620.36718205388,31.71096134368432,1.0001643621483751,67.28887429416721,-9.289925661644183,0.0,-1.0903590602420083,0.0,-0.0922661825230222,0.5308534697333573,-0.0922661825230222,-0.5308534697333573,-0.6170163504035111,0.0
840.8809286767197,64.07804296904668,21620.36709094704,31.71096133584291,1.000164413132218,67.28887425102471,-9.289925600310816,0.0,-1.090359068486693,0.0,-0.0922661753668186,0.5308534639686526,-0.0922661753668186,-0.5308534639686526,-0.6170163468820807,0.0
840.8809966768569,64.0780532536082,21620.368689220923,31.710961473567508,1.000163518661839,67.28887500777071,-9.289926676322256,0.0,-1.0903589238400968,0.0,-0.0922663009132125,0.5308535651042191,-0.0922663009132125,-0.5308535651042191,-0.6170164086628065,0.0
840.8809291235644,64.07804303654244,21620.367101451266,31.71096133672776,1.0001644072708304,67.28887425600146,-9.289925607371286,0.0,-1.0903590675387909,0.0,-0.0922661761900123,0.5308534646319762,-0.0922661761900123,-0.5308534646319762,-0.6170163472869108,0.0
840.8809263345271,64.07804261477527,21620.367035896867,31.710961331090328,1.0001644439450932,67.28887422496453,-9.28992556324626,0.0,-1.090359073469516,0.0,-0.0922661710421603,0.5308534604848135,-0.0922661710421603,-0.5308534604848135,-0.617016344753842,0.0
