evolving_asym,evolving_sym
4.0,4.0
3.996,4.0
3.9920766044,4.0
3.988228606816567,4.000000260715309
3.984457601776053,4.000003817658003
3.9807684250751167,4.0000169259819485
3.9771686062992,4.000048516863548
3.9736678888978063,4.0001097208750584
3.9702778335003344,4.0002134741342035
3.9670114902292015,4.000374193066395
3.963883126052076,4.000607503884154
3.960907996167336,4.000930015828154
3.95810215099552,4.001359129783492
3.955482272294565,4.001912875822628
3.9530655333500926,4.002609774654159
3.950869479254007,4.003468719014141
3.948911924081988,4.004508871830284
3.9472108623879607,4.005749578593906
3.9457843929034153,4.007210291841848
3.944650652697569,4.00891050601664
3.943827760346504,4.010869701263622
3.943333766893737,4.0131072949566375
3.943186613574559,4.015642599932567
3.943404095431743,4.0184947885691855
3.944003830078117,4.021682861967872
3.9450032309677487,4.0252256236081845
3.9464194846262286,4.029141656929366
3.948269531365119,4.033449306367968
3.950570049068751,4.03816666144329
3.953337439695068,4.0433115435355305
3.956587818177951,4.048901495046887
3.960337003457615,4.054953770674673
3.9646005113993663,4.061485330558979
3.969393549390091,4.068512835096224
3.974731012427025,4.076052641234961
3.9806274805352606,4.084120800091975
3.9870972173694903,4.092733055745666
3.994154169872158,4.101904845080189
4.001811968874752,4.1116512985683435
4.0100839305418,4.121987241893855
4.018983058568355,4.132927198324905
4.028522047051696,4.1444853917606
4.038713283966724,4.156675750380757
4.04956885518228,4.169511910837114
4.061100548962465,4.18300722293084
4.073319860903138,4.197174754727333
4.086237999259163,4.212027298064616
4.099865890622813,4.227577374416474
4.114214185917974,4.243837241075718
4.129293266678663,4.2608188976267645
4.145113251583742,4.278534092680148
4.161684003222773,4.29699433084458
4.1790151350706815,4.316210879914941
4.197116018651311,4.336194778256966
4.215995790872158,4.35695684237164
4.235663361514513,4.378507674624209
4.256127420864977,4.400857671124528
4.2773964474759225,4.4240170297470165
4.299478716043841,4.447995758279927
4.322382305395814,4.472803682694903
4.346115106575462,4.49845045552896
4.370684831020766,4.524945564372068
4.396099018827043,4.552298340454427
4.422365047089234,4.580517967328398
4.449490138318353,4.609613489640796
4.477481368927651,4.639593821991942
4.50634567778464,4.670467757878512
4.536089874825668,4.702243978717763
4.566720649730239,4.734931062951232
4.598244580652677,4.768537495226503
4.630668143009213,4.803071675655999
4.663997718318842,4.83854192915221
4.698239603096711,4.87495651483907
4.733400017799061,4.912323635539557
4.769485115819019,4.950651447339857
4.806500992532814,4.989948069230749
4.844453694396209,5.03022159282708
4.883349228091143,5.071480092166482
4.923193569722818,5.113731633588671
4.963992674067597,5.156984285696908
5.005752483872314,5.201246129403388
5.048478939205714,5.246525268060519
5.092177986862932,5.2928298376802445
