evolving_asym_D=0.1 mm^2/w,evolving_sym_D=0.1 mm^2/w
0.0,0.0
0.01639792,0.01639792
0.1062692898521441,0.10628568508322632
0.1941913606433484,0.19423968183608267
0.2785485680485931,0.27864351288786793
0.3592673220595063,0.3594227866418487
0.4365326448519979,0.4367617535388419
0.5105721207835399,0.5108872546505371
0.5816053899761412,0.5820182140382077
0.6498322095163089,0.6503536988642915
0.7154311861575006,0.7160716511107604
0.7785615343606073,0.7793306447180629
0.8393655096833811,0.8402723181401951
0.8979707735994482,0.8990237383853464
0.9544924765587424,0.9556994833455299
1.0090350270620545,1.0104034101813875
1.061693573570479,1.063230136577814
1.1125552412685478,1.1142662768850473
1.1617001653943129,1.1635914748551077
1.2092023576560305,1.211279269490423
1.2551304361372937,1.2573978244041337
1.2995482434439027,1.3020105454433633
1.342515373060987,1.3451766065422577
1.384087619986782,1.386951399869718
1.4243173685826558,1.4273869232101342
1.463253928092145,1.4665321150287554
1.500943824308009,1.5044331456997135
1.5374310542981382,1.5411336718066584
1.5727573098516714,1.5766750591765721
1.6069621743072071,1.6110965793079512
1.6400832966218994,1.6444355830515127
1.6721565458917758,1.6767276547531915
1.703216149007419,1.7080067495430529
1.7332948137000024,1.7383053160246362
1.762423838880933,1.7676544062675505
1.7906332138886396,1.7960837747164629
1.8179517080162984,1.8236219673899017
1.8444069514949548,1.8502964025429947
1.8700255089400335,1.8761334438018178
1.8948329461296232,1.9011584666374426
1.9188538908653217,1.9253959189301988
1.942112088567024,1.9488693762752642
1.9646304531686116,1.9716015925963117
1.9864311138096336,1.9936145465620574
2.007535457756567,2.014929484239092
2.0279641699345223,2.0355669583616516
2.047737269404863,2.0555468645535977
2.0668741430850144,2.0748884747987
2.085393576972793,2.093610468421371
2.1033137851081034,2.111730960810535
2.120652436479179,2.129267530093636
2.1374266800581005,2.146237241945381
2.1536531681307083,2.1626566726961554
2.169348078068762,2.178541930887856
2.1845271326770512,2.1939086774096808
2.199205619234773,2.208772144333067
2.213398407338661,2.2231471525531417
2.2271199656448832,2.2370481283335657
2.2403843775974104,2.250489118842368
2.253205356222298,2.263483806758086
2.2655962580599325,2.2760455240181643
2.277570096300723,2.2881872647749755
2.289139553183812,2.299921697618943
2.3003169917131125,2.3112611771229656
2.311114466740221,2.32221775475761
2.3215437354595174,2.3328031892222696
2.33161626735689,2.3430289562336633
2.341343253650093,2.3529062578095723
2.350735616255588,2.3624460310825985
2.359804016313902,2.371658956675889
2.3685588623029634,2.3805554666702164
2.377010317766553,2.3891457521894672
2.3851683086828785,2.397439770629489
2.393042530496375,2.4054472525533126
2.400642454834057,2.4131777082740227
2.407977335926165,2.420640434144943
2.4150562167493743,2.42784451857535
2.4218879349095115,2.434798847788595
2.42848112827948,2.441512111338277
2.4348442404069903,2.4479928073970156
2.44098552570566,2.4542492478313154
2.4469130544420823,2.4602895630750945
2.4526347175306253,2.4661217068135657
2.4581582311468884,2.4717534604883613
2.4634911411700267,2.477192437634064
2.4686408274634664,2.4824460880556156
2.473614508002898,2.4875217018554547
2.478419242859859,2.4924264133186504
2.4830619380486825,2.4971672046637625
2.4875493492440737,2.5017509096666615
2.4918880853761345,2.506184217164078
2.4960846121092057,2.510473674443225
2.500145255210515,2.514625690523437
2.5040762038142312,2.5186465393354003
2.507883513586198,2.5225423628032013
2.5115731097942784,2.5263191738341044
2.5151507902889536,2.529982859220662
2.518622228398541,2.5335391824594913
2.521992975743122,2.536993786490777
2.525268464971036,2.5403521963623295
2.528454012421566,2.5436198218217863
2.531554820717219,2.546801959840335
2.5345759812888136,2.5499037970711402
2.537522476836388,2.5529304122454537
2.5403991837287747,2.555886778509225
2.543210874344505,2.558777765702853
2.5459622193565723,2.561608142586563
2.548657789963406,2.564382579013747
2.551302060068304,2.5671056480544645
2.553899408409393,2.5697818280711706
2.5564541206421207,2.572415504748606
2.558970391376107,2.575010973079676
2.561452326168109,2.577572439309026
2.5639039434727398,2.5801040228359127
2.5663291765524674,2.582609758077882
2.568731875348353,2.5850935962966504
2.5711158083128645,2.587559407387513
2.5734846642060383,2.5900109816335015
2.575842053856184,2.592452031425437
2.578191511886222,2.5948861929489504
2.580536498406708,2.597317027839452
2.582880400676483,2.599748024805976
2.585226534731871,2.602182601224746
2.587578146985232,2.6046241047032406
2.589938415793655,2.607075814615484
2.5923104529984875,2.609540943609212
2.5946973054363607,2.6120226390855135
2.597101956422307,2.614523984651486
2.599527327205508,2.617048001546391
2.6019762783981704,2.619597650041738
2.604451611377967,2.6221758308156735
2.606956069664444,2.624785386302007
2.609492340269735,2.627429102014146
2.6120630550238904,2.6301097078441718
2.6146707918750747,2.6328298793372404
2.617318076164852,2.635592238941437
2.620007381878728,2.638399357233179
2.622741132872085,2.6412537541182117
2.625521704071592,2.644157900008191
2.628351422652152,2.6471142169728172
2.631232569189386,2.6501250798674247
2.6341673787876347,2.6531928174358983
2.637158042183404,2.656319713388742
2.6402067068241504,2.659508007456082
2.6433154779222665,2.662759896415339
2.646486419484075,2.666077535093266
2.649721555313614,2.669463037342002
2.65302286999096,2.6729184769887464
2.656392309824767,2.6764458887586158
2.659831783778713,2.680047269170194
2.6633431643714487,2.6837245774032517
2.666928288549642,2.687479736138049
2.670588958533653,2.691314632365601
2.67432694263534,2.6952311181682256
2.6781439760474464,2.699231011469651
2.682041761603985,2.7033160967539054
2.68602197051098,2.7074881257521537
2.6900862430468915,2.7117488180966047
2.6942361892319973,2.716099861940542
2.698473389465949,2.720542914543481
2.7027993951326907,2.7250796028203994
