"evolving_sym_D_0.4_ooo","evolving_asym_D_0.4_oog","evolving_asym_D_0.4_ogg","evolving_sym_D_0.4_ggg"
0.0,0.0,0.0,0.0
0.01639792,0.01639792,0.00409948,0.00409948
0.1062856850832263,0.1062365566096623,0.0821332652329941,0.0818854905391537
0.1942396818360826,0.194095952742614,0.1587373547615783,0.15800503277898714
0.2786435128878679,0.2783632340288195,0.2322840568668785,0.23084114582370005
0.3594227866418487,0.3589673978963164,0.3026864793816235,0.30031733996515386
0.4367617535388419,0.4360959566044623,0.370116528747402,0.36661561533966114
0.5108872546505371,0.5099788914217014,0.4347890435560053,0.4299606127731798
0.5820182140382077,0.580838149270644,0.496911290520989,0.49056912326349544
0.6503536988642915,0.648875706200598,0.5566709937823401,0.5486381279225081
0.7160716511107604,0.7142723018378082,0.6142350326726737,0.6043435043374609
0.7793306447180629,0.7771891988325705,0.6697511689494641,0.6578417609455245
0.8402723181401951,0.8377706174396327,0.723350454630071,0.7092724509665551
0.8990237383853464,0.8961461013989587,0.7751495760593562,0.758760521808727
0.95569948334553,0.952432601988768,0.8252529202393866,0.8064183861787735
1.0104034101813877,1.0067362480655253,0.8737543304359716,0.8523476820575174
1.063230136577814,1.0591538289409688,0.9207385772381732,0.8966407478236362
1.114266276885047,1.109774032135209,0.9662825865654736,0.939381854099426
1.1635914748551075,1.1586784777328765,1.010456465916738,0.9806482336717477
1.211279269490423,1.2059425858708492,1.0533243650469268,1.0205109457184707
1.2573978244041335,1.2516363077647603,1.0949452012075782,1.0590356045098366
1.3020105454433633,1.2958247450302702,1.1353732734918751,1.0962829971507253
1.3451766065422577,1.3385686772683505,1.174658786082295,1.1323096101807097
1.386951399869718,1.3799250139802572,1.2128482963298082,1.1671680809749354
1.4273869232101342,1.4199471837499815,1.2499851004929718,1.200907586784522
1.4665321150287554,1.4586854711443402,1.2861095674993035,1.23357418178633
1.5044331456997135,1.496187309806568,1.3212594291342783,1.2652110905526452
1.5411336718066584,1.532497538650703,1.3554700335085887,1.2958589647948804
1.576675059176572,1.5676586268143309,1.3887745674157426,1.3255561089954397
1.6110965793079512,1.601710872027633,1.4212042522014794,1.35433867955026
1.6444355830515127,1.6346925762535318,1.452788516970671,1.3822408612478738
1.6767276547531915,1.666640201805263,1.4835551523148858,1.4092950242677333
1.7080067495430529,1.6975885106215671,1.5135304472225284,1.435531864358777
1.7383053160246362,1.7275706889506184,1.5427393114083916,1.4609805284337842
1.7676544062675503,1.7566184593421887,1.5712053849511018,1.4856687274664386
1.7960837747164629,1.7847621815579715,1.5989511368400438,1.509622838290944
1.8236219673899017,1.81203094377038,1.6259979537959428,1.532867995666498
1.8502964025429949,1.8384526452209693,1.6523662205319125,1.5554281757714847
1.8761334438018176,1.8640540713433469,1.6780753924569465,1.5773262721273882
1.9011584666374424,1.88886096221596,1.7031440616855855,1.5985841648141685
1.9253959189301988,1.912898075092777,1.7275900171010532,1.6192227837224342
1.948869376275264,1.936189241660598,1.751430299120672,1.6392621664893046
1.971601592596312,1.958757420587504,1.7746812497287905,1.6587215116813214
1.9936145465620567,1.9806247458552413,1.797358558271194,1.677619227716598
2.014929484239092,2.001812571307012,1.8194773034440677,1.6959729779575443
2.035566958361652,2.022341511789544,1.8410519918582773,1.7137997223533146
2.0555468645535977,2.042231481223116,1.8620965935147389,1.7311157559661847
2.0748884747987,2.0615017278941203,1.882624574487728,1.747936744677277
2.093610468421371,2.08017086723098,1.902648927079327,1.7642777583334424
2.111730960810535,2.0982569122948544,1.9221821976788764,1.7801533015679196
2.129267530093636,2.115777302191058,1.9412365125358189,1.7955773425019645
2.146237241945381,2.1327489285847645,1.959823601631984,1.8105633395124183
2.162656672696156,2.1491881604850898,1.9779548208198363,1.8251242662307348
2.178541930887856,2.165110867444485,1.9956411723760303,1.839272634921895
2.1939086774096808,2.1805324413053304,2.012893324104477,1.853020518376598
2.208772144333067,2.1954678166123114,2.029721627109807,1.8663795704368424
2.2231471525531417,2.2099314897974613,2.0461361323502505,1.8793610452632816
2.2370481283335657,2.223937537234325,2.0621466060685294,1.8919758154423196
2.250489118842368,2.237499632248502,2.077762544189994,1.9042343890216868
2.263483806758086,2.250631061163628,2.0929931857689708,1.9161469255549943
2.2760455240181643,2.263344738454533,2.1078475255568767,1.9277232512284361
2.2881872647749755,2.275653221072832,2.122334325759031,1.938972873136249
2.299921697618943,2.28756872200432,2.136462127041166,1.9499049927656635
2.3112611771229656,2.29910312311238,2.1502392588413266,1.9605285187468198
2.32221775475761,2.310267987316891,2.16367384903804,1.9708520789183817
2.3328031892222696,2.3210745701539115,2.176773833021349,1.980884031755327
2.343028956233664,2.3315338307576403,2.189546962209401,1.990632477201546
2.3529062578095723,2.34165644230272,2.2020008120497763,2.0001052669464143
2.3624460310825985,2.351452801941865,2.2141427895415497,2.0093100141813633
2.371658956675889,2.360933040271,2.2259801403112194,2.0182541028696326
2.3805554666702164,2.370107030351565,2.23751995527299,2.0269446965598017
2.3891457521894672,2.3789843963173496,2.248769176901547,2.0353887467713636
2.397439770629489,2.387574521591112,2.2597346051432794,2.0435930009784595
2.4054472525533126,2.395886556734378,2.2704229029899343,2.0515640102159542
2.4131777082740227,2.403929426952045,2.2808406017368994,2.0593081363302637
2.420640434144943,2.4117118392718666,2.290994105946646,2.066831558895712
2.42784451857535,2.419242289417433,2.300889698136378,2.0741402818157284
2.434798847788595,2.4265290683919645,2.310533543207537,2.0812401396268245
2.441512111338277,2.4335802687890102,2.319931692633565,2.088136803522055
