"evolving_sym_D_0.4_ooo","evolving_asym_D_0.4_oog","evolving_asym_D_0.4_ogg","evolving_sym_D_0.4_ggg"
4.0,4.0,1.0,1.0
4.0,3.988,1.0604533,1.0
4.0,3.976532761546012,1.119662470970018,1.00007094662575
4.000000260715309,3.96559292854197,1.1789033287818762,1.0014869478504185
4.000003817658003,3.955182211166216,1.2381239458275086,1.0041980668734425
4.0000169259819485,3.945303977367674,1.297249125138441,1.0081279890691939
4.000048516863548,3.9359627534920656,1.3562071356422818,1.0132009800972104
4.000109720875058,3.927163900784308,1.4149337299538685,1.0193462364691643
4.000213474134204,3.918913373716481,1.4733724101157064,1.0264984506086654
4.000374193066395,3.911217532509524,1.531473870028068,1.0345975099052156
4.000607503884154,3.904082995667647,1.5891952855761011,1.0435880070399275
4.000930015828154,3.897516523402188,1.646499630261132,1.0534187464351916
4.001359129783492,3.891524925459516,1.703355060962206,1.0640422971703671
4.001912875822628,3.8861149885014608,1.7597343788493771,1.0754146017548927
4.002609774654159,3.881293419297527,1.815614558862452,1.0874946374919299
4.003468719014141,3.877066800785909,1.8709763385687008,1.1002441237915048
4.004508871830284,3.873441558654029,1.925803857519493,1.1136272685339397
4.005749578593906,3.870423936542346,1.980084339359742,1.1276105473038651
4.007210291841848,3.868019978327475,2.03380781018864,1.1421625102517758
4.00891050601664,3.866235516218645,2.0869668477936405,1.1572536122315984
4.010869701263622,3.8650761636235895,2.1395563573260743,1.1728560626317226
4.0131072949566375,3.864547311919116,2.19157336976138,1.18894369195394
4.015642599932567,3.8646541304073736,2.24301686011378,1.2054918327132644
4.0184947885691855,3.865401568858304,2.293887582880858,1.2224772126509116
4.021682861967872,3.866794362137315,2.3441879226019293,1.2398778585914343
4.0252256236081845,3.8688370364988782,2.393921757745211,1.2576730095491813
4.029141656929366,3.87153391719488,2.443094336408629,1.275843037912002
4.033449306367968,3.874889137103448,2.491712162540165,1.2943693777119327
4.03816666144329,3.8789066461318056,2.5397828915659524,1.3132344591417637
4.0433115435355305,3.88359022118698,2.5873152344654797,1.3324216485994054
4.048901495046887,3.8889434765421385,2.6343188694594684,1.3519151936439786
4.054953770674673,3.894969874455141,2.680804360581872,1.3717001723325812
4.061485330558979,3.901672735920238,2.726783082496877,1.3917624464779206
4.068512835096224,3.90905525145459,2.772267150997727,1.4120886184269874
4.076052641234961,3.917120491838831,2.8172693586889785,1.4326659910116972
4.084120800091975,3.925871418745924,2.861803115409413,1.4534825303655603
4.092733055745666,3.935310895205256,2.905882393000766,1.4745268313372697
4.101904845080189,3.945441695859783,2.9495216740689605,1.4957880852636625
4.111651298568344,3.956266516983252,2.9927359044206563,1.5172560498916905
4.121987241893855,3.967787986232381,3.0355404488894973,1.5389210212625126
4.132927198324905,3.980008672115544,3.077951050294131,1.5607738073911868
