"evolving_sym_D_0.4_ooo","evolving_asym_D_0.4_oog","evolving_asym_D_0.4_ogg","evolving_sym_D_0.4_ggg"
400.0,400.0,130.0,130.0
400.0,398.92,133.1891185,130.0
400.05028100768766,397.91997819696695,136.33611411931335,130.00408533187462
400.3758334233771,397.222471788329,139.51939151183356,130.08565887085675
400.9690551091783,396.8169942409576,142.7421231764992,130.24255322059335
401.81796092044846,396.6889213700564,146.0055755424942,130.4711321864313
402.9108682908739,396.8241605834048,149.31067773237078,130.76781742054334
404.2371201191028,397.2098473895996,152.65831200152732,131.12932779224224
405.7871512750346,397.8343878103246,156.04938358677313,131.55270496045293
407.55240945452334,398.687358520439,159.48483548388572,132.0352910783602
409.5252477789673,399.7593817746447,162.96564759031378,132.57469684946747
411.6988205062112,401.0420059875683,166.49283166839788,133.16877020298116
414.0669899033127,402.5275995736309,170.0674257578954,133.81556826874356
416.62424534529407,404.2092587494056,173.6904891664247,134.51333304980255
419.3656336218562,406.08072799182975,177.36309831171397,135.26047050413766
422.2866989411403,408.1363314106432,181.08634339633377,136.05553257897282
425.383431146812,410.37091336549474,184.86132580528545,136.8972017437121
428.65222084516927,412.779786873323,188.68915610090383,137.7842776212546
432.08982034462935,415.3586885843313,192.57095249960116,138.71566538037177
435.6933094984038,418.1037393146079,196.5078397324132,139.69036560993985
439.4600657012951,421.0114093004796,200.50094820909945,140.7074654453222
443.3877374234018,424.0784874851168,204.55141342128877,141.7661307579737
447.4742207706856,427.30205426607847,208.6603755332952,142.86559925246098
451.717638649098,430.6794572282333,212.82897911987249,144.00517434186762
456.1163221792073,434.20828946415656,217.05837301868027,145.18421969419788
460.66879406531547,437.8863701473251,221.3497102719871,146.4021543599388
465.37375366958526,441.71172707512,225.7041481374715,147.6584484052214
470.2300635798401,445.682580941136,230.1228481522053,148.95261898670162
475.2367374911243,449.7973311314034,234.6069762372433,150.28422681388506
480.3929292471474,454.0545428682963,239.1577028328885,151.65287295255592
485.6979229094188,458.45293555026194,243.77620305680472,153.05819592956618
491.15112374002655,462.9913721559599,248.4636568788177,154.49986910474826
496.75204999928405,467.6688495986561,253.22124930758056,155.97759828033824
502.5003254723733,472.4844899313421,258.0501705853418,157.49111952219627
508.3956726500722,477.4375323155073,262.9516163879079,159.04019717041407
514.4379064980001,482.527325677142,267.92678802757433,160.62462201971198
520.6269287568138,487.7533219826934,272.9768926573479,162.2442096524301
526.9627227226719,493.11507007558,278.10314347522444,163.89879890898032
533.4453484632138,498.61221002068487,283.3067599276404,165.588250482401
540.0749384294435,504.2444679101688,288.58896791150204,167.3124456251907
546.8516934283698,510.0116510890959,293.95099997442816,169.07128495792801
553.7758789251465,515.9136437638657,299.394095513024,170.8646873703432
560.8478216468545,521.9504029603889,304.91950096915684,172.6925890065162
568.0679064630507,528.1219548024094,310.5284700243209,174.5549423267619
575.4365735208238,534.4283910834245,316.2222637922772,176.4517152395389
582.9543156144107,540.8698661083515,322.0021510102304,178.382890297401
590.6216757714598,547.4465937834727,327.8694082288662,180.34846395161432
598.4392450398354,554.1588449353068,333.8253200016222,182.34844586059575
606.4076604604597,561.0069448409356,339.8711790736052,184.38285824780053
614.5276032131073,567.9912709539932,346.0082865705964,186.45173530510766
622.799796923342,575.1122508120172,352.2379521886121,188.55512263812508
631.2250061199125,582.3703601122031,358.5614943845057,190.69307675017012
639.8040348329379,589.7661209438015,364.9802405681111,192.86566456197914
648.5377253241221,597.300100166474,371.4955272964383,195.07296296446728
657.4269569410461,604.9729079248914,378.1087004704416,197.3150584020983
666.4726450883229,612.7851962907317,384.8211155348856,199.5920464846406
675.6757403090545,620.7376580240199,391.6341376818393,201.90403162527858
685.037227470627,628.8310254464635,398.5491420583308,204.25112670322343
694.558125049413,637.0660694200814,405.56751397869886,206.63345274912575
704.2394845094364,645.4435984250052,412.6906491421765,209.05113865173416
714.0823897704951,653.9644577308633,419.91995385624455,211.50432088437418
724.0879567616317,662.6295286566356,427.2568452662916,213.99314324993847
734.2573330562059,671.4397279143087,434.70275159211815,216.51775664318598
744.5916975851505,680.3960070320561,442.2591123718208,219.0783188292444
755.0922604252926,689.4993518530341,449.9273787135948,221.67499423729862
765.7602626598922,698.7507821062162,457.70901355598863,224.307953768528
776.596976308804,708.1513510459935,465.605491937149,226.97737461742878
787.6037043258904,717.7021451575463,473.61830127358985,229.683440105725
798.7817806615277,727.4042839252496,481.7489416490221,232.42633952813233
810.1325703882371,737.258919661609,489.99892611377896,235.2062680092958
821.6574698876467,747.26723739444,498.3697809953732,238.02342637127364
833.3579070971556,757.430454810205,506.8630462207216,240.87802101098663
845.2353418148199,767.7498222516024,515.480275650574,243.77026378709596
857.2912660611174,778.2266227676768,524.2230374266845,246.7003719158126
869.5272044963788,788.8621722148735,533.0929143322636,249.66856787517756
881.9447148927891,799.6578194076076,542.0915041662503,252.6750793173867
894.545388659977,810.6149463170545,551.2204201319475,255.72013898876483
907.330851423311,821.734968316993,560.4812912405629,258.80398465702274
920.3027636541192,833.0193344756518,569.8757627302009,261.92685904545715
933.4628213511426,844.4695278926195,579.4054965008551,265.0890097737792
946.8127567726108,856.0870660799803,589.0721715659505,268.2906893052783
960.354339218422,867.8735013869365,598.8774845209905,271.5321549000514
974.0893758619728,879.8304214672665,608.8231500298652,274.81366857404527
988.0197126312672,891.9594497890573,618.910901329383,278.1354970636791
1002.1472351389996,904.2622461862262,629.1424907525893,281.4979117958315
1016.4738696613724,916.740507451428,639.5196902714431,284.9011888629907
1031.0015841654813,929.3959679700148,650.0442920594254,288.34560900338283
1045.732389385153,942.2304003947836,660.718109074659,291.83145758590575
1060.6683399451945,955.2456163613172,671.5429756641248,295.3590245997094
1075.8115355340583,968.4434672437868,682.5207481895671,298.92860464827504
1091.164122125002,981.8258449511408,693.6533056756842,302.54049694785726
1106.7282932458645,995.3946827636734,704.9425504812106,306.1950053301627
1122.5062912976475,1009.151956210014,716.3904089935027,309.8924382491496
1138.5004089221447,1023.099683984643,727.9988323472497,313.6331087918412
1154.712990418913,1037.2399289060868,739.7697971679374,317.4173346930544
1171.1464332119483,1051.5747989160031,751.705306340704,321.2454383539537
1187.8031893664688,1066.106448119418,763.8073898052374,325.117746864348
1204.6857671562802,1080.837077866426,776.0781053773708,329.0345920286537
1221.7967326822454,1095.7689378757204,788.5195395980475,332.9963103954564
1239.138711542443,1110.9043274003666,801.1338086103373,337.00324329060845
1256.7143905546566,1126.2455964362807,813.9230590651975,341.0557368538056
1274.526519531898,1141.7951469739337,826.889469056687,345.1541420785928
1292.577913111725,1157.5554342938394,840.0352490873538,349.29881485575277
1310.8714526401786,1173.5289683064464,853.3626430645356,353.49011602003844
1329.410088111231,1189.718314937095,866.8739293283226,357.7284114002131
1348.1968401626896,1206.1260975567586,880.5714217119535,362.01407187236777
1367.2348021295809,1222.754998459333,894.4574706354325,366.3474734164901
1386.5271421561004,1239.6077603862957,908.5344642331708,370.728997176262
1406.0771053672804,1256.687188099606,922.8048295164792,375.1590295220687
1425.8880161016057,1273.9961500037705,937.2710335717592,379.63796211720506
1445.9632802058766,1291.537579818053,951.9355847952564,384.1661919872688
1466.306387393694,1309.3144782998647,966.8010341652754,388.7441215927336
1486.920913669021,1327.329915020426,981.8699765527604,393.3721589046994
1507.8105238163528,1345.5870301938482,997.1450520711944,398.0507174838194
1528.978973959109,1364.0890365608434,1012.6289474667752,402.78021656240765
1550.4301141879498,1382.8392213283316,1028.3243975498713,407.56108112973294
1572.1678912607993,1401.840948166277,1044.2341866687782,412.39374202050925
1594.1963513764545,1421.097659263144,1060.3611502268357,417.2786360065945
1616.519643023747,1440.612877441437,1076.7081762439934,422.21620589191355
1639.1420199083211,1460.3902083348487,1093.2782069639502,427.20690061062305
1662.0678439591898,1480.4333426286123,1110.0742405080232,432.25117532853994
1685.301588417332,1500.7460583647264,1127.0993325769484,437.3494915478561
1708.8478410086984,1521.3322233137897,1144.3565982018451,442.50231721516644
1732.7113072041002,1542.1957974152654,1161.8492135456236,447.7101268328394
1756.8968135685657,1563.340835288064,1179.5804177561538,452.9734015737607
1781.4093112028677,1584.7714888134196,1197.5535148725646,458.29262939948546
1806.253879280037,1606.492009792115,1215.7718757860798,463.66830518183474
1831.435728679804,1628.506752678196,1234.2389402568567,469.10093082797664
1856.9602057240293,1650.8201773914045,1252.9582189883367,474.5910154090329
1882.8327960163333,1673.436852210644,1271.9332957606737,480.13907529225594
1909.059128389224,1696.3614567509014,1291.1678296248606,485.7456342768235
1935.6449789622231,1719.5987850261188,1310.665557159236,491.41122373329983
1962.5962753145795,1743.1537486006366,1330.4302947901044,497.13638274681574
1989.9191007763231,1767.0313798319132,1350.465941178279,502.92165826402237
2017.6196988415784,1791.2368352073397,1370.7764796734098,508.76760524387544
2045.7044777081908,1815.7753987780773,1391.3659808380344,514.67478681231
2074.1800149478886,1840.6524856929605,1412.2386050433615,520.6437744208683
2103.053062311378,1865.8736458356184,1433.398605138863,526.6751480093454
2132.3305506729225,1891.4445675680995,1454.8503291978373,532.7694961725207
2162.0195951191467,1917.3710815844,1476.598223341178,538.9274163310456
2192.1275001869867,1943.6591648774283,1498.6468346416725,545.1495149065613
2222.6617652558907,1970.314944823073,1521.0008141112326,551.4364075011215
2253.630090099572,1997.3447033851808,1543.6649197735626,557.7887190810001
2285.0403806028103,2024.754881445387,1566.6440198248438,564.2070841649653
2316.900754649019,2052.552083261889,1589.943095885133,570.6921470171051
2349.2195481844783,2080.743081061425,1613.567246343256,577.2445618442915
2382.0053214653926,2109.334819768834,1637.5216897980904,583.8649929983754
2415.2668654941167,2138.334421878785,1661.8117685992368,590.554115183205
2449.013208651159,2167.7491924743945,1686.4429524901925,597.3126136665655
2483.253623529787,2197.58662439764,1711.4208423572525,604.141184497142
2517.997633980324,2227.8544035766577,1736.7511740874943,611.0405347266068
2553.2550223714657,2258.5604145151783,1762.4398225393124,618.011382636941
2589.035837076221,2289.712745949578,1788.492805629116,625.0544579731004
2625.350400190336,2321.3196966791816,1814.916288537922,632.1705021811403
2662.209315491348,2353.3897815756823,1841.716588041727,639.3602686519167
2699.6234766467014,2385.931737777747,1868.9001769696797,646.6245229704886
2737.604075679644,2418.9545310770804,1896.4736887942236,653.9640431713434
2776.162611701925,2452.467362502459,1924.443922357543,661.37961999958
2815.310899922639,2486.479675108463,1952.817846738797,668.8720571781794
2855.061080942849,2521.0011609758826,1981.6026062667927,676.442171681505
2895.4256303459947,2556.041768431002,2010.805525682933,684.0907940151724
2936.41736859437,2591.6117094912383,2040.434115459428,691.8187685024382
2978.049471242357,2627.7214675448467,2070.496077277974,699.6269535772578
3020.335479477405,2664.3818052726865,2100.999309674265,707.5162220841712
3063.289311000145,2701.603772820312,2131.951913853916,715.4874615851751
3106.9252712553707,2739.3987162289286,2163.3621996855736,723.5415746737508
3151.258065026015,2777.778286134053,2195.238691877212,731.6794792962182
3196.302808402625,2816.7544467410044,2227.590136341795,739.9021090805933
3242.075041141241,2856.339485086669,2260.4255067587646,748.2104136731308
3288.5907394229853,2896.546020597287,2293.754011337986,756.6053590827421
3335.866329029076,2937.3870149523354,2327.5850997930734,765.08792803348
3383.918698945399,2978.8757822649086,2361.928470531225,773.6591203252926
3432.7652154111934,3021.025999589345,2396.794078066976,782.319953203251
3482.423736426847,3063.851717767179,2432.192140667532,791.0714617354633
3532.912626736215,3107.3673726228635,2468.1331482376117,799.914699199896
3584.250773299336,3151.5877965210734,2504.6278704520137,808.8507374803253
3636.457601271851,3196.5282302977503,2541.6873651444103,817.8806674716554
3689.553090507891,3242.2043355774504,2579.322986961152,827.0055994948398
3743.5577926036326,3288.6322074899244,2617.546396289192,836.2266637216554
3798.492848499197,3335.8283877992526,2656.36956846754,845.5450106095852
3854.380006656992,3383.80987845926,2695.8048032919687,854.9618113470704
3911.241641835068,3432.59415560933,2735.8647348230547,864.4782583094045
3969.100774474492,3482.1991840251544,2776.56234150794,874.0955655255505
4027.981090720185,3532.6434320393555,2817.9109566265724,883.8149691561655
4087.906963095106,3583.945886947344,2859.9242790735366,893.637727983135
4148.903471848084,3636.126070914189,2902.61638448694,903.5651239109196
4210.996426996004,3689.204057398696,2946.001736736212,913.5984624800316
4274.212391081451,3743.200488111311,2990.0951997810416,923.7390733929683
4338.578702667303,3798.136590522898,3034.9120499140827,933.988311052937
4404.123500590084,3854.034195941829,3080.467988400437,944.3475551157185
4470.875748994241,3910.915758177274,3126.7791545273644,954.8182110550272
4538.865263169798,3968.8043728069633,3173.862139078046,965.401710741736
4608.122736216087,4027.723797068103,3221.733998243682,976.0995130373469
4678.679766554484,4087.698470390516,3270.412267988613,986.9131044020986
4750.568886313236,4148.753535591455,3319.914978883597,997.8439995181166
4823.823590607611,4210.914860751918,3370.260671422812,1008.8937419280228
4898.478367738606,4274.209061794594,3421.468411840603,1020.0639046894354
4974.568730333504,4338.663525783958,3473.557808444434,1031.3560910458027
5052.131247451419,4404.30643496927,3526.549028480962,1042.7719351140295
5131.203577676853,4471.166791591541,3580.4628155525947,1054.313102589369
5211.824503223967,4539.274443475747,3635.320507602361,1065.9812914680676
5294.033965073948,4608.660110429772,3691.1440554853534,1077.7782327882658
5377.873099167324,4679.35541147172,3747.956042145474,1089.7056913896747
5463.384273672475,4751.392892907314,3805.779702416631,1101.7654666925655
5550.61112735084,4824.806057279183,3864.638943468,1113.9593934966215
5639.598609038365,4899.629393209778,3924.558365913359,1126.2893428002276
5730.39301826168,4975.898406159601,3985.563285604958,1138.7572226407835
5823.042047006178,5053.649650122241,4047.6797561327385,1151.3649789566502
