D=1.0 (mm/w),D=1.5 (mm/w),D=2.0 (mm/w)
0.0,0.0,0.0
0.0,0.0,0.0
0.008504328625408,0.008504328625408,0.008504328625408
0.0629360331930233,0.0628509899067692,0.06276594662051513
0.1581527055971759,0.1574460346701932,0.1567427654746607
0.2897627106969561,0.287536919268213,0.28534218877787115
0.4541903822117682,0.4492574458880468,0.44443911208787235
0.6485064574184776,0.6394408629320991,0.6306671085152822
0.8702853817720454,0.8554642239593987,0.8412467983385855
1.1174984163907673,1.0951318705883653,1.0738577145788353
1.3884337478610544,1.356588324056778,1.3265426990263895
1.6816358728009049,1.6382522037145728,1.597635564882744
1.995858822399116,1.938765276584695,1.8857055135704104
2.330029503161845,2.2569525858064865,2.189513818426671
2.68321857478156,2.5917908415576325,2.5079796480504415
3.054617044147882,2.942383079595642,2.840152809795488
3.443517263605019,3.3079381465474507,3.185191808491748
3.849297370332999,3.687753952118557,3.5423460396861755
4.27140844766313,4.081203695835736,3.9109412352373694
4.709363863105416,4.487724467237413,4.29036749302832
5.16273036416075,4.906807757633876,4.680069378379551
5.631120606155322,5.337991524433144,5.079537699902547
6.114186856051181,5.780853526104208,5.488302648754944
6.611615669029905,6.235005704310978,5.905928055570427
7.123123375163085,6.700089434584266,6.332006569328165
7.648452244872377,7.175771501624517,6.76615560105492
8.18736722642799,7.661740682465965,7.208013905357696
8.73965316809328,8.157704842114567,7.657238696431437
9.305112452909576,8.663388463244225,8.113503213894973
9.883562986431729,9.17853054510013,8.57649466870991
10.474836487648789,9.702882817667785,9.045912511381156
11.078777041368989,10.236208225992527,9.521466974268005
11.695239876907154,10.778279646715024,10.002877847643765
12.324090343288663,11.328878804760512,10.489873455508338
12.965203055613436,11.8877953629464,10.982189802376462
13.618461190890272,12.454826161259362,11.479569866563406
14.28375591470229,13.02977458586157,11.981763019050302
14.96098592261357,13.612450050644116,12.488524549974835
15.650057082367512,14.20266757645662,12.999615287272777
16.350882164732948,14.800247455087025,13.514801294081444
17.063380652384268,15.405014986710595,14.033853633279794
17.78747861750484,16.016800280925505,14.556548189039047
18.52310865991824,16.635438112686757,15.082665536539269
19.27020989851116,17.26076782547621,15.611990852108736
20.02872800954141,17.892633274932084,16.144313856994778
20.798615306146,18.53088280693041,16.679428788801918
21.579830853994995,19.175369264782383,17.217134395355803
22.37234061859228,19.82595002080092,17.757233946386044
23.17611764021504,20.482487028010738,18.299535258981237
23.991142232921632,21.144846888238117,18.843850733266287
24.817402204448936,21.812900933229617,19.38999739519449
25.65489309417333,22.486525315819264,19.937796943742526
26.503618426629693,23.165601108497643,20.487075800151363
27.363589978373977,23.85001440703902,21.037665157175486
28.23482805624271,24.53965643711753,21.589401026590817
29.117361785308297,25.23442366209449,22.14212428347184
30.011229405057005,25.934217890388386,22.695680705983722
30.9164785725276,26.638946381049884,23.24992100964806
31.83316667134577,27.34852194635725,23.804700875233344
32.76136112577347,28.062863050425563,24.359880969595274
33.70113971906506,28.78189390298665,24.91532695894888
34.65259091558416,29.50554454764673,25.47090951419588
35.61581418628771,30.23375094406726,26.02650430805734
36.590920337327496,30.96645504364071,26.58199200387519
37.57803184165514,31.70360485834941,27.137258236047032
38.57728317364427,32.445154522601115,27.692193582147926
39.58882114686482,33.1910643479315,28.24669352687132
40.61280525525855,33.94130087055098,28.800658417989716
41.64940801807288,34.695836891791984,29.35399341459467
42.69881532901237,35.45465151158348,29.906608427926034
43.76122681016373,36.21773015514239,30.45841805514268
44.83685617134183,36.98506459312729,31.009341506421638
45.92593157559071,37.75665295554832,31.55930252580059
47.02869601165568,38.53249973976971,32.10822930620023
48.14540767432071,39.31261581297744,32.656054399078776
49.27634035357928,40.09701840951476,33.20271461918152
50.4217838336775,40.88573112351381,33.748150944854075
51.58204430313587,41.67878389727122,34.29230841438936
52.75744477692054,42.47621300583143,34.83513601887615
53.94832553199737,43.27806103825269,35.37658659201111
55.15504455756204,44.08437687603798,35.91661669732747
56.37797802129798,44.89521566921693,36.455186513282214
57.617520753070906,45.71063881056583,36.99225971662973
58.87408674752484,46.53071390845003,37.5278033644947
60.14810968709991,47.35551475876885,38.06178777553942
61.44004348704751,48.18512131647567,38.59418641060269
62.75036286407362,49.019619667137135,39.12497575316764
64.07956393029694,49.85910199898471,39.654135189995856
65.42816481426509,50.7036665758996,40.18164689224419
66.79670631082995,51.55341771175896,40.70749569735976
68.18575256174255,52.40846574655713,41.231668992027316
69.59589176888895,53.2689270247004,41.754156596421815
71.02773694215226,54.13492387585878,42.27495064999835
72.48192668395126,55.00658459874207,42.79404549903062
73.95912601257524,55.88404344815172,43.31143758608887
75.46002722650591,56.76744062564387,43.82712534162883
76.98535081199248,57.65692227412314,44.3411090778435
78.53584639622433,58.55264047667094,44.8533908849118
80.11229374852837,59.45475325989684,45.36397452976007
81.71550383210395,60.363424602086646,45.87286535743552
83.34631990889906,61.278824446406354,46.38007019517497
85.00561870032628,62.20112871940756,46.885597259236654
86.69431160661559,63.130519355066696,47.389456064548796
88.41334598770543,64.06718432457798,47.891657337215086
90.163706508681,65.01131767210852,48.392212929904645
91.94641655288147,65.96311955671294,48.89113574014236
93.76253970591512,66.9227963005949,49.388439631504674
95.613181313942,67.89056044389355,49.88413935771578
97.4994901197103,68.86663080616468,50.3782504896302
99.42265997996056,69.85123255471837,50.870789345079125
101.38393166794565,70.84459727996858,51.361772921550546
103.38459476494984,71.84696307794363,51.851218831666046
105.42598964482907,72.85857464010157,52.33914524141129
107.50950955573371,73.87968335059011,52.825570811071515
109.63660280331824,74.91054739108662,53.31051463881874
111.80877503988158,75.9514318533511,53.79399620689292
114.0275916640238,77.00260885962261,54.276035330316
116.29468033554184,78.06435769098799,54.75665210807432
118.6117336104214,79.13696492385034,55.23586687670267
120.98051170091072,80.22072457462492,55.71370016620076
123.40284536578126,81.31593825278952,56.19017265821155
125.88063893599254,82.42291532241728,56.665305146389436
128.41587348107342,83.54197307232089,57.1391184988854
131.01061012161514,84.67343689493842,57.61163362287583
133.66699349333155,85.8176404740929,58.08287143106124
136.3872553681801,86.97492598175967,58.55285281006156
139.17371843804523,88.1456442839782,59.02159859063451
142.02880026646253,89.33015515604717,59.48912951964464
144.95501741379474,90.52882750714458,59.955466233710915
147.9549897411615,91.74203961451738,60.42062923446205
151.03144489825732,92.9701793673878,60.884638865329734
154.18722299996463,94.21364452072643,61.34751528981114
157.42528149636715,95.472842959045,61.80927847113368
160.74870024038418,96.74819297036365,62.269948153256216
164.16068675676755,98.0401235305105,62.72954384314284
167.66458171561317,99.3490745979134,63.188084794246734
171.26386461282746,100.67549741904412,63.645589991143524
174.9621596591369,102.01985484467808,64.10207813525531
178.7632418782155,103.38262165713212,64.55756763160838
182.67104341331685,104.7642849086432,65.01207657656937
186.6896600404029,106.1653442710499,65.46562274650675
190.82335788414525,107.5863123969375,65.91822358732614
195.0765803313016,109.02771529240384,66.36989620482997
199.4539551338165,110.49009270160052,66.82065735585392
203.9603016915273,111.97399850319842,67.27052344013438
208.60063850153452,113.48000111892048,67.71951049286301
213.3801907580936,115.008683934277,68.16763417788627
218.3043980832481,116.56064573162908,68.61490978150982
223.378922364323,118.13650113569526,69.06135220686905
228.6096556697709,119.73688107160204,69.5069759688291
234.00272820968164,121.36243323556486,69.95179518937928
239.56451630146,123.01382257826738,70.39582359348833
245.30165029470567,124.69173180098647,70.83907450538878
251.22102240213468,126.3968618644878,71.28156084526013
257.3297943754073,128.12993251068897,71.723295126282
263.63540495592594,129.89168279705905,72.16428945203008
270.14557702097176,131.68287164368778,72.60455551418887
276.8683243349232,133.50427839292163,73.04410459055687
283.8119578036901,135.3567033814211,73.48294754332083
290.9850911178649,137.24096852444674,73.92109481757748
298.39664565640646,139.15791791212985,74.35855644008171
306.05585450791966,141.10841841742612,74.79534201820205
313.9722654507641,143.093360315387,75.23146073906486
322.155742716339,145.1136579133133,75.66692136887015
