D=1.0 (mm^2/w),D=1.5 (mm^2/w),D=2.0 (mm^2/w)
6923.52635810632,3583.387241701565,2155.44993329306
7085.590295544936,3627.4444697245567,2166.1437049555734
7252.964057769421,3672.2486673047215,2176.8202127547406
7425.854551354089,3717.819607637692,2187.479707632549
7604.47608334201,3764.17759754513,2198.1224307008597
7789.050460071542,3811.343492085961,2208.7486132046893
7979.807061323327,3859.338709441627,2219.358476490392
8176.982885605294,3908.185246065085,2229.9522319783177
8380.822561966243,3957.905692081434,2240.5300811395514
8591.57832327881,4008.5232469260354,2251.092215476363
8809.509935462807,4060.0617352037807,2261.6388165060166
9034.88457663337,4112.545622750769,2272.1700557476156
9267.97665965989,4166.000032876995,2282.6860947116706
9509.067591117137,4220.4507627657895,2293.187084892114
9758.44545910709,4275.9243000026345,2303.673167760482
10016.404641937796,4332.4478392025485,2314.144474762025
10283.24532917536,4390.049298701575,2324.601127313508
10559.272946150382,4448.7573372738925,2335.043236802491
10844.797472615968,4508.601370831737,2345.4709045878817
11140.132645939264,4569.611589060642,2355.8842220015867
11445.595038982416,4631.818971937462,2366.283270351081
11761.503002715195,4695.255306073193,2376.6681209227436
12088.17546362553,4759.95320081673,2387.038834985817
12425.93056618386,4825.946104049425,2397.3954637968527
12775.084151002287,4893.268317593542,2407.7380486045254
13135.948059941376,4961.955012150424,2418.0666206547107
13508.82826028879,5032.042241676505,2428.3812011957193
13894.0227812972,5103.566957096929,2438.6818014836053
14291.819457855732,5176.567019247782,2448.9684227874636
14702.493477909751,5251.081210928472,2459.2410563946505
15126.304732463264,5327.14924793583,2469.4996836158607
15563.494969618054,5404.811788940871,2479.7442757900085
16014.284757136682,5484.110444057921,2489.974794288864
16478.870261466593,5565.087781943946,2500.1911905214074
16957.419855022425,5647.787335253384,2510.393405937863
17450.07056777111,5732.2536042606125,2520.581372033391
17956.92440376236,5818.532058448341,2530.755010351412
18478.044548140148,5906.669135845761,2540.914232486552
