fixed_sym_D_1.0_ooo,fixed_asym_D_1.0_oob,fixed_asym_D_1.0_obb,fixed_sym_D_1.0_bbb
0.0,0.0,0.0,0.0
0.01639792,0.01639792,0.0,0.0
0.1062856850832263,0.1061217327724043,0.0741754754671749,0.07374665182146292
0.1942396818360826,0.1937566084872383,0.147088176647142,0.14582447602479393
0.2786435135189776,0.277694555386788,0.2170949873882153,0.21461215639118864
0.3594227948520619,0.3578692194439122,0.2840958135349257,0.2800304388699064
0.4367617929060464,0.4344725460011021,0.3482503688839534,0.34225896987403903
0.5108873786285135,0.5077387498495163,0.4097620674494683,0.40152023538592496
0.5820185207847424,0.5778938257328722,0.4688274426873191,0.4580290220239337
0.650354346610792,0.6451436240148817,0.5256241398418289,0.5119804473580926
0.7160728732775078,0.7096725959283646,0.5803095874841504,0.563548666354807
0.7793327641702514,0.7716455626325885,0.6330227011630745,0.612888607431387
0.8402757601298215,0.8312101583824267,0.6838862679696556,0.6601383873183868
0.8990290418425174,0.8884992041141293,0.7330092670798956,0.7054216600852826
0.955707310277018,0.943632798434654,0.7804889123023031,0.7488496865775859
1.010414553009582,0.9967200939262842,0.8264123838055991,0.7905230916138581
1.0632455233135578,1.0478607856991435,0.8708582753895756,0.8305333354447068
1.1142869740762409,1.0971463543012792,0.913897798962013,0.8689639412508111
1.1636186882917492,1.1446611047740844,0.955595787653527,0.9058915202073144
1.2113143426777468,1.19048303843418,0.9960115338635862,0.9413866304889538
1.2574422348401648,1.2346845878346424,1.0351994924543328,0.975514500502487
1.3020658987566816,1.2773332397014137,1.0732098736915727,1.008335641006778
1.3452446285609747,1.31849206584902,1.1100891457716695,1.0399063660130508
1.3870339267043832,1.3582201781719176,1.145880462889883,1.0702792384687
1.427485889442111,1.3965731206762295,1.1806240316938972,1.0995034536113328
1.4666495401020505,1.433603209025886,1.214357426491535,1.1276251704008278
1.5045711186187165,1.469359826100125,1.2471158616177795,1.1546877994698028
1.5412943342451058,1.503889680488389,1.2789324278061571,1.1807322544698218
1.5768605871045704,1.5372370335968406,1.3098382981668677,1.2057971724453802
1.6113091632443184,1.5694439000393043,1.3398629083802842,1.2299191078716958
1.644677407048224,1.600550225180677,1.3690341149162344,1.2531327041921128
1.6770008742175166,1.6305940430510055,1.397378334445199,1.2754708460449102
1.7083134680011796,1.6596116173210411,1.424920667085012,1.2969647948451681
1.7386475609283103,1.687637567599911,1.451685005700642,1.3176443099599675
1.7680341039426268,1.714704982962964,1.477694133125716,1.3375377573649903
1.7965027245493284,1.7408455243273957,1.5029698088871746,1.3566722073822048
1.824081815344587,1.7660895170528823,1.5275328467769151,1.3750735228597442
1.850798614098468,1.790466034944609,1.5514031844169247,1.3927664389567747
