fixed_sym_D_0.4_ooo,fixed_asym_D_0.4_oor,fixed_asym_D_0.4_orr,fixed_sym_D_0.4_rrr
400.0,400.0,100.0,100.0
400.0,398.8,103.543465,100.0
400.05028100768766,397.6691040246647,107.19359825596906,100.157128149024
400.3754311753156,396.8322634672692,111.0148728471245,100.52340616472513
400.96565195494986,396.2800215048188,115.01341819575666,101.09354916346311
401.8068518660797,395.9986788757117,119.19446234859716,101.86245985572829
402.8853606024302,395.9750063168394,123.56354225070832,102.8262994099093
404.18864344666446,396.1969561866844,128.1267167742019,103.98258040210389
405.7053544364663,396.6537139791751,132.89061227163992,105.33011457943196
407.4252441796458,397.3356054648729,137.8624300101621,106.86894143332728
409.3390407498644,398.2339775734384,143.04994581765916,108.60026473655775
411.4383351374541,399.3410842501743,148.46151037842918,110.52640301756941
413.7154791827549,400.6499850513933,154.10605256932345,112.65075451323948
416.16349688653446,402.1544572672676,159.9930863561978,114.97777574109813
418.7760079161715,403.8489203228457,166.13272117706953,117.51297259830253
421.54716165338255,405.7283707599033,172.53567557172252,120.26290300795509
424.4715801779878,407.7883261673127,179.21329379803464,123.23519033776044
427.5443087820766,410.0247766381684,186.1775652043806,126.43854702937018
430.7607728311049,412.434142561099,193.44114616906825,129.882808074603
434.1167399906312,415.0132377599594,201.0173844589039,133.5789741523022
437.6082870088338,417.7592371705159,208.92034589542743,137.5392643987133
441.23177038610766,420.6696483858021,217.1648432482247,141.7771789285961
444.98380037788655,423.7422865178519,225.76646730034943,146.30757135770094
448.8612178699331,426.9752519173188,234.74162005196231,151.1467317032686
452.86107374086765,430.36691036840057,244.10755004556708,156.31248016095643
456.9806103881738,433.9158754381196,253.88238981034695,161.82427237672388
461.2172451441565,437.62099270928,264.08519543463365,167.70331695307107
465.5685553495943,441.4813256676285,274.7359882849177,173.97270605268793
470.0322648869083,445.49614304771467,285.8557988973832,180.65756009092956
474.606232002953,449.6649074700899,297.4667130739884,187.7851876433334
479.2884382751443,453.9872652259424,309.5919202198261,195.3852618373054
484.0769785944382,458.4630370849037,322.25576396203394,203.49001464974148
488.9700520553588,463.0922100183006,335.4837950929942,212.13445069631163
493.9659536574069,467.8749297441134,349.30282688204795,221.35658227502032
499.0630667341962,472.8114940117873,363.7409928004872,231.1976876180799
504.25985603692993,477.9023465551924,378.8278067042144,241.7025945137408
509.55486140763327,483.1480716507223,394.5942255171668,252.91999168518814
514.9466919851328,488.54938922500895,411.0727144563895,264.9027705586475
520.4340208933214,494.1071504631977,428.2973148364669,277.7084003191736
526.015580366919,499.8223338743312,446.30371448685776,291.39933944196235
531.6901572748748,505.69604177527305,465.1293208104569,306.04348720115246
537.4565890058592,511.7294971588582,484.8133365053791,321.7146789986371
543.3137596840598,517.9240409156864,505.3968379644345,338.4932297239594
549.260596686795,524.2811293822535,526.9228563579741,356.46652975432323
555.2960674383656,530.802332190998,549.4364613956187,375.7296986322713
561.419176457125,537.4893304003914,572.9848477507575,396.38630191846397
567.6289626350078,544.3439148854602,597.6174241184947,418.5491372085365
573.924496730766,551.3679849711284,623.3859048628213,442.3410958258572
580.304879059934,558.5635472925596,650.3444041920715,467.8961072548925
586.7692373661325,565.9327148682688,678.5495327830546,495.36017396039
593.3167248597256,573.4777063731984,708.0604967535114,524.8925048418054
599.9465184111064,581.2008456002336,738.9391988595717,556.6667561944871
606.6578168870133,589.1045610997776,771.2503417695635,590.8723896808516
613.4498396192855,597.1913859880445,805.0615332376932,627.7161574448497
620.3218249963737,605.4639579156598,840.443392970632,667.4237251163811
627.2730291687351,613.9250191890017,877.469660946784,710.2414440292232
634.3027248599748,622.5774170374859,916.2173069118188,756.4382844910333
641.4102002762571,631.4241040206869,956.76664073482,806.3079423645659
648.5947581071073,640.4681385698251,999.201423266996,860.1711315044369
655.855714611263,649.7126856587273,1043.6089772992457,918.3780746923178
663.1923987817268,659.1610175998911,1090.0802981658446,981.311205561864
670.6041515846108,668.8165149617734,1138.7101634891255,1049.3880935249067
678.0903252667717,678.682667603862,1189.5972415041642,1123.0646028072651
685.6502827275984,688.7630758265024,1242.8441973432396,1202.8382952607456
693.283396950649,699.061451632822,1298.5577965972018,1289.252084499196
700.98905049114,709.5816201004498,1356.849005405002,1382.8981459462561
708.7666350155672,720.3275208610435,1417.8330862536598,1484.4220833865688
716.6155508899928,731.3032096859426,1481.6296885991023,1594.5273473540378
724.535206813768,742.5128601765385,1548.3629333439314,1713.97989390871
732.5250194956708,753.9607655582136,1618.1614901316384,1843.6130637501742
740.5844133696402,765.6513405769455,1691.1586463386216,1984.332650856246
748.7128203474635,777.5891234978973,1767.4923665661636,2137.1221165543734
756.9096796059448,789.7787782055279,1847.3053413550415,2303.047888736581
765.1744374062309,802.225096404959,1930.7450237665453,2483.2646664094077
773.5065469431202,814.932999924521,2017.963652396376,2679.020626525499
781.9054682223023,827.9075431195829,2109.118259313391,2891.6624027037365
790.3706679636076,841.1539153779376,2204.370661344741,3122.6396737140617
798.9016195284506,854.6774437271758,2303.887433064187,3373.50916331462
807.4978028697604,868.4835955446368,2407.8398597829096,3645.9378122176486
816.1587045027894,882.5779813706663,2516.4038687938737,3941.704837958185
824.8838174952798,896.9663578260563,2629.7599370837493,4262.702349989966
833.672641475556,911.654630634672,2748.092973702812,4610.934136731652
842.5246826571878,926.6488577524008,2871.592174975478,4988.512190540733
851.4394538789453,941.9552526036812,3000.4508507447017,5397.650488593378
860.4164746588368,957.5801874269912,3134.866219875017,5840.655506344122
869.4552712610857,973.530196730784,3275.0391732942344,6319.912910785695
878.555376774965,989.8119808614762,3421.174002935468,6837.869869586879
887.7163312044665,1006.4324096852004,3573.478095051992,7397.012427117296
896.9376815678371,1023.3985263851316,3732.1615865200415,7999.837448276935
906.2189820060656,1040.7175513763025,3897.4369829215934,8648.81872559643
915.5597938994548,1058.3968863399227,4069.518737412553,9346.366993997228
924.9596859914584,1076.4441183793022,4248.62278963366,10094.78380966024
934.4182345190092,1094.867024299579,4434.9660642130175,10896.20953098229
943.9350233486052,1113.6735750135372,4628.765928741525,11752.565992661148
953.5096441174592,1132.871940075884,4830.239611475672,12665.49488417604
963.1416963790635,1152.4704923484437,5039.603579435406,13636.293318281685
972.8307877525466,1172.4778127987986,5257.072878016652,14665.8485799024
982.5765340752428,1192.902695434994,5482.860433725585,15754.57454536605
992.3785595579262,1213.7541523789853,5717.176322161149,16902.35270878385
1002.236496942191,1235.0414190815902,5960.227003918298,18108.481089299064
1012.1499876594931,1256.7739596817676,6212.214531650332,19371.634457359673
1022.1186819913968,1278.9614725131094,6473.335732106584,20689.83924947914
1032.1422392305967,1301.6138957604967,6743.781367541958,22060.46618987824
1042.2203278423176,1324.741413269924,7023.735281466723,23480.24297683305
1052.3526256257112,1348.3544605145485,7313.373534256239,24945.288426786356
1062.5388198749067,1372.463730720068,7612.863534657733,26451.16824548984
1072.778607539383,1397.0801811525794,7922.363173700601,27992.971199914977
1083.0716953833644,1422.215039572095,8242.019967923137,29565.40302183713
1093.417800143956,1447.8798108549418,8571.9702191571,31162.894032622266
1103.8166486877626,1474.0862837882762,8912.338198347003,32779.71539228225
1114.2679781657482,1500.8465380399837,9263.235361009418,34410.098179002416
1124.7715361661226,1528.1729513072264,9624.759601945596,36048.34929119697
1135.327080865051,1556.0782066469187,9996.994556697213,37688.958467030534
1145.9343811750075,1584.5752999913982,10380.008956970878,39326.6915042623
1156.593216890609,1613.677547852546,10773.856046846337,40956.66594216741
1167.303378831777,1643.398595217586,11178.57306602313,42574.40689638511
1178.064668984108,1673.7524236397571,11594.180805652592,44175.88225243738
1188.8769006363243,1704.753359527002,12020.68324145168,45757.51786220472
1199.7398985147156,1736.416082631759,12458.067247812627,47316.19461321879
1210.6534989144775,1768.755634744865,12906.302395522758,48849.230158573526
1221.6175498278826,1801.787428596488,13365.340834511017,50354.34866019794
1232.6319110692186,1835.5272569669064,13835.117261766283,51829.64211239424
1243.6964543964525,1869.9913020098224,14315.548973254288,53273.52671690675
1254.8110636295823,1905.196144790748,14806.535997326386,54684.697442165714
1265.9756347656582,1941.158775042864,15307.961305797562,56062.08339648142
1277.1900760904582,1977.896601142532,15819.691097607432,57404.80605617115
1288.454308286819,2015.427460306456,16341.575148801783,58712.141783627914
1299.7682645396308,2053.76962901225,16873.447221517086,59983.48950090469
1311.131890637514,2092.941833643891,17415.125523748196,61218.343888208394
1322.545145071208,2132.9632613632766,17966.413210958603,62416.2740742205
1334.007999128703,2173.853571208743,18527.098920076336,63576.90748304295
1345.520436987165,2215.6329054210805,19096.95732612579,64699.918297005825
1357.0824558017046,2258.321900997168,19675.74971168721,65785.01987476635
1368.6940657910422,2301.941701470916,20263.224539556773,66831.96041539496
1380.3552903201498,2346.5139689207563,20859.11801939796,67840.52116542755
1392.0661659799268,2392.0608962023684,21463.154659819604,68810.51651156868
1403.826742663999,2438.6052194047948,22075.047798170457,69741.7953729005
1415.6370836427209,2486.1702305274675,22694.500101380425,70634.24339140911
1427.497265634471,2534.7797903750084,23321.204032376198,71487.78550920573
1439.4073788743372,2584.458341665936,23954.842277918706,72302.38860824323
1451.3675271802886,2635.230922350628,24595.088135115275,73078.06396903707
1463.3778280169386,2687.123179133041,25241.60585530955,73814.86937614341
1475.4384125570073,2740.161381189768,25894.050945508025,74512.9107586272
1487.5494257405926,2794.372434079018,26552.070428921998,75172.34330324564
1499.7110263323666,2849.783893831066,27215.303067551093,75793.3720171046
1511.9233869768125,2906.4239812105125,27883.379550973463,76376.25174611784
1524.1866942516226,2964.32159613953,28555.92265660783,76921.2866769631
1536.5011487193835,3023.506332269895,29232.54738764808,77428.82936472617
1548.8669649776652,3084.008491690213,29912.86109562179,77899.27933736685
1561.284371707651,3145.859099753207,30596.46359507557,78333.0813327376
1573.7536117214274,3209.089920006335,31282.94727823523,78730.72322520212
1586.274942008072,3273.733469207238,31971.897237624904,79092.73369783572
1598.8486337786633,3339.823032403689,32662.89140456111,79419.6797134813
1611.4749725103495,3407.392678055722,33355.50071117457,79712.16383416748
1624.1542579896104,3476.4772731755347,34049.28928316879,79970.82143401833
1636.8868043548375,3547.112498458487,34743.81466991833,80196.31784613099
1649.6729401383805,3619.3348633761857,35438.62811776313,80389.34547920965
1662.513008308182,3693.1817212000806,36133.27489149243,80550.62093518375
1675.4073663091424,3768.691283921357,36827.29464805772,80680.88215471471
1688.3563861043472,3845.9026370300494,37520.22186553651,80780.8856134704
1701.3604542162927,3924.855754113356,38211.58632931209,80851.40358835325
1714.419971768243,4005.5915112298894,38900.913676366064,80893.22150951663
1727.535354525853,4088.151701013397,39587.72599752245,80907.13541098962
1740.7070329391925,4172.579046455822,40271.54249645853,80893.94949004025
1753.9354521853006,4258.9172143160295,40951.88020332595,80854.47378302121
1767.2210722114069,4347.210828096531,41628.25473992415,80789.52196333886
1780.5643677789478,4437.505480526557,42300.18113255,80699.90926534284
1793.9658285085106,4529.847745485518,42967.17466792367,80586.450536327
1807.425958925833,4624.285189296469,43628.75178696871,80449.95841744162
1820.9452785089884,4720.866381314543,44284.43101070975,80291.24165312013
1834.5243217368843,4819.640903730471,44933.73389214468,80111.10352760361
1848.1636381391988,4920.659360504275,45576.18598765097,79910.34042628374
1861.8637923478825,5023.973385338999,46211.3178412939,79689.74051886486
1875.6253641503483,5129.635648598915,46838.66597531406,79450.08256075281
1889.448948544473,5237.699863071073,47457.77388007625,79192.13480859903
1903.335155795532,5348.220788463243,48068.1929968542,78916.65404554992
1917.284611495185,5461.254234525416,48669.48368699765,78624.38471146338
1931.29795662264,5576.857062675901,49261.21618127079,78316.05813314531
1945.3758476080968,5695.087186006824,49842.97150345488,77992.39184951916
1959.518956398608,5816.003567537498,50414.34236266423,77654.08902656341
1973.727970526454,5939.6662165776615,50974.93400922366,77301.83795682606
1988.0035931801544,6066.136183056015,51524.36504938902,76936.31163834542
2002.346543278227,6195.475549662934,52062.2682146516,76558.16742786492
2016.7575555458072,6327.747421649566,52588.29108184472,76168.04676332205
2031.237380594232,6463.015914118908,53102.09674075937,75766.57495071026
2045.7867850037017,6601.346136637911,53603.36440646834,75354.36101055457
2060.4065514091294,6742.804174993122,54091.7899740503,74931.99757940158
2075.0974785892736,6887.457069906062,54567.08651389034,74500.06086189843
2089.8603815592724,7035.372792518327,55028.984706207695,74059.11062922013
2104.6960916666726,7186.62021645048,55477.23321392111,73609.69025979696
2119.6054566910607,7341.269086233185,55911.5989934036,73152.32681849114
2134.589340947399,7499.389981903725,56331.8675430993,72687.53117057172
2149.6486253931607,7661.054279556281,56737.84309037231,72215.79812703723
2164.7842077393734,7826.334107629986,57129.34871733076,71737.60661803497
2179.9970025656594,7995.30229871512,57506.22642671523,71253.41989132272
2195.2879414393774,8168.032336654758,57868.33714926028,70763.68573291114
2210.6579730389603,8344.598298716992,58215.560694228494,70268.83670721384
2226.108063281543,8525.074792611491,58547.795645079306,69769.29041421389
2241.63919545498,8709.536888123841,58864.95920246872,69265.44976133194
2257.252370354342,8898.060043141833,59166.98697698127,68757.70324785043
2272.9486064229905,9090.720023849884,59453.83273417276,68246.4252599103
2288.728939898319,9287.592818871048,59725.4680946516,67731.97637425155
2304.5944249622567,9488.75454714085,59981.88219204864,67214.7036690159
2320.546133896627,9694.281359303546,60223.08129182149,66694.94104006953
2336.5851572434485,9904.249332429396,60449.08837391,66173.0095214358
2352.7126039702766,10118.734357861496,60659.94268230606,65649.21760855196
2368.9296016406706,10337.812022012433,60855.69924462461,65123.861583181366
2385.2372965898808,10561.55747994508,61036.42836476511,64597.225838921906
2401.636854105845,10790.045321587724,61202.21509173442,64069.5832063546
2418.129458615585,11023.349430452352,61353.15866766571,63541.19527697187
2434.7163138770948,11261.542834745502,61489.37195801434,63012.312725114665
2451.3986431768044,11504.697550784527,61610.98086684238,62483.17562723049
2468.1776895327234,11752.884418657932,61718.1237400203,61954.013777841814
2485.0547159033385,12006.172930096973,61810.950759079176,61425.047001685416
2502.031005402367,12264.631048556965,61889.62332834019,60896.48546154948
2519.1078615194524,12528.32502154071,61954.31345783312,60368.52996139592
2536.286608346893,12797.319185233122,62005.2031443923,59841.372244411534
2553.5685908125,13071.675761555654,62042.483753189066,59315.19528568284
2570.955174918664,13351.454647791226,62066.35540182598,58790.1735792368
2588.4477479877382,13636.713198975149,62077.02634897986,58266.473419232425
2606.0477189138205,13927.506003294862,62074.71238944128,57744.25317512789
2623.756518421028,14223.88465079103,62059.63625725696,57223.66356068326
2641.575599328361,14525.89749570446,62032.02703854055,56704.84789669167
2659.50643682125,14833.58941286737,61992.11959537726,56187.94236736106
2677.550528729873,15147.00154859326,61940.15400211001,55673.07627029521
2695.709395814353,15466.17106657702,61876.37499515884,55160.37226004686
2713.984582056917,15791.130889375385,61801.03143739413,54649.94658523698
2732.3776549611225,16121.909436097283,61714.37579795554,54141.9093192538
2750.8902058582444,16458.530356993382,61616.66364828576,53636.364584562056
2769.523850220922,16801.01226569411,61508.1531750297,53133.410770668444
2788.2802279841694,17149.36846990479,61389.10471033685,52633.1407458025
2807.1610038738386,17503.60670142513,61259.78027999731,52135.64206238414
2826.1678677426507,17863.728846417296,61120.44316974092,51640.9971563594
2845.3025349138843,18229.73067690203,60971.35750993343,51149.283540494915
2864.566746532831,18601.601584514687,60812.787878814765,50660.57399172942
2883.962269926121,18979.324317602623,60644.99892434162,50174.93673268722
2903.49089896902,19362.874722790933,60468.25500461972,49692.43560746415
2923.154454460809,19752.221492185134,60282.81984684081,49213.13025180111
2942.9547845083493,20147.3259174158,60088.95622457458,48737.07625776426
2962.89376491794,20548.141651761325,59886.92565320732,48264.32533305371
2982.973299595579,20954.61448161021,59676.988103265954,47794.9254550651
3003.1953209557446,21366.68210854268,59459.40173131866,47328.92101983001
3023.561790338787,21784.273943323507,59234.42262810127,46866.35298596241
3044.0746984370667,22207.310913101723,59002.30458348133,46407.25901373883
3064.7360657299387,22635.70528310985,58763.298867839694,45951.67359944024
