euler,RK_rtol_0.001_atol_1e-06,RK_rtol_0.0001_atol_1e-07,RK_rtol_1e-05_atol_1e-08,RK_rtol_1e-06_atol_1e-09
64.09055418411218,64.0971857753831,64.0898592164335,64.09050296339531,64.09056423335345
69.00249918665418,68.98748576636352,69.00145093158781,69.00252624222813,69.00250861516666
73.69071221716038,73.68259335143708,73.69234389412202,73.69053454077206,73.69074107206934
78.20728565870567,78.20116119628628,78.20952608131469,78.20723785883408,78.20728704063177
82.58748266095935,82.59300500614687,82.58796820254761,82.58734946637776,82.58747262360241
86.85642870983024,86.86981888931732,86.85674443530519,86.85639510497333,86.85642762759117
91.03273599702234,91.04069796502196,91.03389731391226,91.0330969791286,91.03272759222426
95.13061986290003,95.13566722414498,95.13360397546958,95.13078304009872,95.13061127388606
99.1612088057466,99.16542623709915,99.16248686786508,99.1614026600896,99.16120413473291
103.13339395464595,103.1454144788402,103.13380623387228,103.13359099762356,103.13339124957645
107.054401289112,107.05924128821844,107.05492147824198,107.05410471125232,107.05439980248113
110.93018953881436,110.93400740330854,110.93100157567794,110.93028688502552,110.93018775832218
114.7657344188798,114.77791629214808,114.76688098069384,114.76615060349872,114.76572836888417
118.56523641924332,118.57136410831536,118.56714288410431,118.5653967185484,118.56520525643406
122.332275788599,122.3398014431097,122.3352991666157,122.33231949500484,122.33228942960487
126.06993018455404,126.08375310033472,126.07137963094914,126.06997522056776,126.0699479789826
129.78086538326932,129.78928753220077,129.78291831017373,129.78096440402746,129.78087618437772
133.46740619298933,133.4759369061797,133.4703757752118,133.46755429065033,133.4674450533079
137.13159258402302,137.13660600962103,137.13298433362823,137.13167853002878,137.13157803225567
140.7752246169526,140.78218907591216,140.77563189137547,140.77530978337828,140.77520989836498
144.39989877093805,144.410388349795,144.40079195217604,144.39999229243844,144.3998807099852
148.00703759053735,148.0260371670291,148.0086818741954,148.00713453437405,148.00704438543613
151.5979140848183,151.6410670223413,151.5996778771039,151.59815810213232,151.59790517623625
155.173671963679,155.2058225714135,155.1771044197272,155.17371749534954,155.17364716680498
158.73534254167637,158.7421591711508,158.73624821720048,158.73549160196208,158.73535060531222
162.28385895146417,162.29247585884065,162.28511374705832,162.2839697303841,162.28384678107238
165.82006816822968,165.8286257057297,165.8137948300406,165.8201609373734,165.8200374890883
169.3447412401335,169.35791575695558,169.34588860682013,169.3448063976021,169.34476102867157
172.858582038549,172.8665721196589,172.8590507086526,172.85887656808535,172.85859320270757
176.36223477932256,176.37133670777857,176.36368091167395,176.36228456322445,176.3622305478332
179.85629051761984,179.86352353624162,179.8572281371798,179.85646477668175,179.85626393796343
183.34129278081477,183.3480647219882,183.3424142209249,183.34146420880893,183.34128547135134
186.81774247377493,186.83715251472407,186.8216543515504,186.81807468083608,186.81771847927098
190.28610216696552,190.3062052293781,190.2865704595212,190.2862755003992,190.28609312913562
193.74679985863145,193.75849477288185,193.7472932004735,193.74701880008945,193.74679229134824
197.200232286881,197.215812121228,197.2020787682985,197.20078997689328,197.20022332652565
200.646767854988,200.66056199716903,200.6446293133237,200.64682499210875,200.6467568406109
204.086749223028,204.1068349538412,204.08549024473547,204.0872241396941,204.08673512535123
207.52049561061483,207.5265719267886,207.52206933124384,207.52074826618264,207.52047201206344
210.94830484862229,210.971308899982,210.95014449695304,210.94847582557625,210.94825652531588
214.37045521208225,214.4549173968712,214.372610502026,214.37053152306072,214.37044067481148
217.78720706172132,217.80010235585283,217.78874229220847,217.7872921356301,217.78719349726828
221.19880431764497,221.20599338729883,221.2027171064701,221.1995652918024,221.1987987991587
224.60547578536705,224.63802223249093,224.60354012583244,224.6061573325015,224.60544874725937
228.0074363515957,228.03650883958247,228.00585045548723,228.0076117920113,228.00742516562002
231.40488806483177,231.4545918268965,231.4042196105229,231.40497486761623,231.40488094200725
