euler,RK_rtol_0.001_atol_1e-06,RK_rtol_0.0001_atol_1e-07,RK_rtol_1e-05_atol_1e-08
840.9449171081369,841.0474900575089,840.927275772633,840.9446075292827
909.2563743158788,909.1942085059702,909.2548255402984,909.2566753121387
974.4528004466672,974.3238048842586,974.4580702622158,974.452249250824
1037.2599208436095,1037.163159366647,1037.261828882315,1037.2595915981424
1098.1688755735286,1098.2018408812105,1098.1781791485375,1098.1685429972254
1157.5295398521096,1157.5718838868593,1157.535766888731,1157.5291622241775
1215.601050653624,1215.6276674275157,1215.603079702899,1215.6024587107368
1272.5813032265305,1272.598409489074,1272.5847265053912,1272.58199289615
1328.625204352106,1328.6847197748373,1328.6302236947056,1328.6262660027999
1383.8565064524869,1383.8759855925894,1383.866873348299,1383.8571943632312
1438.375778027602,1438.397621776119,1438.3771550990757,1438.3750961999374
1492.2659452733294,1492.293329940276,1492.269818441176,1492.266209573516
1545.596250234252,1545.632201606406,1545.5998933861113,1545.5966095931558
1598.425144118982,1598.4575460463004,1598.4269036594765,1598.4253690182286
1650.8024451554536,1650.9557759139054,1650.8044777292444,1650.8029659635542
1702.770976521405,1702.8012042371856,1702.772426248408,1702.7714382368806
1754.3678291233211,1754.4181097696892,1754.370241109502,1754.3682696177768
1805.6253487321824,1805.6416396923823,1805.6315694126044,1805.6259115145547
1856.571917285852,1856.65137218674,1856.5737830344988,1856.573683958265
1907.2325782373607,1907.2978377098864,1907.2338794034133,1907.2327739520138
1957.6295421799196,1957.7586576906924,1957.6445304534204,1957.6297176883884
2007.782599460643,2007.8372521549293,2007.7847483945995,2007.782881244246
2057.7094597458,2057.790099556849,2057.718409075247,2057.7113059118797
2107.42603364219,2107.5629535706034,2107.4293986138737,2107.4266945310414
2156.946667933883,2156.9891132214325,2156.949079697244,2156.947220491192
2206.284343373121,2206.322036391567,2206.2864981891894,2206.285609941699
2255.4508420049,2255.4803847940475,2255.444153781581,2255.451065510705
2304.4568895237144,2304.531458706623,2304.471920529977,2304.4570148663693
2353.3122770303694,2353.341202736121,2353.3183307906093,2353.312821971536
2402.025965685505,2402.047738398832,2402.02861089393,2402.0261708105595
2450.6061770793226,2450.63332909249,2450.61020229573,2450.6069935893684
2499.06047160641,2499.119041761596,2499.0636087805574,2499.0621892392437
2547.395816715529,2547.476513219753,2547.4018315279845,2547.396003346366
2595.618646571177,2595.6545921368306,2595.6383214964094,2595.6188218346924
2643.734914396965,2643.811828566468,2643.7410096926856,2643.735644536531
2691.7501385560263,2691.8161849332446,2691.755780063673,2691.750891965816
2739.6694432495688,2739.6828401869107,2739.655044846293,2739.669610425607
2787.497594572763,2787.542748643486,2787.49527023208,2787.4980423623765
2835.239032550888,2835.339731428918,2835.241987669489,2835.2393190665393
2882.8978996829323,2883.027197165315,2882.906526761995,2882.8982306801386
2930.478066440599,2930.559237903743,2930.483387304117,2930.478247167809
2977.9831541048507,2978.020422980171,2977.98886351366,2977.983419384719
3025.416555267097,3025.429909220257,3025.4180957234216,3025.416698585546
3072.78145227609,3072.8353699288064,3072.77534850612,3072.7818413317887
3120.080833872771,3120.1150304581806,3120.078095751741,3120.0819545411186
3167.317510222566,3167.428843006324,3167.310234881228,3167.3183105734433
3214.4941265268203,3214.523791605519,3214.4916311521206,3214.494466761153
3261.613175371433,3261.667660427474,3261.608145765556,3261.6136408949756
3308.677007950597,3308.697036009837,3308.67419470824,3308.6772297492803
3355.687844286218,3355.759347309892,3355.682352084943,3355.689122004927
3402.6477825488005,3402.699701700817,3402.642810347176,3402.6479951375904
,3449.5764547656568,3449.553078091285,3449.5590993369306
,3496.436910538286,3496.4208901229176,3496.4229693127836
,3543.27945392236,3543.239335849385,3543.2416754704514
,3590.0443402743404,3590.0139373219536,3590.017288799218
3636.749923812391,3636.779691050605,3636.748033964172,3636.7510585121313
3683.4426990806473,3683.458898682455,3683.437970177668,3683.4433364165593
3730.096484196817,3730.129575722357,3730.089135479127,3730.097801938654
3776.712656442661,3776.732789363375,3776.710810136304,3776.7131665280094
3823.292526990705,3823.3397288000606,3823.283591727596,3823.292729534357
3869.837344931949,3869.896452030177,3869.827892072122,3869.8375308009213
,3916.41837171955,3916.344909739719,3916.3481835159814
,3962.8448357343095,3962.823860475676,3962.8261011345467
4009.273119247333,4009.299554665489,4009.266865716365,4009.2724719351972
4055.689101033414,4055.899634915754,4055.68484133392,4055.6883720580267
4102.075465942674,4102.103477402253,4102.08297772616,4102.075339211872
4148.433160153436,4148.455025009385,4148.436680938565,4148.43258593711
4194.763088900634,4194.803855985669,4194.764305587904,4194.762777849925
4241.066118719452,4241.167655094876,4241.073998524093,4241.0658646857955
4287.343079539942,4287.386531267053,4287.347338234678,4287.3423529887095
4333.594766644179,4333.7463883131095,4333.598291309824,4333.595149098901
4379.82194249668,4379.849871153141,4379.826793180072,4379.82109900012
,4426.107110713381,4426.028826772193,4426.025154140196
4472.205656387653,4472.259689360352,4472.20761109293,4472.204922107017
4518.363570152602,4518.379595766336,4518.379563931354,4518.361821838271
4564.49972703499,4564.567775885099,4564.501939403228,4564.499551672956
4610.614749059552,4610.637438648285,4610.621957368444,4610.613989366144
4656.709234238675,4656.805931153098,4656.7123225311525,4656.708922847338
,4702.872415315644,4702.788341216735,4702.783359187009
,4748.874928704191,4748.844715893248,4748.837747360089
4794.875112756001,4794.9811630589365,4794.876752605112,4794.874734888719
4840.89299000026,4840.920217679669,4840.898112281986,4840.892820604926
4886.8929989428925,4886.916921697292,4886.895929613682,4886.892610930726
