euler,RK_rtol_0.001_atol_1e-06,RK_rtol_0.0001_atol_1e-07,RK_rtol_1e-05_atol_1e-08
64.08268401050418,64.09814623484174,64.08001280071664,64.08263405870355
68.99574500680745,68.98578121430738,68.99549430613125,68.99579008925988
73.68479819232971,73.6631682118997,73.68567852410757,73.68470297902995
78.20202999305296,78.18503765531875,78.20236144046626,78.20196956749058
82.5827583824244,82.58875764269158,82.58445485797135,82.5826950034333
86.85214320646853,86.86014660551972,86.8533230083352,86.85206895681515
91.02881940459704,91.0340031175596,91.0292163426148,91.0290943021214
95.12701803851206,95.13048584816396,95.12771333327684,95.12715627843569
99.15787885494568,99.1703864629516,99.15893378640376,99.15810022576713
103.13030126422254,103.13450683249476,103.1325524950083,103.13044855672085
107.05151749031111,107.0563801766836,107.05182329622497,107.05136257120114
110.927491068371,110.9337644107992,110.92838137304626,110.92754985313877
114.76320147708232,114.77166168994682,114.76406230886678,114.76328454390585
118.5628521992528,118.57068141354203,118.5632779928524,118.56290488712145
122.33002589571056,122.36823860896378,122.33053085326944,122.330153932256
126.06780219136172,126.07544568145676,126.06817103803968,126.0679184189268
129.7788484839415,129.7919866860743,129.77947878902847,129.77896206377676
133.4654909310531,133.46980167580494,133.4671582538726,133.4656400934432
137.12977063551352,137.15151181475244,137.1302805059508,137.13025382256373
140.773488615826,140.79169893832554,140.7738512340908,140.77354172954182
144.39824216715883,144.43517683123054,144.402537812067,144.398290713965
148.00545453370634,148.0213709092893,148.0060817374302,148.00553528352071
151.59639932797867,151.62037184536678,151.59907070766988,151.59694926398902
155.17222078320955,155.2139340712433,155.17324367859473,155.17242053595945
158.73395067012737,158.7470555209986,158.73469762328506,158.73412073069719
162.28252252088694,162.2944002551625,162.2832025570843,162.2829220423999
165.81878366208133,165.82820409313155,165.81662311845886,165.81885416775606
169.3435054522333,169.3679261745823,169.34844193349835,169.343545045957
172.85739203787807,172.8669500057936,172.85941441946386,172.85757272362005
176.36108787968718,176.36842318084467,176.3619857790903,176.3611561416953
179.8551842513911,179.86446274874805,179.85657492646433,179.85546538107684
183.3402248761024,183.36079630565325,183.34132643701653,183.34082797341262
186.81671083450595,186.84547195684752,186.8188604453526,186.8167761335131
190.2851048554346,190.2981124028053,190.2922562757094,190.28516712898355
193.74583508016184,193.77413456354947,193.74808429517807,193.74610336268523
197.1992983762972,197.22388500047515,197.2014127789513,197.19957962483625
200.6458632646461,200.6508687592462,200.64037633054247,200.64592554933733
204.08587251219612,204.1032214146541,204.08497119786404,204.08604429568038
207.5196454360216,207.5590417913972,207.52080284071403,207.51975651953134
210.9474799560236,210.99886208839217,210.95091318233847,210.94761040845222
214.3696544287168,214.4023441667864,214.37180098674145,214.36972609682726
217.78642928954585,217.8015035217201,217.78876538875545,217.78653663744984
221.19804852725235,221.203458779814,221.19868593782093,221.19810674765534
224.6047410105078,224.62727421523604,224.6021685550388,224.60490352633758
228.0067216842323,228.02125300274324,228.00555044496124,228.00719861950216
231.40419265066333,231.45227401034992,231.4010441731573,231.4045374583646
234.79734414824372,234.810250138689,234.7962485505153,234.79749194598858
238.18635543969472,238.2103954526901,238.1841201506096,238.18656078024298
241.57139561918876,241.58023080463863,241.5701294714244,241.5714940724318
244.95262434729875,244.9849912361466,244.9501224550592,244.95320456456926
248.3301925213267,248.35399281696792,248.3278992106398,248.3302892659381
,251.71234035131448,251.7015691445059,251.70437777171983
,255.08141269142908,255.0740073450408,255.0749899851231
,258.4602899246706,258.4412702624901,258.4423888820096
,261.8197180370513,261.8052619058503,261.80688201360584
265.16786602928,265.1823015860716,265.1669395770504,265.16841955704274
268.52621999999417,268.5340445365393,268.52388026719785,268.5265339926257
271.8817698184508,271.89819485875995,271.8780923331593,271.88242761712667
275.2346145371397,275.24467269078616,275.2336779165376,275.2348713546649
278.5848484540964,278.60879531670207,278.58027854797456,278.58495090620437
281.9325614025661,281.96291786072385,281.9276726580408,281.9326563853353
,285.31427035638245,285.2760646574283,285.27777657128865
,288.6301734867375,288.6193511195637,288.6205349439538
291.9614112954002,291.9753819690281,291.95807213910155,291.9610648570139
295.2998583957116,295.41309926158226,295.29755941671783,295.299464334209
298.63617545972835,298.6512412012688,298.6402646293498,298.6361053966959
301.97043053572327,301.9822708951704,301.97236496580416,301.9701135369888
305.302688727383,305.3252464207871,305.30336220190884,305.30251481974074
308.63301235516684,308.6898818239315,308.63743364126185,308.6328687389471
311.96146110694565,311.98601306068576,311.96387345573527,311.9610481870138
315.28809217875886,315.3747428474037,315.29010665625,315.28831014627946
318.6129604064517,318.62899408065203,318.6157620308542,318.6124718403385
,321.9836628411691,321.9381499026013,321.93600984758655
325.25761660336644,325.2892971074562,325.2587652205104,325.25718303770327
328.5775035138322,328.58686717537256,328.5870123676774,328.5764628735038
331.8958256723946,331.9365203621657,331.8971516212587,331.89571946366016
335.212627814654,335.2262074900407,335.216990911654,335.2121666826089
338.52795294927165,338.5867304378769,338.5298375841975,338.52776166065524
,341.89635377756235,341.8446652130062,341.8415956653312
,345.17656553280244,345.15796766591257,345.1536346330788
348.4654722240405,348.531858296253,348.46649898355486,348.46523406474057
351.77528772173423,351.7922989895664,351.77852873686896,351.77517952593865
355.08381813188146,355.0988739066772,355.0856879145243,355.0835693364159
358.3910977077088,358.40361951082195,358.3925297282005,358.390764413619
361.6971594718197,361.74751695738576,361.698514654497,361.6970079518696
365.0020352719754,365.04243016954206,365.0056887740473,365.0017270979793
,368.3626505523922,368.30857044480047,368.30547264236424
,371.6205689106802,371.61174495703466,371.6081497836884
,374.9230091047056,374.9137763826231,374.9097410234063
,378.24182114385263,378.2116875025238,378.2089366267664
,381.580302106156,381.511015904917,381.50955317677426
384.8080329814843,384.86292266481854,384.8100370948658,384.8073200429328
388.105410472479,388.134983774895,388.1094873157545,388.1048885943107
391.40182025671226,391.50311579108507,391.4091734052949,391.40161057389525
394.6972856727973,394.7550028030394,394.7006495039808,394.6971920712438
397.9918293023385,398.0047733262434,397.9933144917976,397.9909038566492
401.2854730008534,401.3389984707988,401.28760831096673,401.2844150422714
404.5782379271716,404.5886432705098,404.58240052930506,404.5780375070144
407.8701445713984,407.89703125567854,407.8756896253015,407.86962423553575
411.1612127815175,411.1700658983896,411.1696364918109,411.16100939845086
414.45146178872335,414.464151321616,414.4548014602306,414.4513087945488
