D=1.0,D=1.5,D=2.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0009680996138598,0.0009680996138598,0.0009680996138598401
0.007194638278492,0.007194638278492,0.007194638278492029
0.0182406931889441,0.0182406883193655,0.01824068344978684
0.033702207067709,0.0337021456549817,0.03370208451511929
0.0532295924844391,0.0532293072054892,0.053229025340507136
0.0765180462723942,0.076517172288147,0.0765163154858443
0.1032983926943205,0.1032962808546548,0.1032942263482562
0.1333301989199009,0.1333258286748245,0.133321608531155
0.1663966853300644,0.1663885799018321,0.16638080867542338
0.2023009041390806,0.2022870492426493,0.20227385670488618
0.2408628090020451,0.2408405756283181,0.24081954465679095
0.2819169607483589,0.2818830320592987,0.2818511413765798
0.3253106968599475,0.3252609989731722,0.32521457022565053
0.3709026461119671,0.3708322824038427,0.37076693099070446
0.4185615051036699,0.418464693588934,0.4183752826400759
0.4681650169875359,0.4680350303109524,0.46791562724040775
0.5195991087745917,0.5194282163570946,0.5192720514668235
0.5727571547695892,0.5725365666754966,0.5723359933417453
0.6275393416126164,0.6272591537377887,0.6270056097718293
0.6838521161213322,0.6835012563394781,0.6831852261724273
0.7416077013219855,0.7411738762644513,0.7407848536598722
0.800723669179849,0.8001933113611889,0.7997197624082596
0.8611225608962173,0.8604807759324841,0.8599101021163107
0.922731547439755,0.9219620611381848,0.9212805623223965
0.9854821243715812,0.9845672294989208,0.9837600666892737
1.0493098361101938,1.048230338672319,1.047281496459057
1.114154025639146,1.1128891905269678,1.1117814391285663
1.1799576063419204,1.17848510221804,1.17719995907015
1.2466668531949945,1.2449626965124252,1.2434803873637499
1.3142312109917578,1.3122697090504758,1.3105691285423569
1.3826031176293636,1.3803568105887656,1.3784154823077792
1.4517378407850332,1.4491774425607802,1.4469714785639693
1.5215933265510508,1.518687664533476,1.5161917243542586
1.5921300587989171,1.588846012337375,1.5860332614869117
1.6633109282109078,1.6596133658143106,1.656455433798414
1.7351011100578826,1.7309528252663626,1.7274197631420778
1.807467949920632,1.8028295958069136,1.7988898333058454
1.8803808566522464,1.8752108789140445,1.8708311811615246
1.953811201964215,1.9480657705708555,1.9432111944312338
2.027732226091673,2.0213651654493088,2.0159990155281386
2.102118949055608,2.095081666655876,2.0891654509896527
2.1769480870935256,2.1691895006103743,2.162682886073837
2.252197973876461,2.243664436675225,2.2365252041351438
2.327848486170508,2.3184837111920986,2.3106677104350077
2.403880973636068,2.3936259556175297,2.385087060077064
2.480278192488691,2.4690711284792544,2.4597611897866836
2.5570242427722136,2.544800450901492,2.534669253280754
2.6341045090185684,2.620796345470636,2.609791559996693
2.711505604089515,2.6970423782333346,2.6851095169700363
2.7892153160140336,2.7735232036370707,2.760605573667959
2.867222557651555,2.850224512239436,2.8362631696020792
2.945517319025871,2.9271329810266264,2.91206668455815
3.0240906221876487,3.0042362261944526,2.988001391292963
3.1029344784752464,3.081522758256582,3.064053410560202
3.182041848054088,3.158981939355008,3.1402096683372127
3.261406601624389,3.2366039426569477,3.2164578551339007
3.3410234841956576,3.3143797137307023,3.2927863872732894
3.420888080834218,3.392300933800527,3.3691843700408266
3.50099678429711,3.47035998478738,3.4456415626063728
3.5813467644722303,3.548549916048599,3.5221483446290414
3.661935939550487,3.626864412735212,3.598695684460745
3.742762948861204,3.705297765690686,3.6752751088694975
3.8238271273069935,3.783844842819661,3.751878674208282
3.905128481338933,3.8625010618594895,3.828498938959668
3.9866676664171248,3.9412623644913567,3.905128937590368
4.068445965905693,4.020125191731387,3.9817621556536507
4.15046527135489,4.099086460545511,4.058392506080924
4.232728064126437,4.178143541634901,4.135014306606986
4.315237398321388,4.257294238341704,4.211622258276361
4.397996884972811,4.336536766627395,4.288211424980882
4.4810106774683724,4.415869736078565,4.364777213981189
4.564283458170585,4.495292131897211,4.441315357367206
4.647820426204947,4.574803297834758,4.517821894414833
4.731627286388633,4.654402920030992,4.594293154798186
4.815710239274617,4.734091011720981,4.670725742618614
4.900075972288314,4.8138678987747605,4.747116521213568
4.984731651935896,4.893734206036231,4.8234625987100825
5.069684917065447,4.973690844429223,4.899761314289227
5.154943873164092,5.053738998800157,4.97601022512943
5.240517087676079,5.133880116468078,5.052207093997957
5.326413586328711,5.214115896454145,5.128349877461226
5.412642850454761,5.2944482793638805,5.204436714685884
5.499214815301848,5.374879437896657,5.280465916803796
5.586139869320966,5.455411767957995,5.356435956815258
5.673428854428141,5.536047880351317,5.43234546000583
5.761093067234903,5.616790593026797,5.508193194853216
5.849144261245004,5.697642923865931,5.58397806440166
5.937594650016568,5.778608083981354,5.659699098082212
6.026456911290582,5.859689471512349,5.735355443958174
6.1157441920884175,5.940890665897321,5.810946361375885
6.205470114782863,6.022215422605348,5.886471214001831
6.295648784148935,6.103667668309711,5.961929463227874
6.386294795402574,6.185251496487068,6.037320661927147
6.4774232432372285,6.266971163426692,6.112644448543889
6.569049731870182,6.348831084634886,6.187900541501218
6.661190386112477,6.430835831620424,6.263088733911494
6.753861863478231,6.51299012904748,6.338208888574581
6.84708136735121,6.595298852243239,6.4132609332499415
6.940866661228577,6.677767025047959,6.488244856189099
7.035236084063893,6.760399817995888,6.563160701915575
7.130208566733622,6.843202546816079,6.638008567239969
7.225803649653649,6.926180671242665,6.7127885974983785
7.322041501574608,7.00933979412479,6.787500983002883
7.418942939587214,7.092685660826925,6.862145955693292
7.516529450371175,7.176224158910818,6.936723785979855
7.614823212723795,7.259961318090902,7.011234779767069
7.713847121406881,7.343903310455459,7.085679275649185
7.8136248123532175,7.428056450946376,7.16005764226842
7.91418068927651,7.512427198090791,7.234370275827294
8.015539951731443,7.597022154978422,7.308617597746916
8.11772862467327,7.681848070478848,7.382800052463408
8.220773589569172,7.766911840693442,7.456918105355028
8.324702617116523,7.852220510637131,7.530972240792891
8.429544401626067,7.9377812761455635,7.604962960308548
8.535328597130976,8.023601486003725,7.678890780871967
8.642085855285716,8.109688644292413,7.752756233273808
8.749847865121582,8.196050412949427,7.826559860606153
8.858647394728719,8.282694614542692,7.9003022168361525
8.968518334937361,8.369629235252942,7.9739838654673205
9.079495745073912,8.456862428063944,8.04760537828346
9.19161590087022,8.544402516158625,8.121167334170472
9.30491634460712,8.632257996519794,8.19467031801152
9.41943593757589,8.720437543734542,8.268114919651271
9.535214914943548,8.808950014001686,8.341501732925138
9.65229494311012,8.897804449341981,8.414831354749673
9.770719179647866,8.987010082011137,8.488104384270434
9.890532335913925,9.076576339115991,8.561321422063896
10.011780742429014,9.166512847434456,8.634483069390082
10.13451241711545,9.256829438440189,8.707589927492839
10.258777136487748,9.347536153533186,8.780642596944794
10.384626509888566,9.43864324947779,8.853641677034235
10.512114056861291,9.530161204049804,8.926587765191247
10.641295287748276,9.622100721894752,8.999481456450663
10.77222778760039,9.714472740599463,9.072323342949444
10.904971303478968,9.807288436979457,9.145114013456281
11.039587835225277,9.900559233584726,9.217854052931337
11.176141729765009,9.994296805426886,9.29054404211413
11.31469977900596,10.088513086930602,9.363184557137716
11.45533132137554,10.183220279112632,9.435776169167397
11.598108347030912,10.278430856991788,9.5083194440623
11.743105606758128,10.374157577233378,9.580814942058282
11.890400724556988,10.470413486031754,9.653263217470677
12.04007431388558,10.567211927234744,9.725664818415494
12.192210097511706,10.664566550713788,9.798020286547795
12.346895030887428,10.762491320983704,9.870330156815996
12.504219428927374,10.861000526076047,9.942594957230964
12.664277096030409,10.960108786670038,10.014815208648816
12.827165459137476,11.059831065484998,10.086991424566406
12.992985703565257,11.160182676938296,10.159124110928557
13.16184291129468,11.26117929707261,10.23121376594613
13.333846201325336,11.362836973756336,10.303260879924094
13.509108871629778,11.46517213716073,10.375265935098822
13.687748542155772,11.568201610517264,10.447229405483856
13.869887298228075,11.671942621158484,10.519151756723463
14.055651833594156,11.776412811845256,10.591033445953338
14.24517359223911,11.881630252383149,10.662874921667829
14.438588907963508,11.987613451530205,10.734676623593147
