D=1.0,D=1.5,D=2.0
100.0,100.0,100.0
99.96720416,99.96720416,99.96720416
99.78802653301749,99.78802653301749,99.78802653301747
99.61812192032876,99.61812192032876,99.61812192032875
99.4568764879186,99.4568764879186,99.4568764879186
99.3029459998728,99.30294600079796,99.30294600172313
99.15523562915092,99.15523564247157,99.15523565572185
99.01289832669292,99.01289839818028,99.01289846866162
98.87527160353136,98.87527185316212,98.87527209702742
98.74182682985406,98.74182750790472,98.74182816434002
98.61213365900086,98.6121352172825,98.61213671276852
98.48583534832382,98.48583852494636,98.48584154807736
98.36263139556934,98.36263731138686,98.36264289628552
98.2422650758753,98.2422753407202,98.24228495720372
98.12451431278468,98.12453113966872,98.12454678851269
98.00918486329276,98.00921118888644,98.00923550075007
97.8961051420062,97.8961447518727,97.89618108866392
97.7851222289252,97.7851798861602,97.7852324438191
97.67609874722578,97.6761803233284,97.67625423518378
97.56891039091924,97.56902299788486,97.56912443789203
97.4634439451072,97.4635960678852,97.46373235318198
97.35959568458594,97.35979731318396,97.35997700550956
97.2572700665528,97.25753282719197,97.25776583280236
97.15637865442407,97.1567159392592,97.1570136070447
97.05683922506891,97.05726632008192,97.05764153765217
96.95857502292174,96.95910923368064,96.95957652122972
96.86151413268638,96.86217490773252,96.86275050953579
96.76558894851414,96.76639800020286,96.76709997362887
96.67073572220696,96.67171714487952,96.6725654468263
96.57689417656404,96.57807456197384,96.57909113266011
96.484007172742,96.48541572269716,96.48662456675763
96.39202042264228,96.39368905885972,96.39511632370854
96.3008822390204,96.30284571021464,96.30451976165526
96.2105433173422,96.212839303597,96.21479079866819
96.1209565444722,96.12362575896336,96.1258877160225
96.0320768301285,96.03516311828471,96.03777098433962
95.94386095772629,95.94741139393,95.95040310923987
95.85626745178745,95.86033243373176,95.86374849370726
95.76925645955076,95.77388980037952,95.77777331482062
95.6827896447891,95.6880486631586,95.69244541287713
95.59683009214936,95.60277570035916,95.60773419124118
95.51134222058651,95.51803901093452,95.52361052550565
95.42629170467494,95.43380803420048,95.44004668076477
95.34164540275944,95.35005347654436,95.35701623597431
95.257371291057,95.26674724426132,95.27449401452381
95.17343840294656,95.18386238176068,95.19245602027028
95.0898167727904,95.1013730144921,95.11087937838903
95.00647738372145,95.01925429603044,95.02974228048632
94.9233921189076,94.93748235883535,94.94902393349535
94.84053371586968,94.85603426826694,94.86870451194173
94.75787572348632,94.774887979495,94.78876511322011
94.67539246136674,94.69402229698728,94.70918771557153
94.59305898131466,94.6134168363036,94.6299551384916
94.51085103064167,94.53305198795826,94.55105100533478
94.42874501712,94.452908883144,94.47245970791056
94.34671797539026,94.37296936113748,94.39416637289305
94.26474753466472,94.29321593822912,94.31615682988843
94.18281188758463,94.21363177803993,94.23841758102378
94.10088976010924,94.13420066310616,94.16093577193821
94.01896038232836,94.05490696762642,94.08369916407122
93.93700346010378,93.97573563127992,94.00669610815643
93.8549991474563,93.89667213403574,93.9299155188394
93.77292801962486,93.81770247188236,93.85334685034778
93.69077104673303,93.73881313341596,93.77698007315071
93.60850956800542,93.65999107723314,93.70080565155082
93.5261252664828,93.5812237100798,93.62481452215886
93.44360014419108,93.50249886571446,93.54899807320616
93.36091649772274,93.4238047844482,93.47334812465488
93.27805689419463,93.34513009332802,93.39785690906955
93.19500414754847,93.2664637869342,93.3225170532175
93.11174129516432,93.18779520876468,93.2473215603682
93.02825157475858,93.1091140331832,93.17226379326439
92.94451840154134,93.03041024790888,93.09733745773978
92.86052534560837,92.95167413702832,93.02253658696056
