paper_ic,fp1,fp2,fp4
0.0,1.0,0.66,1.47
0.03279584,0.99999181048072,0.6740092407413201,1.430065098614936
0.2110053673686567,1.049339653560596,0.8102579329688933,1.5383912304340432
0.3746834413927463,1.0898774835365437,0.934337556352092,1.633963680269277
0.5248828091532796,1.1231454027860948,1.0472156143368592,1.7176356501685799
0.6633516712657412,1.1506671878600634,1.1504309606475736,1.7909915270560162
0.7915342242927879,1.173637000029929,1.245255431969089,1.8553353858755226
0.9105819719374344,1.1929732929323231,1.3327054755798504,1.911696688470463
1.0214261162758749,1.2093838275975,1.4136047051077048,1.9608988523153277
1.1248351719405572,1.2234161577303304,1.488633650090273,2.003614057125621
1.2214556667304566,1.23549514617156,1.558364996606888,2.0404018222551046
1.3118406793927546,1.2459509919985916,1.623288388545101,2.0717359100987007
1.3964701708056138,1.2550404520930136,1.6838281700373483,2.098023383433177
1.4757657767937384,1.2629631182043826,1.7403563509813764,2.1196183967261235
1.5501018006257243,1.269874031599579,1.79320228458458,2.1368323969674066
1.6198135432325822,1.275893534162954,1.8426600339046064,2.1499418267192043
1.6852037290881472,1.281115001007112,1.8889940795770583,2.1591940537571603
1.746547542860961,1.2856109283940411,1.9324438130841917,2.164812017117399
1.804096634132851,1.2894377323599555,1.9732271245982844,2.1669979274778894
1.858082342880798,1.292639529468686,2.011543304567249,2.1659362595236495
1.908718327703527,1.2952511100997273,2.0475754173290373,2.1617962064229537
1.956202730048499,1.2973002693288351,2.081492263000902,2.154733720204014
2.0007199735160253,1.2988096260781934,2.113450014333639,2.144893229445773
2.042442272941193,1.2997980346955305,2.14359359409283,2.1324091026913345
2.081530910300898,1.3002816723728678,2.1720578431908866,2.117406909385895
2.118137321526152,1.3002748693907933,2.198968518498985,2.1000045179741096
2.152404028649749,1.2997907360533971,2.2244431508405844,2.0803130617519145
2.184465444450527,1.2988416296261995,2.248591787303188,2.0584377962612432
2.214448571218883,1.2974394960614846,2.2715176371430608,2.034478866825298
2.2424736110071826,1.2955961143834611,2.293317636804637,2.008532000814611
2.2686545014177653,1.2933232659954312,2.314082946650941,1.9806891361034467
2.293099388385471,1.2906328466172678,2.3338993897001066,1.9510389947023385
2.315911045359549,1.2875369348692414,2.3528478408373066,1.9196676085764932
2.337187246654903,1.284047828531061,2.3710045735111,1.8866588030653777
2.357021101430583,1.2801780570958716,2.388441569746387,1.8520946420205746
2.3755013536932785,1.2759403773037907,2.405226798350926,1.8160558377140437
2.3927126528614364,1.2713477567926952,2.421424465411657,1.7786221276906662
2.408735798720293,1.2664133497745105,2.4370952405349318,1.7398726200129848
2.423647964017695,1.2611504676744978,2.452296461753165,1.6998861077470537
2.4375228974704344,1.2555725469102523,2.467082321577835,1.6587413530478063
2.450431109551507,1.2496931153959745,2.4815040363080607,1.6165173408069538
2.4624400430949884,1.2435257589026636,2.495610000391864,1.5732935015166625
2.473614230475028,1.2370840880586724,2.509445927372892,1.5291499027714344
2.484015438879098,1.2303817065149587,2.5230549787304755,1.484167408674105
2.493702804995402,1.22343218060687,2.536477881728481,1.4384278063264324
2.5027329602639776,1.216249010704419,2.54975303722306,1.3920138985679185
2.5111601476954646,1.2088456043435845,2.56291661823655,1.3450095621762006
2.519036331136681,1.201235251162538,2.5760026599809143,1.2974997708564175
2.5264112977545885,1.1934310996210973,2.5890431419061266,1.2495705825228025
2.5333327544172937,1.185446135453085,2.602068062254501,1.2013090906101096
2.539846418570037,1.1772931617848936,2.615105505519036,1.152803339441084
2.5459961041338324,1.168984780845762,2.628181703130817,1.1041422040136617
2.5518238028929585,1.160533377193309,2.641321087636027,1.0554152349512838
2.5573697617835585,1.1519511023796576,2.654546340566025,1.006712469773699
2.562672556448055,1.143249860987489,2.6678784341534616,0.9581242120846707
2.5677691613780738,1.134441297970543,2.6813366670026437,0.9097407807267096
2.572695016931249,1.1255367872385904,2.6949386937829543,0.8616522314099251
2.577484093474034,1.1165474214323268,2.7087005489794733,0.8139480537701711
2.582168952872926,1.1074840028385744,2.722636664704848,0.7667168472383089
2.586780807529794,1.0983570354005028,2.7367598825506776,0.7200459794949733
2.591349577132944,1.0891767177811806,2.7510814594351194,0.6740212316314562
2.595903943273762,1.079952937441637,2.7656110673860934,0.6287264344257323
2.600471402058968,1.0706952656967867,2.780356787186508,0.5842431003629894
2.605078314830397,1.0614129537141168,2.7953250957994884,0.540650056173684
2.609749957087659,1.052114929421001,2.8105208474880112,0.4980230807225018
2.6145105656936347,1.0428097952870352,2.8259472485450314,0.45643455305437236
2.619383384428616,1.0335058269479076,2.841605825557576,0.4159531152870878
2.624390707945547,1.0242109726371542,2.857496387142048,0.37664335483498795
2.6295539241663897,1.014932853391768,2.8736169791087742,0.3385655101581453
2.634893555147786,1.0056787639971023,2.8899638330424846,0.3017752038626182
2.640429296432917,0.996455674635897,2.906531308322779,0.2663232065381249
2.6461800548956,0.9872702332056226,2.9233118276558168,0.23225523422045735
2.652163985072115,0.9781287682677312,2.9402958062464157,0.19961178181932399
2.658398523965931,0.9690372925918392,2.9574715748097424,0.16842799427152605
2.6649004243002725,0.9600015072574122,2.9748252967049797,0.13873357657860255
2.6716857861832497,0.9510268062751857,2.9923408795710125,0.11055274328172737
2.678770087139997,0.9421182816903322,3.009999881957605,0.08390420732881528
2.6861682104557727,0.9332807291293376,3.0277814155758365,0.05880120771285685
2.693894471763216,0.9245186537526356,3.0456620439399567,0.03525157471863859
2.70196264379584,0.9158362765753062,3.063615678340122,0.013257831117871793
2.71038597921823,0.9072375411185536,3.0816134722724406,-0.007182672790784255
2.719177231431252,0.8987261203552462,3.099623715659654,-0.026077592783386068
2.728348673237736,0.8903054239135152,3.1176117304224205,-0.04343939575842496
2.737912113240512,0.8819786055032625,3.135539769206788,-0.05928513928475243
2.747878909830202,0.873748570531416,3.153366919336408,-0.07363622888492155
2.758259982604737,0.8656179838728726,3.171049014335812,-0.08651815640263054
2.7690658210461034,0.8575892777652763,3.188538555659933,-0.0979602228516567
2.78030649026216,0.8496646597970906,3.205784647559957,-0.10799524913182165
2.791991633582483,0.8418461209597968,3.222732948309876,-0.11665927793051517
2.8041304717770035,0.8341354437365088,3.239325641303484,-0.1239912700123748
2.816731798644535,0.8265342102007914,3.255501429797737,-0.13003279794171604
2.82980397269525,0.8190438101010171,3.2711955593131203,-0.13482774008939974
2.843354904626543,0.8116654489071622,3.2863398718907275,-0.13842197755525115
2.857392040265569,0.8044001557985311,3.300862896532786,-0.14086309639601186
2.8719223386241084,0.7972487915724873,3.314689980200434,-0.1422000972938834
2.886952244682204,0.7902120564558516,3.3277434636901324,-0.14248311453831342
2.902487656486477,0.7832904978021973,3.3399429065379813,-0.14176314592948952
2.91853388611713,0.7764845176598109,3.351205364788897,-0.14009179495109209
2.9350956140447595,0.7697943801965987,3.3614457249958583,-0.13752102630655066
2.952176836364352,0.7632202189696884,3.3705770971659903,-0.13410293567095938
2.9697808043597536,0.7567620440288944,3.3785112685319008,-0.12988953428282873
