paper_ic,fp1,fp2,fp4
400.0,21615.1,1163.5,-901.72
400.0,21946.492337952,1175.2732275232,-922.042365175168
400.2011240307508,22277.78529297327,1187.2340803641002,-941.9407117624822
401.4926456967525,22625.836477834,1201.611678844348,-963.5288363095575
403.7756870673833,22988.11156749881,1218.2291211941258,-986.7006930451756
406.965983547846,23362.50526003525,1236.9332471859136,-1011.3567730147622
410.996074428441,23747.35447221841,1257.6028418289,-1037.4143705052518
415.81189278643393,24141.34337424536,1280.142387781437,-1064.8037713042095
421.3698478907912,24543.42305857367,1304.4764542528787,-1093.4644609815916
427.63464272931697,24952.75017393177,1330.5455033509463,-1123.3422524934738
434.5776484944963,25368.64020684199,1358.3027968296792,-1154.3871575610674
442.1756749668237,25790.531526056136,1387.7120850930623,-1186.5517849264295
450.4100235769721,26217.957393801484,1418.7458518023277,-1219.790108335922
459.2657460055541,26650.52398099021,1451.3839599670505,-1254.0564985802923
468.7310552548782,27087.892990267574,1485.6125942116566,-1289.3049489516807
478.7968519812293,27529.76787148981,1521.4234259824957,-1325.4884463793994
489.4563394525045,27975.88287374265,1558.812949726889,-1362.5584555264322
500.7047076938131,28425.994359019984,1597.781952437418,-1400.464493138643
512.5388723862061,28879.87393215429,1638.335088854275,-1439.1537767408906
524.9572576309133,29337.30303653913,1680.480541580269,-1478.570936487026
537.9596142534662,29798.068736467703,1724.2297503514542,-1518.6577822940285
551.5468672035475,30261.96046157032,1769.5971983426423,-1559.353120769025
565.720987008953,30728.767531523423,1816.600246079665,-1600.5926181591144
580.4848813016946,31198.277313060848,1865.25900555279,-1642.308706806649
595.8423032445887,31670.273888508047,1915.5962486649275,-1684.4305335030504
611.7977743130534,32144.53713710468,1967.6373453339863,-1726.8839487876564
628.356519375822,32620.84214838014,2021.4102274924128,-1769.5915366930167
645.524412403384,33098.95890161148,2076.945375954235,-1812.4726847349561
663.3079314387118,33578.65215753807,2134.275827698369,-1855.4436941130336
681.7141217093657,34059.68151850695,2193.4372015816084,-1898.4179301448958
