400.0_weeks,400.0_weeks_RK
21621.98334009168,21624.39457859665
22210.268013654877,22208.806852294456
22719.94223840353,22716.909251621903
23169.320298976127,23167.045222716646
23570.796527579627,23571.571527775617
23933.200320697622,23934.196166229875
24263.07121952521,24263.69731883282
24565.40327891552,24565.80546938158
24844.105703533874,24845.50556410677
25102.30149145853,25102.75957291262
25342.52857484006,25343.042285873937
25566.87966729783,25567.523926852173
25777.102151244304,25777.94804256614
25974.67109314405,25975.43336702545
26160.84369882128,26164.451220779534
26336.700648026417,26337.41199897598
26503.17796173612,26504.360859754135
26661.09191336574,26661.475355575156
26811.15874560041,26813.028348619573
26954.01045159399,26955.54598118251
27090.20753484783,27093.245620322
27220.24942187161,27221.535610857543
27344.583031402915,27346.480785806074
27463.609881364624,27466.83171760211
27577.692025265023,27578.690923524748
27687.157043621904,27688.04405029074
27792.30226654148,27792.99770727835
27893.39836621369,27895.153333523867
27990.69242954968,27991.373372137914
28084.41059920367,28084.92292617174
28174.76035413111,28175.399568901994
28261.93248744437,28263.310882166632
28346.10282875535,28348.002188907492
28427.43374978648,28428.27988557668
28506.07548530044,28507.885907007796
28582.16729597978,28583.721966804875
28655.8384954895,28656.153736328288
28727.20936037871,28728.27211384065
28796.39193854045,28798.762160000744
28863.49076953404,28866.534132010533
28928.603528074545,28930.51416757498
28991.8216003328,28992.698973747287
29053.230601300507,29053.545118636623
29112.910840313576,29114.180118011824
29170.937740847006,29171.742601402566
29227.382219867737,29230.00277971564
29282.31103133103,29283.00943931821
29335.787077809076,29337.06978454385
29387.869693731496,29388.341359031227
29438.614903281534,29440.2981034339
29488.075655616474,29489.29790765866
29536.30203975931,29536.717463163994
29583.341481228566,29583.673867324564
29629.238922233093,29630.13169482971
29674.036987048068,29674.687550173127
29717.77613400615,29718.47698049083
29760.494795378247,29760.876341089875
29802.229506279826,29803.008707677975
29843.01502361469,29843.488933093864
29882.884435962704,29883.99563790464
29921.869265222496,29923.26091752732
29959.99956073614,29961.64922545934
29997.303986550647,29997.734940480917
30033.809902404024,30034.432340426763
30069.54343896722,30074.50001083066
30104.529567820475,30105.1890056944
30138.792166597603,30139.30709957182
30172.354079690467,30173.313913931466
30205.237174869144,30207.62755240021
30237.462396141043,30238.48532738048
30269.049813142265,30272.619467398654
30300.018667328943,30300.67627421204
30330.38741521183,30332.3125417044
30360.17376885681,30361.44606340633
30389.39473385401,30389.772189885403
30418.06664494221,30419.668851734084
30446.205199457592,30446.73937949781
30473.82548876356,30476.102107624734
30500.942027804827,30503.0295205366
30527.568782916725,30528.417787914816
30553.71919801085,30556.21599855889
30579.40621924887,30580.047313951778
30604.642318306087,30605.205712865696
30629.439514320195,30629.906719448223
30653.809394611813,30655.64903020072
30677.763134257795,30679.225720053393
30701.311514592013,30703.34275686333
30724.46494070217,30724.910028168484
30747.233457986687,30747.70286344091
30769.62676783133,30770.733310879907
30791.65424245969,30794.097068699954
30813.324939009337,30815.21365264513
30834.647612880803,30835.659527204367
30855.630730402907,30859.055122530885
30876.282480856466,30878.21614811684
30896.61078789347,30897.05100019783
30916.623320388346,30918.38840390492
30936.327502753644,30936.67881634199
30955.73052475141,30956.609081134917
30974.839350829465,30975.133222906683
30993.66072900905,30994.073766239628
