H_i=0.0,H_i=10.0,H_i=50.0,H_i=100.0,H_i=1000.0
0.0,0.0,0.0,0.0,0.0
0.01639792,0.01639792,0.01639792,0.01639792,0.01639792
0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.10628568508322632
0.1942396818360826,0.1942404565945989,0.1942435556286638,0.1942474294212449,0.19431715768770552
0.2786435128878679,0.2786500543133271,0.2786762200142666,0.2787089271384224,0.2792976549896767
0.3594227866418487,0.3594440675001415,0.3595291916437325,0.3596355984216644,0.36155122412660046
0.4367617535388419,0.4368104228425665,0.4370051075212513,0.4372484801630868,0.4416323784024859
0.5108872546505371,0.5109793396434641,0.5113477133334917,0.5118082563125859,0.5201124452224165
0.5820182140382077,0.5821728405758735,0.5827914508674971,0.58356494805615,0.5975324321240355
0.6503536988642915,0.6505928314588671,0.6515496191149301,0.6527461826033087,0.67439440133742
0.7160716511107604,0.7164198515301802,0.717813201061397,0.7195561208187647,0.7511632416500998
0.7793306447180629,0.7798148475366524,0.7817527075454903,0.7841773927420072,0.828271163147826
0.8402723181401951,0.8409216216550405,0.8435206882996689,0.8467736913038505,0.9061225850502389
0.8990237383853464,0.8998692094648149,0.9032541670316432,0.9074922819596484,0.9850987039981192
0.95569948334553,0.9567739749505212,0.9610767882459368,0.9664662168992518,1.0655615608738584
1.0104034101813877,1.0117413904616852,1.0171006444035997,1.0238162233208126,1.1478576020177653
1.063230136577814,1.0648675285866465,1.0714278109599875,1.07965229408401,1.2323207859407184
1.114266276885047,1.1162403080745027,1.1241516319115032,1.1340750240360715,1.319275298206305
1.1635914748551075,1.165940535615802,1.1753577980818048,1.1871767348033873,1.4090379336332233
1.211279269490423,1.214042780083721,1.2251252551041596,1.2390424254829406,1.5019201969858351
1.2573978244041335,1.2606161097070063,1.2735269718723274,1.289750580413011,1.5982301647941743
1.3020105454433633,1.305724716986959,1.3206305945289911,1.3393738594409388,1.6982741432048256
1.3451766065422577,1.3494284513773769,1.3664990062308335,1.3879796912276146,1.8023581501443522
1.386951399869718,1.3917832758371873,1.411190808989949,1.435630786148908,1.9107892445422343
1.4273869232101342,1.432841660232822,1.454760740733517,1.4823855821630867,2.023876720757139
1.4665321150287554,1.4726529220756732,1.497260038210992,1.5282986344725842,2.14193318250431
1.5044331456997135,1.5112635231021316,1.5387367543826354,1.5734209577893874,2.265275507332549
1.5411336718066584,1.54871732863209,1.579236037336741,1.6178003284067484,2.39422570990995
1.576675059176572,1.5850558353894029,1.618800376517879,1.6614815519977315,2.529111709935286
1.6110965793079512,1.62031837246584,1.6574698210357457,1.7045067020336215,2.6702680083039287
1.6444355830515127,1.6545422793048548,1.6952821740097157,1.7469153328879672,2.8180362731468764
1.6767276547531915,1.6877630639312065,1.7322731662459032,1.7887446710226858,2.9727658354643913
1.7080067495430529,1.720014544124694,1.7684766120088162,1.8300297871082316,3.134814092236273
1.7383053160246362,1.751328973805741,1.803924549213088,1.8708037514847695,3.3045468130590945
1.7676544062675503,1.7817371565476243,1.8386473660025344,1.9110977750055496,3.4823383444903317
1.7960837747164629,1.8112685478393853,1.8726739153883347,1.9509413370016069,3.6685717043248
1.8236219673899017,1.8399513474827769,1.90603161937333,1.9903623018562135,3.863638555943911
1.8502964025429949,1.867812583306445,1.9387465637856165,2.029387025468429,4.067939050613599
1.8761334438018176,1.894878187213379,1.970843584874159,2.068040452709898,4.281881523107996
1.9011584666374424,1.9211730644373608,2.0023463485759665,2.1063462068316565,4.505882023241299
1.9253959189301988,1.946721156766017,2.033277423243595,2.1443266716530536,4.740363662727951
1.948869376275264,1.9715455003881133,2.0636583465194445,2.1820030672591435,4.985755753176512
1.971601592596312,1.995668278937874,2.093509686956334,2.2193955198427515,5.242492706853756
1.9936145465620567,2.019110872236785,2.122851100909588,2.2565231262502885,5.511012667009774
2.014929484239092,2.041893901171493,2.151701385162274,2.293404013724149,5.79175582888277
