H_i=0.0,H_i=10.0,H_i=50.0,H_i=100.0,H_i=1000.0
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
4.0,4.000189191002,4.00094595501,4.00189191002,4.0189191002
4.000000260715309,4.001412667166163,4.007062292969585,4.014124325223862,4.14124090580084
4.000003817658003,4.003634461473194,4.018157215509487,4.036311060299791,4.363156693063311
4.0000169259819485,4.006803856248959,4.033953262638996,4.067893812600796,4.679544186583419
4.000048516863548,4.0108729189505565,4.054177096000347,4.108322097075721,5.0857406178896625
4.000109720875058,4.015799005995499,4.078573839964943,4.157082194892785,5.577800937449599
4.000213474134204,4.021544809120675,4.106908807371175,4.213700797207332,6.1525054849244984
4.000374193066395,4.028077881118947,4.13896635345278,4.277742851846063,6.807313263762086
4.000607503884154,4.035370081475854,4.174548116336335,4.3488081439048285,7.540306110518426
4.000930015828154,4.043397056169117,4.21347125887975,4.426527849743534,8.350135889781276
4.001359129783492,4.05213777823145,4.255566877930622,4.510561403654945,9.235977799730652
4.001912875822628,4.061574149948155,4.300678610701058,4.600593741826524,10.197490139091087
4.002609774654159,4.071690660298015,4.348661425974016,4.696332902943899,11.234780061185663
4.003468719014141,4.08247408987485,4.399380576819121,4.797507941782389,12.348374640935221
4.004508871830284,4.093913256017617,4.452710690818615,4.903867110103981,13.539196588825039
4.005749578593906,4.105998791863205,4.508534976356248,5.015176263780913,14.808544017472183
4.007210291841848,4.118722954053208,4.566744526771554,5.131217461188276,16.1580737501677
4.00891050601664,4.132079454728553,4.627237707258951,5.251787723772241,17.589787739109127
4.010869701263622,4.146063314203521,4.689919612041721,5.376697934776578,19.10602222899219
4.0131072949566375,4.160670731332092,4.754701581546929,5.505771856325517,20.709439358801827
4.015642599932567,4.175898969084806,4.821500771096681,5.63884524849954,22.403020942177633
4.0184947885691855,4.1917462532644265,4.890239764080126,5.775765076826863,24.190064206141976
4.021682861967872,4.208211682622203,4.960846223743086,5.916388796868445,26.07417930072463
4.0252256236081845,4.225295148908714,5.033252578683184,6.060583706403573,28.05928841935898
4.029141656929366,4.242997265616575,5.107395737912517,6.208226357212514,30.14962639291325
