evolving_asym_D=0.4 mm^2/w,evolving_sym_D=0.4 mm^2/w
4.0,4.0
3.984,4.0
3.9687088352,4.0
3.954102637935343,4.000000260715309
3.940161054087291,4.000003817658003
3.926867650515701,4.0000169259819485
3.9142093377570273,4.000048516863548
3.902175863055874,4.0001097208750584
3.890759388981988,4.0002134741342035
3.8799541430430895,4.000374193066395
3.8697561240578944,4.000607503884154
3.8601628540579656,4.000930015828154
3.8511731671055305,4.001359129783492
3.842787028390353,4.001912875822628
3.8350053784268567,4.002609774654159
3.8278299982544777,4.003468719014141
3.8212633923576487,4.004508871830284
3.815308686642618,4.005749578593906
3.8099695392890816,4.007210291841848
3.805250062671981,4.00891050601664
3.80115475484867,4.010869701263622
3.797688439347579,4.0131072949566375
3.794856212189951,4.015642599932567
3.7926633952362527,4.0184947885691855
3.791115495080872,4.021682861967872
3.7902181668284713,4.0252256236081845
3.789977182177135,4.029141656929366
3.790398401310729,4.033449306367968
3.791487748168211,4.03816666144329
3.7932511887132234,4.0433115435355305
3.79569471187473,4.048901495046887
3.798824312870202,4.054953770674673
3.802645978657821,4.061485330558979
3.8071656752945215,4.068512835096224
3.812389337002872,4.076052641234961
3.8183228567726206,4.084120800091975
3.8249720783426446,4.092733055745666
3.832342789426385,4.101904845080189
3.840440716059121,4.1116512985683435
3.8492715179587966,4.121987241893855
3.858840784803923,4.132927198324905
3.869154033342421,4.1444853917606
3.880216705254508,4.156675750380757
3.892034165700831,4.169511910837114
3.9046117024942486,4.18300722293084
3.917954525840107,4.197174754727333
3.9320677685955143,4.212027298064616
3.946956487003216,4.227577374416474
3.962625661860185,4.243837241075718
3.979080200085112,4.2608188976267645
3.996324936652564,4.278534092680148
4.014364636864833,4.29699433084458
4.033203998935423,4.316210879914941
4.052847656860671,4.336194778256966
4.073300183558412,4.35695684237164
4.094566094254627,4.378507674624209
4.1166498501009645,4.400857671124528
4.139555862007708,4.4240170297470165
4.163288494678287,4.447995758279927
4.18785207083286,4.472803682694903
4.213250875609695,4.49845045552896
4.239489161134273,4.524945564372068
4.266571151247015,4.552298340454427
4.294501046381484,4.580517967328398
4.323283028585775,4.609613489640796
4.352921266680547,4.639593821991942
4.38341992154788,4.670467757878512
4.414783151545737,4.702243978717763
4.447015118043446,4.734931062951232
4.480119991074104,4.768537495226503
4.514101955100319,4.803071675655999
4.548965214890139,4.83854192915221
4.584714001500449,4.87495651483907
4.621352578365471,4.912323635539557
4.658885247488393,4.950651447339857
4.697316355734432,4.989948069230749
4.736650301223992,5.03022159282708
4.776891539824829,5.071480092166482
4.818044591742429,5.113731633588671
4.860114048208027,5.156984285696908
4.903104578263985,5.201246129403388
4.9470209356464245,5.246525268060519
4.991867965765266,5.2928298376802445
5.03765061278203,5.340168017243741
5.084373926785947,5.388548039103981
5.132043071069148,5.437978199483859
5.1806633295018765,5.488466869072724
5.230240114008874,5.540022503724326
5.280778972148269,5.59265365525939
5.332285594794505,5.646368982376169
5.384765823926992,5.701177261672514
5.438225660526407,5.757087398783194
5.492671272580706,5.814108439636347
5.54810900320314,5.872249581833167
5.60454537886472,5.931520186155095
5.66198711774381,5.991929788203003
5.720441138195692,6.053488110173043
5.779914567345158,6.116205072774067
5.840414749805396,6.180090807291728
5.901949256526631,6.24515566780461
5.964525893778216,6.31141024355796
6.028152712268046,6.3788653715008605
6.092838016403448,6.447532148992918
6.158590373697887,6.517421946686815
6.225418624328076,6.588546421593352
6.293331890846324,6.660917530335901
6.36233958805321,6.734547542601462
6.432451433035909,6.80944905479586
6.503677455377781,6.885635003910923
6.5760280075451,6.963118681611808
6.649513775457057,7.041913748553015
6.724145789245507,7.122034248931973
6.799935434211178,7.203494625289442
6.876894461983388,7.286309733566406
6.95503500189064,7.370494858427495
7.034369572549775,7.4560657288613985
7.114911093681688,7.54303853406919
7.196672898161994,7.631429939651899
7.279668744315345,7.721257104109154
7.363912828462487,7.812537695661183
7.449419797729518,7.905289909406973
7.536204763129207,7.999532484831889
7.62428331292461,8.0952847236786
7.713671526285667,8.192566508195688
7.80438598724985,8.291398319778931
7.896443798998409,8.391801258020767
7.989862598460198,8.493797060184132
8.084660571255519,8.597408121117454
8.180856466992925,8.702657513628216
8.278469614932414,8.809569009333234
8.377519940028938,8.918167100004425
8.478027979370708,9.028477019429591
8.580014899027303,9.1405247658085
8.683502511323152,9.254337124705252
8.788513292552544,9.36994169257877
8.895070401152912,9.487366900914044
9.003197696353762,9.606642040977574
9.112919757319244,9.727797289221384
9.224261902803011,9.850863733360802
9.337250211334728,9.9758733991522
9.45191154195822,10.102859277897773
9.56827355554204,10.231855354705482
9.686364736683952,10.362896637533243
9.806214416231557,10.496019187047546
9.927852794442144,10.631260147327723
10.051310964805625,10.768657777448224
10.176620938555253,10.908251483972407
10.303815669891703,11.050081854392504
10.432929081947009,11.194190691551697
10.563996093515692,11.340621049085431
10.697052646581549,11.489417267920444
10.832135734669274,11.64062501387128
10.969283432051435,11.794291316375459
11.108534923842052,11.950464608409886
11.249930537009332,12.109194767632497
11.393511772341144,12.270533158794688
11.53932133739793,12.43453267747159
11.687403180488978,12.601247795158818
11.837802525709208,12.770734605785965
11.990565909074803,12.943050873698779
12.145741215797411,13.118256083163663
12.30337771873788,13.296411489449902
12.463526118081887,13.477580171546796
12.62623858228126,13.66182708657478
12.79156879030618,13.849219125951414
12.95957197525498,14.039825173375132
13.130304969369734,14.233716164691554
13.303826250507448,14.430965149709218
13.480195990118252,14.631647356033612
13.659476102783604,14.835840254990485
13.841730297369232,15.043623629711535
14.027024129849291,15.25507964545776
14.215425057859935,15.470292922257896
14.407002497042283,15.689350609941611
14.60182787923672,15.912342465649399
14.799974712592192,16.139360933903287
15.0015186436562,16.37050122932483
15.206537521513054,16.60586142208912
15.415111464039974,16.84554252620577
15.627322926352637,17.089648590720195
15.843256771513724,17.33828679393073
16.063000343580207,17.59156754071934
16.286643543067008,17.849604563095916
16.51427890490694,18.11251502405835
16.746001678988772,18.380419624872573
16.98190991335742,18.65344271587889
17.222104540162384,18.93171241093279
17.466689464442542,19.215360705590328
17.715771655837553,19.504523599149806
17.969461243318083,19.799341220663077
18.22787161302909,20.099957959031226
18.491119509342337,20.406522597300476
18.75932513921609,20.71918845127524
19.032612279961945,21.038113512565868
19.31110839052005,21.36346059618911
19.59494472634616,21.695397492839383
19.884256458014605,22.03409712594866
20.17918279364343,22.379737713652077
20.479867105248324,22.732502935775273
20.786457059133344,23.092582105957696
21.099104750426942,23.46017034902398
21.41796684187228,23.8354687837125
21.743204706980823,24.21868471086676
22.07498457765832,24.61003180719078
22.413477696411192,25.009730324664513
22.75886047324102,25.418007295709163
23.1113146473327,25.835096744185012
23.47102745364047,26.261239902296143
23.83819179447304,26.6966854334668
24.21300641617623,27.141689661243223
24.595676091007466,27.596516804262418
