evolving_asym_D=0.4,evolving_sym_D=0.4
0.0,0.0
0.0,0.0
0.0009680996138598,0.0009680996138598401
0.0071868956806789,0.007194638278492029
0.0182104421776009,0.018240702928101496
0.0336283790924785,0.03370233071175812
0.0530855341167042,0.053230173408383416
0.0762722184042767,0.0765198474027572
0.1029150423560957,0.10330279734771325
0.1327699994081199,0.13333942288465161
0.165617343001229,0.16641399455694797
0.2012577318435794,0.20233083471423102
0.2395092671131733,0.24091138756558295
0.2802051673185941,0.2819919244889453
0.3231919087562386,0.3254217128390415
0.3683277131351908,0.37106153006730364
0.4154812991438261,0.41878244012489046
0.464530838244652,0.46846477259840663
0.5153630710116103,0.5199972610299894
0.5678725514750971,0.5732763080047903
0.6219609948497962,0.628205352483494
0.6775367097327681,0.6846943205579596
0.7345141000530824,0.7426591449925396
0.792813225179967,0.802021342031857
0.8523594089582582,0.8627076363116746
0.9130828902470846,0.9246496265118264
0.974918508936449,0.9877834857850216
1.0378054225104505,1.052049692086225
1.101686849089994,1.117392784388824
1.166509833576446,1.1837611414602518
1.2322250340709888,1.2511067804212606
1.2987865261924292,1.3193851727595682
1.3661516232815587,1.3885550758327214
1.4342807107800912,1.4585783781939368
1.5031370933199828,1.529419957321616
1.5726868532648397,1.601047548538456
1.6428987196171991,1.6734316240775853
1.7137439463500328,1.7465452813973013
1.7851961993429144,1.8203641399677377
1.857231451206906,1.8948662458561882
1.9298278833705824,1.970031983526049
2.002965794875329,2.0458439943400397
2.07662751739323,2.122287101323625
2.1507973360372405,2.199348239801118
2.225461415582342,2.277016393566245
2.3006077317591345,2.3552825362921377
2.376226007318885,2.4341395779238066
2.4523076526021206,2.513582315829919
2.528845710372212,2.5936073905208676
2.605834804701498,2.6742132457672394
2.6832710937209514,2.755400092977367
2.761152226065438,2.8371698797150775
2.8394773008657603,2.919526262259416
2.9182468311560803,3.0024745821272947
2.9974627105813005,3.0860218464980034
3.0771281833037247,3.1701767124954827
3.1572478170220237,3.2549494753004935
3.237827479028333,3.3403520600803924
3.318874315241384,3.4263980177393893
3.4003967321649737,3.5131025245069956
3.482404381732008,3.6004823853970325
3.564908149004804,3.6885560415841563
3.647920142712473,3.777343581759493
3.7314536886160665,3.8668667575417297
3.815523325701806,3.95714900303502
3.900144805212247,4.048215458640373
3.985335092534666,4.140092999242915
4.071112371975374,4.232810266913644
4.15749605445811,4.3263977082810525
4.24450678819419,4.420887616745466
4.332166472381774,4.516314179727078
4.4204982740014325,4.612713531157681
4.509526647785293,4.710123809445927
4.599277359447375,4.8085852211668385
4.689777512273426,4.908140110748166
4.781055577179616,5.008833036449232
4.87314142636093,5.11071085295217
4.966066370662039,5.213822800910976
5.059863200815943,5.318220603830753
5.154566232708713,5.4239585726778365
5.250211356842332,5.531093718651407
5.346836092182059,5.639685874578588
5.444479644589778,5.749797825428134
5.5431829700607445,5.861495448472513
5.642988842997843,5.974847863664619
5.743941929775128,6.089927594833443
5.846088867860977,6.206810742342809
5.949478350790775,6.325577167898672
6.054161219299673,6.446310692233366
6.160190558947639,6.569099306439501
6.267621804591873,6.694035397771631
6.376512852085619,6.821215990780238
6.486924177607532,6.950743004689445
6.598918965052111,7.082723527976918
6.71256324193917,7.217270111160904
6.82792602432896,7.354501078844669
6.945079471259281,7.494540862111745
7.064099049251683,7.63752035240531
7.185063707465474,7.783577278060399
7.308056064110701,7.9328566046867275
7.433162604764207,8.085510960620837
7.560473893266146,8.241701088676662
7.690084795907572,8.401596325420662
7.822094719652494,8.565375109178019
7.956607865169645,8.733225517936203
8.093733495479489,8.905345838246827
8.233586221049885,9.081945166130776
8.376286302198553,9.263244040858817
8.521959969680767,9.44947511230312
8.670739764355385,9.640883842325838
8.822764896829701,9.837729240379703
8.978181627981902,10.04028463313137
9.137143671246948,10.248838467468785
9.299812617524797,10.463695145705106
9.466358383526185,10.685175891128054
9.636959684307069,10.913619641247989
9.81180453065428,11.149383965151287
9.991090751867276,11.392846000247552
10.175026544328716,11.644403402387782
10.363831046063694,11.904475301803101
10.55773493724688,12.173503255546409
10.756981066320604,12.451952185089196
10.961825101026069,12.740311285410417
11.172536203214346,13.039094889294068
11.389397725782713,13.348843267611173
11.612707929462692,13.670123343090891
11.842780716455897,14.00352929148359
12.07994637705784,14.349683000097498
12.32455234441352,14.709234349476953
12.576963951395456,15.082861279531471
12.837565182269593,15.471269596792819
13.106759410300544,15.875192474774096
13.384970110730762,16.29538959476778
13.672641536634492,16.732645870026936
13.970239342987176,17.187769692348123
14.278251141897709,17.661590636887748
14.59718696932488,18.154956558916226
14.927579640748558,18.66873001551562
15.269984970208965,19.20378394636677
15.624981823896054,19.760996551193152
15.99317197611354,20.341245307586533
16.375179732026808,20.94540008227876
16.771651278222414,21.574315301848447
17.183253718877076,22.228821165683915
17.610673752404555,22.90971390496322
18.05461594099965,23.61774511648526
18.51580052374402,24.353610229200992
18.99496072312537,25.117936193798457
19.492839495227116,25.911268520947626
20.01018567577113,26.734057830766844
20.547749477957712,27.58664611339782
21.106277303960628,28.469252936686342
21.68650584029973,29.38196187009655
22.28915541838529,30.324707422289002
22.914922635494143,31.297262811451457
23.56447224838473,32.29922890082896
24.23842837163928,33.33002463557844
24.93736503542681,34.38887931007335
25.661796182309512,35.47482697655188
26.41216520935815,36.586703276458636
27.18883418937911,37.72314493535228
27.992072932462936,38.88259211163862
28.822048075150764,40.06329372979139
29.678812407970486,41.263315861596155
30.56229467156077,42.48055314600866
31.47229006575717,43.712743161413535
32.40845172366747,44.95748358560649
33.37028340293913,46.212251901159405
