evolving_asym_D=0.4 mm/w,evolving_sym_D=0.4 mm/w
0.0,0.0
0.01639792,0.01639792
0.1062201041588975,0.10628568508322632
0.1940469866984083,0.19423968183608267
0.2782660437914004,0.27864351288786793
0.3588065859011908,0.3594227866418487
0.4358564029494246,0.4367617535388419
0.5096457208657632,0.5108872546505371
0.5803967010555304,0.5820182140382077
0.6483115069621782,0.6503536988642915
0.7135710417155232,0.7160716511107604
0.7763367107750083,0.7793306447180629
0.8367528596318871,0.8402723181401951
0.8949491426904139,0.8990237383853464
0.9510426101701842,0.9556994833455299
1.005139480826264,1.0104034101813875
1.0573366273272573,1.063230136577814
1.1077228163260535,1.1142662768850473
1.1563797449499218,1.1635914748551077
1.203382910240965,1.211279269490423
1.2488023419586032,1.2573978244041337
1.2927032235058913,1.3020105454433633
1.3351464209556874,1.3451766065422577
1.3761889362497142,1.386951399869718
1.4158842975160364,1.4273869232101342
1.454282896963046,1.4665321150287554
1.491432284833783,1.5044331456997135
1.5273774263358169,1.5411336718066584
1.5621609272120427,1.5766750591765721
1.5958232326179755,1.6110965793079512
1.6284028031677182,1.6444355830515127
1.6599362713620966,1.6767276547531915
1.6904585810860278,1.7080067495430529
1.7200031124328432,1.7383053160246362
1.7486017937613754,1.7676544062675505
1.776285202601748,1.7960837747164629
1.8030826567859155,1.8236219673899017
1.8290222969795424,1.8502964025429947
1.854131161625232,1.8761334438018178
1.8784352551673924,1.9011584666374426
1.9019596103113443,1.9253959189301988
1.9247283449697696,1.9488693762752642
1.9467647144651097,1.9716015925963117
1.968091159484557,1.9936145465620574
1.988729350222732,2.014929484239092
2.0087002270943417,2.0355669583616516
2.0280240383536503,2.0555468645535977
2.046720374918358,2.0748884747987
2.064808202661471,2.093610468421371
2.082305892405225,2.111730960810535
2.0992312478253936,2.129267530093636
2.1156015314518357,2.146237241945381
2.1314334889314672,2.1626566726961554
2.146743371702556,2.178541930887856
2.161546958214021,2.1939086774096808
2.175859573810025,2.208772144333067
2.1896961093882665,2.2231471525531417
2.203071038929876,2.2370481283335657
2.2159984359894818,2.250489118842368
2.228491989225712,2.263483806758086
2.2405650170449927,2.2760455240181643
2.2522304814248884,2.2881872647749755
2.263501000977304,2.299921697618943
2.2743888633065747,2.3112611771229656
2.2849060367127056,2.32221775475761
2.2950641812857078,2.3328031892222696
2.3048746594331533,2.3430289562336633
2.314348545879564,2.3529062578095723
2.323496637173091,2.3624460310825985
2.33232946073211,2.371658956675889
2.3408572834617525,2.3805554666702164
2.349090119968057,2.3891457521894672
2.35703774039528,2.397439770629489
2.364709677909969,2.4054472525533126
2.3721152358536326,2.4131777082740227
2.379263494584209,2.420640434144943
2.3861633180250768,2.42784451857535
2.392823359938984,2.434798847788595
2.399252069943042,2.441512111338277
2.4054576992797903,2.4479928073970156
2.41144830635829,2.4542492478313154
2.417231762078257,2.4602895630750945
2.4228157549493563,2.4661217068135657
2.42820779601695,2.4717534604883613
2.4334152236048783,2.477192437634064
2.438445207885118,2.4824460880556156
2.443304755283558,2.4875217018554547
2.4480007127305017,2.4924264133186504
2.452539771764012,2.4971672046637625
2.456928472493635,2.5017509096666615
2.461173207431638,2.506184217164078
2.4652802251984016,2.510473674443225
2.4692556341082343,2.514625690523437
2.4731054056414856,2.5186465393354003
2.4768353778084764,2.5225423628032013
2.4804512584104463,2.5263191738341044
2.483958628202401,2.529982859220662
2.4873629439624665,2.5335391824594913
2.4906695414720685,2.536993786490777
2.4938836384110377,2.5403521963623295
2.497010337171468,2.5436198218217863
2.500054627593968,2.546801959840335
2.503021389629714,2.5499037970711402
2.50591539593154,2.5529304122454537
2.5087413143770982,2.555886778509225
2.511503710526973,2.558777765702853
2.514207050020448,2.561608142586563
2.5168557009114942,2.564382579013747
2.5194539359473938,2.5671056480544645
2.5220059347922734,2.5697818280711706
2.5245157861977128,2.572415504748606
2.526987490122452,2.575010973079676
2.5294249598031224,2.577572439309026
2.531832023777809,2.5801040228359127
2.53421242786416,2.582609758077882
2.536569837093645,2.5850935962966504
2.5389078376035035,2.587559407387513
2.5412299384877874,2.5900109816335015
2.5435395736088786,2.592452031425437
2.545840103370732,2.5948861929489504
2.548134816455052,2.597317027839452
2.5504269315215207,2.599748024805976
2.552719598873141,2.602182601224746
2.5550159020876806,2.6046241047032406
2.55731885961614,2.607075814615484
2.559631426349131,2.609540943609212
2.561956495151957,2.6120226390855135
2.564296898369161,2.614523984651486
2.5666554092992424,2.617048001546391
2.569034743640196,2.619597650041738
2.5714375609064706,2.6221758308156735
2.5738664658179067,2.624785386302007
2.5763240096611604,2.627429102014146
2.5788126916240763,2.6301097078441718
2.5813349601034346,2.6328298793372404
2.5838932139864426,2.635592238941437
2.5864898039063187,2.638399357233179
2.589127033472257,2.6412537541182117
2.591807160474036,2.644157900008191
2.5945323980614905,2.6471142169728172
2.597304915899024,2.6501250798674247
2.600126841295313,2.6531928174358983
2.603000260308304,2.656319713388742
2.6059272188255767,2.659508007456082
2.6089097236201138,2.662759896415339
2.6119497433814614,2.666077535093266
2.61504920972226,2.669463037342002
2.6182100181600614,2.6729184769887464
2.621434029074324,2.6764458887586158
2.624723068638447,2.680047269170194
2.6280789297266502,2.6837245774032517
2.6315033727954957,2.687479736138049
2.634998126739776,2.691314632365601
2.6385648897224985,2.6952311181682256
2.64220532997861,2.699231011469651
2.645921086592107,2.7033160967539054
2.6497137702461124,2.7074881257521537
2.653584963945472,2.7117488180966047
2.6575362237113698,2.716099861940542
2.661569079247436,2.720542914543481
2.6656850345767564,2.7250796028203994
2.6698855686491694,2.7297115238539167
2.674172135918169,2.7344402453682437
2.6785461668867034,2.7392673061636548
2.683009068621093,2.744194216510168
2.687562225232253,2.7492224584990455
2.692206998323352,2.754353486350665
2.6969447274029696,2.759588726677219
2.7017767302627806,2.7649295786986428
2.7067043033187246,2.770377414410075
2.711728721914553,2.7759335786990826
2.7168512405866005,2.781599389410788
2.7220730932885444,2.787376137358951
2.7273954935748645,2.793265086280971
2.732819634741636,2.799267472734667
2.7383466899232194,2.8053845059346054
2.743977812143344,2.8116173675256446
2.749714134318985,2.8179672112912457
2.755556769215386,2.8244351627940114
2.761506809350458,2.8310223189457853
2.767565326846733,2.8377297475045364
2.773733373228948,2.844558486495137
2.7800119791652307,2.8515095435510127
2.786402154149803,2.8585838951735236
2.792904886124966,2.865782485905806
2.7995211410400804,2.8731062274176695
2.806251862345118,2.8805559974980133
2.813097970416268,2.8881326389510815
2.820060361910972,2.895836958392747
