evolving_asym_D=0.4 mm^2/w,evolving_sym_D=0.4 mm^2/w
0.0,0.0
0.0,0.0
0.002126082156352,0.002126082156352
0.0158736183857304,0.01589062671728852
0.0408992218867014,0.04096609560952221
0.0766754009940136,0.07683983888007744
0.1226886413080729,0.12301231525564893
0.1784698441923112,0.1790276493566915
0.2435970113715665,0.2444764185870979
0.3176917832411592,0.3189922800292594
0.4004147959491613,0.40224740457445063
0.4914611824155509,0.4939480451960044
0.5905565561856845,0.5938305796843619
0.6974535216725033,0.7016580725712296
0.8119286664747135,0.8172173129072882
0.933779970798022,0.9403162637415743
1.0628245703180412,1.0707818603358672
1.1988968165907832,1.2084581018114147
1.3418465879283,1.3532043896517272
1.4915378117221303,1.5048940744793375
1.64784716604867,1.6634131793165061
1.8106629340334288,1.8286592731326556
1.9798839890394508,2.0005404730272827
2.15541889246107,2.178974557076954
2.33718508891509,2.3638881728551535
2.525108186068465,2.555216129054351
2.719121308338756,2.7529007596141883
2.919164515341836,2.956891351378333
3.1251842773121554,3.167143627636453
3.337133000840688,3.3836192810129178
3.554968599208858,3.606285550084287
3.7786541023784848,3.8351148348782518
4.00815730235576,4.070084347055024
4.243450430203863,4.31117579112028
4.4845098614516505,4.558375073484166
4.731315847049316,4.811672036577883
4.983852267367607,5.071060215579278
5.242106407034468,5.336536615591181
5.506068748659589,5.608101507368388
5.775732783719671,5.885758239907598
6.051094839070356,6.169513068404342
6.332153917719229,6.459374996246273
6.6189115526415,6.755355629856769
6.911371672549125,7.057469045329459
7.209540478637595,7.365731665905692
7.513426331434688,7.680162149445084
7.82303964696383,8.000781285125958
8.138392801513012,8.327611898689275
8.459500044369637,8.66067876560772
8.786377417943447,9.000008531622203
9.119042684754744,9.345629640141947
9.45751526081424,9.697572266052548
9.801816154964827,10.055868255519405
10.151967913794962,10.420551071412577
10.50799457176872,10.791655744013681
10.869921606249306,11.169218826696637
11.237775897121532,11.55327835630204
11.611585690744455,11.94387381795023
11.991380567988836,12.341046114060958
12.377191416135028,12.744837537368129
12.769050404426135,13.15529174773686
13.166990963088576,13.572453752606968
13.571047765647863,13.996369890902448
13.981256714381937,14.427087820260429
14.397654928767226,14.864656507445918
14.820280736784728,15.309126221830212
15.249173668964122,15.76054853182148
15.684374455054066,16.218976304145745
16.125925023215824,16.68446370588539
16.57386850164588,17.157066209190447
17.02824922254081,17.63684059858549
17.489112728324923,18.123844980801785
