euler,RK_rtol_1e-05_atol_1e-08
0.0,0.0
21316.935109501075,21316.945005959296
21316.942847663773,21316.94890364163
21316.950586807077,21316.955935198886
21316.958326084023,21316.95729603339
21316.96606527058,21316.974077414237
21316.973804374044,21316.950495452827
21316.98154342625,21316.992210058183
21316.989282450388,21317.025405250195
21316.99702146048,21316.976537294307
21317.004760464377,21317.029790140234
21317.01249946625,21317.00724126573
21317.02023846824,21317.03714851671
21317.027977471276,21317.034047514917
21317.035716475595,21317.032902545245
21317.043455481187,21317.04225313544
21317.05119448783,21317.059903010508
21317.0589334952,21317.051147858983
21317.066672503,21317.055132836493
21317.07441151083,21317.060290540005
21317.08215051856,21317.090039826817
21317.08988952574,21317.096652879525
21317.097628532218,21317.096679954684
21317.105367537788,21317.11058483841
21317.11310654225,21317.1314739517
21317.120845545443,21317.139447740465
21317.12858454728,21317.136930507135
21317.136323547507,21317.17471534498
21317.14406254611,21317.150732140683
21317.151801543077,21317.166266809567
21317.159540538138,21317.206959536154
21317.16727953139,21317.171830789477
21317.17501852269,21317.182753833986
21317.182757512048,21317.18950037619
21317.19049649936,21317.209425008936
21317.198235484568,21317.203398367506
21317.20597446775,21317.176677635576
21317.21371344877,21317.228486483848
21317.221452427628,21317.235907088096
21317.229191404356,21317.237763921843
21317.236930378887,21317.244295452307
21317.2446693512,21317.224850915976
21317.25240832136,21317.259617779426
21317.26014728923,21317.28880660837
21317.267886254907,21317.278805378897
21317.27562521828,21317.282670830802
21317.283364179515,21317.27196367573
21317.291103138414,21317.259895114876
21317.298842095093,21317.277294728523
21317.306581049477,21317.293121947325
21317.3143200016,21317.30757447885
21317.32205895149,21317.296340900928
21317.32979789905,21317.334683731904
21317.337536844403,21317.344953453114
21317.345275787426,21317.354825581002
21317.353014728196,21317.363509634888
21317.360753666704,21317.375797762466
21317.3684926029,21317.374958597073
21317.376231536866,21317.381207516795
21317.3839704685,21317.388674049973
21317.391709397845,21317.40469023555
21317.399448325,21317.40804918003
21317.407187249795,21317.433435420397
21317.41492617236,21317.420972343527
21317.422665092603,21317.451661620442
21317.43040401061,21317.46024883206
21317.438142926305,21317.44343838766
21317.445881839754,21317.456070878856
21317.453620750963,21317.46081647858
21317.4613596599,21317.466550660036
21317.4690985665,21317.48248904629
21317.476837470866,21317.493874353848
21317.484576372965,21317.494596202898
21317.492315272797,21317.508939049847
21317.500054170363,21317.51206866777
21317.50779306561,21317.515443608652
21317.51553195863,21317.52191829595
21317.523270849422,21317.529332858354
21317.531009737908,21317.541329870754
21317.538748624167,21317.548017544683
21317.5464875081,21317.55333191447
21317.554226389817,21317.562375437392
21317.56196526929,21317.567398266812
21317.56970414649,21317.574755647605
21317.57744302144,21317.585858594564
21317.585181894083,21317.596267602683
21317.592920764524,21317.605842309626
21317.60065963265,21317.61850082184
21317.608398498585,21317.622827611212
21317.61613736226,21317.62743922325
21317.62387622365,21317.632785174006
21317.63161508281,21317.640804372684
21317.63935393968,21317.64690858741
21317.647092794323,21317.67993933099
21317.654831646694,21317.661118330536
21317.66257049687,21317.668688915568
21317.67030934477,21317.681659697697
21317.67804819044,21317.695633896576
21317.685787033828,21317.717413098133
21317.69352587499,21317.70963073496
21317.70126471384,21317.711621784543
