300.0_weeks,300.0_weeks_RK
29336.09958748696,25609.20567313825
29445.938009470032,25687.438064563798
29555.72430014544,25741.26505571183
29665.459618367877,25769.80319577603
29775.1451042882,25791.130019940123
29884.78187975091,25846.447235751697
29994.37104868022,25984.43537256258
30103.913697454707,26233.923114258345
30213.41089527164,26548.492509941403
30322.86369450069,26771.785085165662
30432.273131027745,26686.204349286298
30541.64022458909,26172.252379873134
30650.96597909619,25433.53622655136
30760.251382951537,24983.18166371915
30869.49740935582,25423.064239214145
30978.70501660653,27216.385742011684
31087.87514838871,30118.76368233947
31197.008734057406,31219.59093095593
31306.10668891304,26916.710107063434
31415.16991446884,22092.246313391603
31524.199298711887,20726.900725268973
31633.195716356488,23457.399135587577
31742.16002909141,32390.84792245802
31851.09308582049,40043.02834348602
31959.995722897,26164.111583108293
32068.868764352017,19149.901830936837
32177.71302211687,17925.871624259682
32286.529296240027,20000.798892683244
32395.318375098315,27107.337229125682
32504.08103560298,41756.93360693722
32612.81804340059,42154.729651951995
32721.530153068765,25046.517035328023
32830.21810830686,19085.268880023465
32938.88264212401,17327.77889129087
33047.52447701832,17328.53708405405
33156.14432515578,18997.58753871205
33264.74288854323,23367.45779362515
33373.32085919708,32652.255783080484
33481.878919308234,46981.87859322799
33590.4177414032,46982.65480972549
33698.93798850129,29985.589938989146
33807.44031426808,22089.79552349421
33915.925363165574,19093.447564773793
34024.39377059856,17815.718434261784
34132.84616305785,17412.16918430075
34241.28315826025,17750.879696994594
34349.70536528519,19050.57202095352
34458.113384708486,21882.559813482723
34566.50780873296,27318.684814967808
34674.88922131625,36835.655231888886
34783.25819829581,49370.64184357646
34891.61530751111,51463.14632256204
34999.96110892319,36938.076774820365
35108.296154731695,26932.166374941553
35216.620989489355,22544.371601777064
35324.936150213995,20418.86255876292
35433.24216649824,19271.749659695375
35541.539560616875,18665.680867256982
35649.82884763196,18472.203219054987
35758.1105354946,18728.037262612856
35866.38512515063,19612.421674336383
35974.65311063196,21480.84844668254
36082.91497915841,24938.168333976733
36191.17121123122,30911.562796050675
36299.42228072602,40283.0431966695
36407.668654983805,51071.651786179005
36515.91079490041,52437.30308572479
36624.14915501373,40467.926928703055
36732.38418358986,30731.219719000666
36840.61632270721,25875.05299011659
36948.846008339024,23361.54946616507
37057.073670434445,21904.57058204571
37165.2997329979,20997.462738596096
37273.524614167225,20437.134846452453
37381.74872629017,20160.018071527906
37489.97247599952,20200.661113222483
37598.19626428688,20693.34728146661
37706.42048657511,21909.166741656893
37814.64553278951,24307.800463431744
37922.871787427575,28574.70460425097
38031.09962962776,35543.19060510952
38139.32943323681,45187.76855997255
38247.56156687603,52676.01792957736
38355.79639400642,48349.81686089774
38464.03427299268,37848.804924430595
38572.27555716605,30999.83242785782
38680.52059488627,27367.223092514312
38788.76972960227,25300.090859274267
38897.02329991208,24004.971211948825
39005.28163962159,23137.248794896084
39113.54507780245,22553.611450448276
39221.81393884902,22212.24767781885
39330.08854253436,22156.42673827061
39438.369204065326,22539.237343929934
39546.65623413691,23681.37023561105
39654.94993898565,26130.5865930355
39763.25062044214,30640.70032358417
39871.55857598287,37848.55183144603
39979.874098781234,46578.65650753809
40088.19747775771,50141.31392435936
40196.52899763237,43697.82294893552
40304.86893896146,35953.91526282266
40413.21757820391,31264.056553326125
40521.57518775566,28593.954511507407
40629.94203600047,26943.681636162713
40738.31838735605,25835.291588541382
40846.704502317225,25058.36429635422
40955.10063750301,24537.043214871548
41063.50704569934,24297.37399047076
41171.92397590302,24501.3959667255
41280.351673364494,25543.451856384243
41388.79037963002,28133.293491615117
41497.24033258346,33070.79565421462
41605.70176648733,40179.915554478684
41714.174912023416,45669.164123284536
41822.65999633288,43739.62181680521
41931.1572430557,37933.862916899125
42039.6668723698,33557.64644231893
42148.18910102942,30873.89384057913
42256.72414240333,29163.72940993623
42365.27220651221,27999.620039761387
42473.83350006583,27196.379513004656
42582.40822649965,26729.353286456055
42690.99658601098,26754.84026306918
42799.59877559464,27707.519142366404
42908.2149890784,30256.579587522127
43016.8454171577,34439.90989729871
43125.49024743018,38260.31357750599
43234.14966442972,38918.730535742165
43342.82384966004,36953.445021855056
43451.51298162801,34676.846047766485
43560.21723587642,32982.32673368185
43668.93678501664,31896.494666114195
43777.67179876052,31309.541936622736
43886.42244394947,31118.500529168825
43995.188884597526,31202.79707269342
44103.97128190419,31425.9313522406
44212.76979429742,31675.472165093295
44321.58457746179,31892.59501954896
44430.41578436704,32062.11419145191
44539.26356529868,32189.192332670038
44648.12806788736,32284.664134113413
44757.00943713765,32360.65506967675
44865.907815456914,32424.810100358787
44974.82334268378,32481.402957343813
45083.75615611632,32535.047842807482
45192.70639053978,32587.396172621742
45301.67417825438,32639.823411720066
45410.65964910238,32692.912846014977
45519.66293049521,32747.476646687708
45628.68414744016,32802.40932710771
