M_i=100.0,M_i=400.0,M_i=1000.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0002261305471902,0.0002420249034649,0.0002738136160144
0.0016917745282557,0.0018104647208128,0.0020477526567685535
0.0043699788199876,0.0046753366161602,0.005285270245215789
0.0082115472950907,0.0087830543195054,0.009923517618757906
0.0131663060504385,0.0140791841581263,0.015899086456883333
0.0191866657901093,0.020512234943244,0.023152250290046424
0.0262282046484493,0.0280342593054778,0.03162759857370258
0.0342495549603885,0.0366007129237339,0.041273836874289795
0.0432121258730197,0.0461701409632003,0.052043397509670374
0.0530798088965064,0.0567038487793578,0.06389203760005367
0.0638187080413909,0.0681656010545298,0.07677847367264462
0.0753969037928662,0.0805213589129128,0.0906640628913611
0.0877842499262343,0.0937390536555335,0.10551252876942345
0.1009521992386151,0.1077883926760331,0.12128972584834957
0.1148736538360776,0.122640692696059,0.1379634374407635
0.1295228359918022,0.1382687358973606,0.1555032011036527
0.1448751761753782,0.1546466451813627,0.17388015730669895
0.1609072154324413,0.1717497754291888,0.19306691753351185
0.1775965198004601,0.1895546181952482,0.2130374487247593
0.1949216048680457,0.208038717733182,0.23376697152928758
0.2128618689283278,0.2271805966320298,0.2552318702827976
0.2313975334537434,0.2469596896463874,0.27740961299990546
0.2505095898422749,0.2673562845506413,0.30027867996072544
0.2701797515645253,0.2883514690459382,0.32381849971158483
0.2903904109858926,0.3099270829091408,0.34800939149270776
0.3111246002556224,0.3320656747034555,0.37283251326295963
0.3323659557503038,0.3547504624768652,0.39826981462035554
0.3540986856378359,0.3779652979618252,0.4243039940227646
0.3763075401925071,0.4016946338616856,0.450918459800614
0.3989777845453112,0.4259234938689923,0.4780972945259738
0.4220951735981191,0.4506374451105406,0.5058252223629939
0.4456459288675276,0.4758225727556914,0.5340875790754985
0.4696167170554599,0.5014654565594827,0.562870284410393
0.4939946301699741,0.5275531491416698,0.5921598166118152
0.5187671670420984,0.5540731558279559,0.6219431888518215
0.5439222161035537,0.5810134159010946,0.6522079273897406
0.5694480393065066,0.6083622851278829,0.6829420512949134
0.5953332570804618,0.6361085194438164,0.7141340535869748
0.6215668342334497,0.664241259690768,0.7457728836646171
0.6481380667150639,0.6927500173148115,0.7778479309083158
0.6750365691679419,0.7216246609415258,0.8103490093551454
0.7022522632021377,0.7508554037550141,0.8432663433548387
0.7297753663337052,0.7804327916146502,0.8765905541258852
0.7575963815348187,0.8103476918503804,0.9103126471389243
0.785706087348046,0.8405912826834063,0.9444240002621308
0.8140955285220385,0.8711550432243513,0.9789163526098444
0.8427560071300148,0.9020307440056852,1.0137817940415017
0.8716790741360572,0.9332104380093188,1.0490127552630595
0.9008565213774684,0.96468645215395,1.0846019984876696
0.9302803739343174,0.9964513792100153,1.1205426086164212
0.9599428828598624,1.0284980701130186,1.1568279849035925
0.9898365182478414,1.0608196266486152,1.1934518330740944
1.0199539626146676,1.0934093944851642,1.2304081578636858
1.050288104576415,1.1262609565315655,1.2676912559551472
1.0808320328021408,1.1593681266000777,1.305295709285939
1.1115790302265829,1.1927249433555134,1.3432163787049796
1.1425225685066245,1.2263256645337504,1.3814483979580816
1.173656302707137,1.2601647614138705,1.419987167983309
1.2049740662029196,1.294236913529507,1.4588283514990714
1.2364698657844602,1.3285370036061166,1.4979678678691943
1.268137876956153,1.3630601127119193,1.5374018882304838
1.2999724394164431,1.3978015156112122,1.5771268308694808
1.3319680527101183,1.432756676309598,1.6171393568361683
1.3641193720436786,1.4679212437814684,1.6574363657833722
1.3964212042553228,1.5032910478707966,1.698014992021493
1.4288685039316964,1.5388620953569432,1.7388726007790258
1.461456369664058,1.574630566177788,1.7800067846600847
1.494180040437021,1.610592809803045,1.8214153602908416
1.5270348921434729,1.646745341751131,1.8630963651474333
1.5600164342196914,1.6830848402434186,1.9050480545584842
1.5931203063950483,1.7196081429901402,1.9472688988759463
1.6263422755510617,1.756312244102601,1.9897575808084644
1.659678232684859,1.793194291126727,2.0325129929119576
1.693124189972442,1.830251582193316,2.0755342352325488
1.726676277927393,1.8674815632806672,2.1188206130973906
1.7603307426509471,1.9048818255855609,2.1623716350493245
1.794083943169576,1.942450102998827,2.206187010921682
1.8279323488564627,1.980184269682,2.2502666500498716
1.861872536933446,2.018082337741772,2.294610659616728
1.8959011900502136,2.0561424549992084,2.339219343128907
1.930015093937694,2.094362902850849,2.3840931990218976
1.9642111351327745,2.1327420942190534,2.429232919391503
1.9984862987716163,2.171278571589096,2.474639388849905
2.032837666449002,2.209971005130693,2.52031368350468
2.067262414141261,2.248818190901812,2.566257070059377
2.1017578101904806,2.287819049132739,2.6124710050344917
2.136321213347792,2.32697262258854,2.658957134107908
2.170950070873668,2.3662780750081738,2.7057172915740773
2.2056419166932475,2.40573468961864,2.7527534999214267
2.2403943696048225,2.4453418677226564,2.8000679695276767
2.2752051315396886,2.4850991273584966,2.847663098472949
2.3100719858716867,2.525006102030681,2.895541472470741
2.344992795774807,2.5650625395103663,2.9437058649170074
2.3799655026273263,2.605268300704334,2.992159237057798
2.4149881244610203,2.645623358591596,3.0409047382760477
2.4500587544540533,2.686127797226712,3.089945706498311
2.4851755594662217,2.7267818108090016,3.1392856687223856
2.520336778615284,2.767585702816916,3.1889283416669456
2.555540721893171,2.8085398852069177,3.2388776325444697
2.5907857688209264,2.8496448776762806,3.2891376399589003
2.62607036714127,2.8909013069893144,3.339712654929645
2.661393031547744,2.932309906366572,3.3906071620436826
2.6967523424494293,2.9738715149366817,3.4418258407376863
2.73214694477028,3.0155870772505096,3.4933735667122523
2.767575546782155,3.057457642857418,3.5452554134804566
2.8030369189706725,3.0994843659434674,3.597476654053131
2.838529892933049,3.141668505031457,3.6500427627634013
2.8740533603071228,3.184011422742771,3.702959417233182
2.9096062717307904,3.226514585621064,3.756232500484481
2.9451876358311297,3.2691795640178696,3.8098681031985198
2.9807965182425007,3.312008032040289,3.8638725261258307
3.016432040652957,3.3550017675609745,3.9182522826506543
3.052093379878324,3.398162652290676,3.973014101513105
3.087779766963324,3.441492671913693,4.028164929692744
3.123490486309167,3.4849939162866264,4.083711935457353
3.1592248748270424,3.5286685797008834,4.139662511580851
3.19498232111696,3.57251896120946,4.196024278734492
3.230762264671445,3.616547465018573,4.2528050890555935
3.266564195103576,3.660756600944794,4.310013029898263
3.302387651398902,3.705148984938375,4.367656427770717
3.338232221190788,3.749727339673544,4.4257438524639765
3.3740975400587527,3.794494495206598,4.484284121376895
3.40998329084939,3.8394533897026832,4.54328630404262
3.4458892030194788,3.8846070702322257,4.602759726861804
3.481815052000909,3.929958693638044,4.662713978048023
3.517760658587059,3.975511527474227,4.7231589127910505
3.55372588834029,4.02126895101795,4.78410465864382
3.589710651020224,4.067234456355446,4.845561621139081
3.625714900032508,4.113411649543459,4.907540489641939
3.6617386318977534,4.15980425184753,4.970052243444656
3.697781885740387,4.206416101058576,5.033108158110274
3.733844742797138,4.253251152889293,5.096719812071797
3.769927325944917,4.300313482451977,5.160899093493886
3.806029799247842,4.347607285819444,5.225658207404165
3.8421523675232,4.395136881670817,5.291009683101459
3.8782952759261127,4.442906713024027,5.356966381848458
3.9144588095527344,4.490921349056944,5.423541504856481
3.9506432930617774,4.539185487019174,5.490748601570212
3.986849090314197,4.587703954236621,5.558601578260446
4.023076604030875,4.636481710211001,5.627114706933074
4.059326275468162,4.685523848816621,5.696302634562708
4.0955985841111175,4.734835600596797,5.766180392659513
4.131894047384352,4.784422335162399,5.836763407177972
4.16821322038033,4.834289563695118,5.908067508776485
4.204556695605043,4.884442941558151,5.9801089434368375
4.240925102740969,4.934888271017089,6.052904383452705
4.277319108427212,4.985631504073933,6.1264709387965075
4.313739416056777,5.036678745417269,6.2008261688740225
4.350186765590902,5.088036255491711,6.275988094676279
4.386661933390416,5.139710453689914,6.351975211338318
4.4231657320640645,5.191707921670498,6.428806501114482
