M_i=100.0,M_i=400.0,M_i=1000.0
100.0,100.0,100.0
99.98360208,99.98360208,99.98360208
99.8934722900133,99.8934722900133,99.8934722900133
99.80394983375828,99.8039498534431,99.80394989281278
99.7166809846329,99.71668115049596,99.71668148210833
99.63179362683908,99.63179415903863,99.63179522240486
99.54915787457092,99.54915906230303,99.54916143399237
99.4685983414534,99.46860051040622,99.46860483906063
99.38994405298762,99.38994752665631,99.38995445629212
99.3130405320936,99.31304558821198,99.31305567242508
99.23775138485628,99.23775820792603,99.23777181704484
99.16395687578776,99.1639655065026,99.16398272934724
99.09155179858094,99.09156208080528,99.09158262242474
99.02044337684605,99.02045490270176,99.02047797923498
98.95054940947104,98.95056146299896,98.95058569462584
98.88179669734993,98.8818081971426,98.88183149994137
98.8141197295825,98.81412917072612,98.81414864813094
98.74745959160376,98.7474649872176,98.74747682166652
98.68176305734316,98.68176187996352,98.68176122523975
98.6169818320597,98.6169709550804,98.61695182977459
98.55307191805062,98.55304755740062,98.55300273985912
98.48999308060934,98.48995073682346,98.48987166189154
98.42770839601069,98.42764279682572,98.42751945464795
98.36618386689425,98.36608891048392,98.36590974758222
98.30538809329418,98.30525679223923,98.30500861505338
98.24529198985032,98.24511641592532,98.24478429696886
98.18586854154582,98.18563977139117,98.1852069581486
98.1270925917532,98.1268006534899,98.12624848015622
98.06894065751224,98.06857447834658,98.06788228048896
98.01139076787328,98.01093812273024,98.01008315493279
97.95442232187054,97.95386978308682,97.9528271396223
97.898015963277,97.89734885137784,97.89609138993544
97.84215346976838,97.84135580534642,97.83985407383119
97.78681765451056,97.78587211121967,97.78409427762743
97.73199227850088,97.730880137173,97.72879192253376
97.67766197225276,97.67636307614188,97.67392769051561
97.62381216562832,97.62230487678217,97.61948295828142
97.57042902479988,97.56869018155592,97.56543973836315
97.51749939546978,97.51550427107033,97.51178062640979
97.46501075160135,97.46273301391876,97.45848875393746
97.4129511490173,97.41036282137904,97.40554774588486
97.3613091833092,97.35838060640992,97.35294168241043
97.31007395157631,97.30677374646216,97.30065506444276
97.2592350175738,97.25553004968292,97.24867278255887
97.20878237990452,97.20463772414624,97.19698008881923
97.15870644293436,97.15408534978796,97.14556257123452
97.10899799014996,97.103861852763,97.09440613057907
97.05964815971193,97.05395648197694,97.04349695929974
97.0106484219851,97.00435878757294,96.99282152229901
96.9619905588537,96.95505860118014,96.94236653939613
96.9136666446499,96.9060460177524,96.89211896929292
96.8656690285444,96.8573113788446,96.8420659948896
96.81799031826397,96.80884525719082,96.79219500981347
96.77062336501494,96.76063844246352,96.74249360603775
96.72356124950544,96.71268192810516,96.69294956248089
96.67679726896928,96.66496689913536,96.64355083448818
96.6303249251052,96.61748472084678,96.59428554410765
96.5841379128535,96.57022692831092,96.54514197108082
96.5382301099396,96.52318521662389,96.49610854447722
96.49259556712153,96.47635143182804,96.44717383490818
96.44722849908392,96.42971756245232,96.39832654726183
96.40212327592684,96.38327573161892,96.34955551390676
96.35727441520214,96.33701818966914,96.30084968831682
96.31267657445508,96.29093730726582,96.25219813907366
96.26832454423214,96.2450255689328,96.20359004420804
96.22421324151992,96.19927556699626,96.15501468584414
96.18033770358257,96.15367999589554,96.10646144511436
96.13669308216848,96.10823164683347,96.05791979731522
96.09327463805984,96.0629234027396,96.00937930727711
96.05007773593924,96.01774823352106,95.96082962492359
96.00709783955212,95.97269919157864,95.91226048099739
95.96433050714325,95.9277694075671,95.86366168293274
95.9217713871489,95.88295208638036,95.81502311085515
95.87941621412672,95.83824050334408,95.76633471369121
95.83726080490771,95.79362800059924,95.71758650537274
95.79530105495472,95.74910798366172,95.66876856112066
95.7535329349145,95.70467391814395,95.61987101379526
