M_i=100.0,M_i=400.0,M_i=1000.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.000000065188575,4.000000260715309,4.00000065159333
4.000000955083735,4.000003817658003,4.000009530768801
4.00000423716827,4.0000169259819485,4.000042201701801
4.000012153399639,4.000048516863548,4.000120809930321
4.000027503012311,4.000109720875058,4.000272852450731
4.000053545643598,4.000213474134204,4.000530162427259
4.000093921321416,4.000374193066395,4.000928071472426
4.0001525839016345,4.000607503884154,4.001504713496425
4.000233745262936,4.000930015828154,4.002300441776189
4.000341828198391,4.001359129783492,4.003357337545157
4.000481426419169,4.001912875822628,4.004718793418014
4.000657270436634,4.002609774654159,4.0064291586605
4.000874198348729,4.003468719014141,4.008533436053822
4.001137130751428,4.004508871830284,4.01107702216038
4.001451049144373,4.005749578593906,4.014105484365316
4.001820977314472,4.007210291841848,4.0176643692805305
4.002251965271076,4.00891050601664,4.0217990380474244
4.002749075377593,4.010869701263622,4.026554524827601
4.003317370381541,4.0131072949566375,4.031975415374393
4.003961903091369,4.015642599932567,4.038105743066634
4.004687707486229,4.0184947885691855,4.044988900184997
4.005499791076082,4.021682861967872,4.052667562539545
4.006403128355455,4.0252256236081845,4.061183625829217
4.007402655215819,4.029141656929366,4.070578152340931
4.008503264199788,4.033449306367968,4.080891326786425
4.009709800495725,4.03816666144329,4.092162420235518
4.011027058584481,4.0433115435355305,4.1044297612406435
4.012459779461116,4.048901495046887,4.1177307133633185
4.014012648364099,4.054953770674673,4.132101658412267
4.015690292952697,4.061485330558979,4.147577984787874
4.017497281880413,4.068512835096224,4.164194080400752
4.019438123718522,4.076052641234961,4.181983329695376
4.02151726618911,4.084120800091975,4.2009781143644025
4.023739095671735,4.092733055745666,4.221209817386809
4.026107936951906,4.101904845080189,4.242708830064298
4.028628053183198,4.111651298568344,4.265504561766513
4.031303646037949,4.121987241893855,4.2896254521271535
4.034138856024297,4.132927198324905,4.315098985460699
4.037137762949756,4.1444853917606,4.341951707193758
4.040304386513696,4.156675750380757,4.370209242126368
4.043642687013035,4.169511910837114,4.399896314357406
4.047156566147144,4.18300722293084,4.431036768724844
4.050849867909476,4.197174754727333,4.463653593626281
4.054726379554818,4.212027298064616,4.497768945098138
4.058789832632212,4.227577374416474,4.533404172043456
